"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"605.2703 / 7.72  MNa",13.163,0.0010866,2.9639,0.0033034,"Infected - Control"
"452.1779 / 11.64  MNa",13.162,0.0010872,2.9637,0.0033043,"Infected - Control"
"465.2317 / 14.03  MNa-2H-",13.159,0.0010885,2.9632,0.0033073,"Infected - Control"
"522.2526 / 8.27  MNa-2H-",13.158,0.0010887,2.9631,0.0033073,"Infected - Control"
"889.4497 / 13.02",13.153,0.0010908,2.9622,0.0033129,"Infected - Control"
"285.0933 / 8.20",13.152,0.0010913,2.9621,0.0033135,"Control - Infected"
"276.1356 / 4.84",13.15,0.0010918,2.9618,0.0033138,"Infected - Control"
"442.2774 / 3.29",13.15,0.0010919,2.9618,0.0033138,"Infected - Control"
"412.6955 / 7.15",13.149,0.0010924,2.9616,0.0033144,"Infected - Control"
"389.2021 / 2.51  MCH3OHH",13.147,0.001093,2.9614,0.0033151,"Infected - Control"
"578.3470 / 23.61",13.147,0.0010933,2.9612,0.0033151,"Infected - Control"
"847.4416 / 9.43",13.147,0.0010934,2.9612,0.0033151,"Infected - Control"
"448.9943 / 1.80",13.145,0.0010939,2.961,0.003316,"Control - Infected"
"586.3199 / 10.94  M-H-",13.142,0.0010951,2.9605,0.0033179,"Infected - Control"
"650.3301 / 12.99",13.142,0.0010951,2.9605,0.0033179,"Infected - Control"
"776.4204 / 17.42",13.142,0.0010953,2.9605,0.0033179,"Infected - Control"
