"","f.value","p.value","-log10(p)","FDR","Fisher's LSD"
"174.0573 / 11.45",39.853,6.7756e-07,6.1691,2.9547e-05,"Control - Infected"
"527.2337 / 19.11  M2H2",39.716,6.9791e-07,6.1562,3.0223e-05,"Infected - Control"
"187.0720 / 3.76",39.707,6.9912e-07,6.1554,3.0223e-05,"Infected - Control"
"231.9685 / 1.84",39.701,7.0016e-07,6.1548,3.0223e-05,"Infected - Control"
"443.2219 / 13.94",39.639,7.0953e-07,6.149,3.0524e-05,"Infected - Control"
"289.1498 / 6.65",39.622,7.1217e-07,6.1474,3.0535e-05,"Infected - Control"
"402.2699 / 8.03",39.562,7.2145e-07,6.1418,3.078e-05,"Infected - Control"
"192.9899 / 1.47",39.54,7.2485e-07,6.1398,3.078e-05,"Control - Infected"
"701.2928 / 19.45  M-H-",39.539,7.2512e-07,6.1396,3.078e-05,"Infected - Control"
"215.1394 / 10.06",39.511,7.2945e-07,6.137,3.0862e-05,"Infected - Control"
"298.1403 / 8.89  M-H-",39.366,7.5273e-07,6.1234,3.166e-05,"Infected - Control"
"702.2904 / 19.77",39.363,7.5329e-07,6.123,3.166e-05,"Infected - Control"
"375.1522 / 5.70",39.345,7.5615e-07,6.1214,3.1677e-05,"Infected - Control"
"464.7587 / 14.56  M2H2",39.307,7.6243e-07,6.1178,3.1808e-05,"Infected - Control"
"231.1343 / 2.42  M-H-",39.292,7.6493e-07,6.1164,3.1808e-05,"Infected - Control"
"417.2354 / 6.26",39.281,7.6676e-07,6.1153,3.1808e-05,"Infected - Control"
"203.0839 / 4.94",39.249,7.7205e-07,6.1124,3.1924e-05,"Control - Infected"
"289.1505 / 7.69  MNH4",39.229,7.7545e-07,6.1104,3.1939e-05,"Infected - Control"
"376.1502 / 14.32",39.217,7.7742e-07,6.1093,3.1939e-05,"Infected - Control"
"538.3202 / 19.18  MNa",39.179,7.839e-07,6.1057,3.2043e-05,"Infected - Control"
"438.2139 / 9.84",39.173,7.8496e-07,6.1052,3.2043e-05,"Infected - Control"
"414.2352 / 6.06",39.108,7.9624e-07,6.099,3.24e-05,"Infected - Control"
"406.6945 / 10.79",39.072,8.0237e-07,6.0956,3.245e-05,"Infected - Control"
"521.7810 / 15.92  MHK2",39.053,8.0574e-07,6.0938,3.245e-05,"Infected - Control"
"536.2695 / 10.07  MCH3OHH",39.047,8.0686e-07,6.0932,3.245e-05,"Infected - Control"
"470.2608 / 19.07",39.042,8.0763e-07,6.0928,3.245e-05,"Infected - Control"
"320.1709 / 1.82",38.984,8.1799e-07,6.0873,3.2763e-05,"Infected - Control"
"495.2240 / 10.16  MHK2",38.963,8.2169e-07,6.0853,3.2809e-05,"Infected - Control"
"413.2078 / 14.54  M2H2",38.893,8.3435e-07,6.0787,3.3175e-05,"Infected - Control"
"809.9155 / 19.92  M2NH42",38.829,8.4605e-07,6.0726,3.3175e-05,"Infected - Control"
"267.1353 / 3.37  MH",38.824,8.4714e-07,6.072,3.3175e-05,"Infected - Control"
"686.3111 / 19.69  M3H3",38.812,8.4931e-07,6.0709,3.3175e-05,"Infected - Control"
"378.1754 / 13.05",38.803,8.5092e-07,6.0701,3.3175e-05,"Infected - Control"
"517.7971 / 19.19",38.791,8.5321e-07,6.0689,3.3175e-05,"Infected - Control"
"470.7221 / 10.96  M-2H2-",38.783,8.5468e-07,6.0682,3.3175e-05,"Infected - Control"
"443.2853 / 15.47  MH",38.78,8.5529e-07,6.0679,3.3175e-05,"Infected - Control"
"110.9756 / 1.86",38.771,8.5692e-07,6.0671,3.3175e-05,"Infected - Control"
"262.1835 / 19.21",38.744,8.6202e-07,6.0645,3.3175e-05,"Control - Infected"
"345.2137 / 3.57",38.734,8.6385e-07,6.0636,3.3175e-05,"Infected - Control"
"432.7469 / 17.85  M2",38.733,8.6404e-07,6.0635,3.3175e-05,"Infected - Control"
"439.2266 / 10.13  M2H2",38.73,8.6461e-07,6.0632,3.3175e-05,"Infected - Control"
"459.3148 / 17.82",38.716,8.6734e-07,6.0618,3.3179e-05,"Infected - Control"
"541.2136 / 14.23",38.686,8.7313e-07,6.0589,3.3301e-05,"Infected - Control"
"593.3303 / 16.49  MNH4",38.668,8.7656e-07,6.0572,3.3333e-05,"Infected - Control"
"538.2242 / 19.08  MHNa2",38.634,8.8309e-07,6.054,3.3481e-05,"Infected - Control"
"345.1031 / 11.72  MNa-2H-",38.595,8.9065e-07,6.0503,3.3668e-05,"Infected - Control"
"544.2789 / 14.22",38.573,8.949e-07,6.0482,3.3729e-05,"Infected - Control"
"791.3599 / 15.55",38.56,8.9759e-07,6.0469,3.3731e-05,"Infected - Control"
"423.2304 / 15.02",38.508,9.0789e-07,6.042,3.3902e-05,"Infected - Control"
"437.2385 / 13.74",38.508,9.0792e-07,6.042,3.3902e-05,"Infected - Control"
"346.2436 / 1.00",38.491,9.1129e-07,6.0403,3.3902e-05,"Infected - Control"
"375.2210 / 3.76",38.465,9.1656e-07,6.0378,3.3902e-05,"Infected - Control"
"458.2738 / 1.87",38.464,9.1672e-07,6.0378,3.3902e-05,"Infected - Control"
"376.1834 / 19.61  MNa-2H-",38.445,9.2049e-07,6.036,3.3902e-05,"Infected - Control"
"334.1395 / 4.57  MCH3OHH",38.444,9.2073e-07,6.0359,3.3902e-05,"Infected - Control"
"316.1658 / 13.02  M-H2O-H-",38.42,9.2564e-07,6.0336,3.3985e-05,"Infected - Control"
"490.2508 / 11.07",38.379,9.3397e-07,6.0297,3.4193e-05,"Infected - Control"
"519.7671 / 11.65",38.31,9.4819e-07,6.0231,3.4535e-05,"Infected - Control"
"258.1819 / 1.47",38.308,9.4873e-07,6.0229,3.4535e-05,"Infected - Control"
"453.7366 / 10.31",38.243,9.6239e-07,6.0167,3.4798e-05,"Infected - Control"
"964.4329 / 10.99  MNa-2H-",38.232,9.6474e-07,6.0156,3.4798e-05,"Infected - Control"
"445.7038 / 11.29  MHK2",38.225,9.6625e-07,6.0149,3.4798e-05,"Infected - Control"
"600.3704 / 8.01",38.217,9.6798e-07,6.0141,3.4798e-05,"Infected - Control"
"439.7266 / 10.12",38.209,9.6956e-07,6.0134,3.4798e-05,"Infected - Control"
"130.0885 / 8.37",38.168,9.785e-07,6.0094,3.502e-05,"Control - Infected"
"440.2980 / 15.59",38.126,9.8752e-07,6.0055,3.508e-05,"Infected - Control"
"479.2499 / 11.58  MNa",38.12,9.8882e-07,6.0049,3.508e-05,"Infected - Control"
"942.4522 / 10.99  M-H-",38.11,9.9107e-07,6.0039,3.508e-05,"Infected - Control"
"330.1664 / 11.73  MH",38.11,9.9115e-07,6.0039,3.508e-05,"Infected - Control"
"713.3455 / 9.84  M-H-",38.074,9.9904e-07,6.0004,3.5252e-05,"Infected - Control"
"575.2775 / 16.98",38.057,1.0028e-06,5.9988,3.5252e-05,"Infected - Control"
"298.1399 / 8.04",38.037,1.0072e-06,5.9969,3.5252e-05,"Infected - Control"
"446.2611 / 8.34",38.034,1.0079e-06,5.9966,3.5252e-05,"Infected - Control"
"407.2135 / 2.83  MCH3OHH",38.026,1.0098e-06,5.9958,3.5252e-05,"Infected - Control"
"311.1592 / 3.40",38.002,1.015e-06,5.9935,3.5286e-05,"Infected - Control"
"379.7088 / 10.72",37.997,1.0163e-06,5.993,3.5286e-05,"Infected - Control"
"825.3967 / 14.37",37.936,1.03e-06,5.9872,3.5665e-05,"Infected - Control"
"504.2660 / 10.15",37.918,1.0343e-06,5.9854,3.5701e-05,"Infected - Control"
"204.0569 / 1.46",37.907,1.0366e-06,5.9844,3.5701e-05,"Control - Infected"
"576.8104 / 19.66  M2H2",37.895,1.0394e-06,5.9832,3.5702e-05,"Infected - Control"
"400.2060 / 11.83  M2Na2",37.86,1.0476e-06,5.9798,3.5884e-05,"Infected - Control"
"499.9216 / 13.72  M3H3",37.809,1.0596e-06,5.9749,3.6106e-05,"Infected - Control"
"449.7488 / 19.19",37.808,1.0597e-06,5.9748,3.6106e-05,"Infected - Control"
"757.2987 / 18.94",37.773,1.068e-06,5.9714,3.6172e-05,"Infected - Control"
"362.2111 / 3.50",37.764,1.0701e-06,5.9706,3.6172e-05,"Infected - Control"
"418.2251 / 11.01  M3H3",37.764,1.0701e-06,5.9706,3.6172e-05,"Infected - Control"
"417.2233 / 6.26",37.743,1.0751e-06,5.9686,3.6244e-05,"Infected - Control"
"397.2247 / 11.63",37.689,1.0881e-06,5.9634,3.6256e-05,"Infected - Control"
"263.1674 / 22.15",37.682,1.0898e-06,5.9626,3.6256e-05,"Control - Infected"
"403.7072 / 9.55  MH",37.676,1.0912e-06,5.9621,3.6256e-05,"Infected - Control"
"556.3216 / 16.92",37.667,1.0935e-06,5.9612,3.6256e-05,"Infected - Control"
"523.2700 / 14.08  M2H2",37.666,1.0938e-06,5.9611,3.6256e-05,"Infected - Control"
"379.7229 / 10.83",37.664,1.0943e-06,5.9609,3.6256e-05,"Infected - Control"
"332.2191 / 7.10  MH",37.655,1.0965e-06,5.96,3.6256e-05,"Infected - Control"
"677.3196 / 19.58  M-2H2-",37.648,1.0982e-06,5.9593,3.6256e-05,"Infected - Control"
"486.2656 / 7.41",37.607,1.1082e-06,5.9554,3.6365e-05,"Infected - Control"
"416.2343 / 10.19",37.601,1.1096e-06,5.9548,3.6365e-05,"Infected - Control"
"463.9136 / 13.53  M3H3",37.595,1.111e-06,5.9543,3.6365e-05,"Infected - Control"
"485.2395 / 15.33",37.584,1.1138e-06,5.9532,3.6365e-05,"Infected - Control"
"581.8142 / 19.54",37.567,1.1182e-06,5.9515,3.6365e-05,"Infected - Control"
"541.3458 / 15.56",37.561,1.1197e-06,5.9509,3.6365e-05,"Infected - Control"
"488.2614 / 12.12  M2H2",37.548,1.1228e-06,5.9497,3.6365e-05,"Infected - Control"
"344.9841 / 18.56",37.543,1.1242e-06,5.9491,3.6365e-05,"Infected - Control"
"431.2469 / 12.76",37.502,1.1345e-06,5.9452,3.6433e-05,"Infected - Control"
"587.3024 / 15.99  M-H-",37.496,1.136e-06,5.9446,3.6433e-05,"Infected - Control"
"304.1664 / 8.08",37.46,1.145e-06,5.9412,3.6433e-05,"Infected - Control"
"490.2319 / 10.30",37.458,1.1457e-06,5.9409,3.6433e-05,"Infected - Control"
"459.7504 / 10.67  M2H2",37.458,1.1457e-06,5.9409,3.6433e-05,"Infected - Control"
"357.2449 / 5.33",37.457,1.1458e-06,5.9409,3.6433e-05,"Infected - Control"
"428.7079 / 15.05",37.453,1.1469e-06,5.9405,3.6433e-05,"Infected - Control"
"378.1790 / 10.64",37.411,1.1577e-06,5.9364,3.6433e-05,"Infected - Control"
"643.3050 / 2.69  2MK-2H-",37.401,1.1604e-06,5.9354,3.6433e-05,"Infected - Control"
"495.2465 / 12.85",37.397,1.1614e-06,5.935,3.6433e-05,"Infected - Control"
"474.2458 / 8.12",37.379,1.166e-06,5.9333,3.6433e-05,"Infected - Control"
"520.2759 / 16.72",37.371,1.1681e-06,5.9325,3.6433e-05,"Infected - Control"
"697.3117 / 18.99",37.34,1.1762e-06,5.9295,3.6433e-05,"Infected - Control"
"549.3146 / 16.50",37.331,1.1786e-06,5.9286,3.6433e-05,"Infected - Control"
"501.2563 / 13.70  M3H3",37.323,1.1809e-06,5.9278,3.6433e-05,"Infected - Control"
"854.3902 / 15.20  M-H-",37.302,1.1863e-06,5.9258,3.6433e-05,"Infected - Control"
"896.4498 / 19.77  MAcO-H-",37.301,1.1866e-06,5.9257,3.6433e-05,"Infected - Control"
"465.1999 / 3.44",37.293,1.1889e-06,5.9249,3.6433e-05,"Infected - Control"
"590.3067 / 16.53  M",37.287,1.1903e-06,5.9244,3.6433e-05,"Infected - Control"
"557.2560 / 15.51",37.281,1.192e-06,5.9237,3.6433e-05,"Infected - Control"
"686.2954 / 20.55  M-H-",37.28,1.1922e-06,5.9236,3.6433e-05,"Infected - Control"
"524.2869 / 17.59",37.278,1.1926e-06,5.9235,3.6433e-05,"Infected - Control"
"498.2194 / 14.12  M3H3",37.272,1.1944e-06,5.9229,3.6433e-05,"Infected - Control"
"416.1230 / 7.71",37.269,1.1952e-06,5.9226,3.6433e-05,"Infected - Control"
"400.1873 / 8.67",37.26,1.1976e-06,5.9217,3.6433e-05,"Infected - Control"
"452.2798 / 14.04",37.211,1.2109e-06,5.9169,3.6649e-05,"Infected - Control"
"517.1897 / 13.02",37.179,1.2195e-06,5.9138,3.6649e-05,"Infected - Control"
"358.1973 / 13.65  M-H-",37.176,1.2204e-06,5.9135,3.6649e-05,"Infected - Control"
"356.0360 / 7.73  M-H-",37.164,1.2238e-06,5.9123,3.6649e-05,"Control - Infected"
"204.1233 / 7.36",37.152,1.2269e-06,5.9112,3.6649e-05,"Control - Infected"
"430.1567 / 11.49  MNa-2H-",37.131,1.2327e-06,5.9092,3.6649e-05,"Infected - Control"
"427.2189 / 15.17  MH",37.1,1.2412e-06,5.9061,3.6649e-05,"Infected - Control"
"526.2309 / 12.53  MHK2",37.1,1.2413e-06,5.9061,3.6649e-05,"Infected - Control"
"415.2356 / 8.13",37.09,1.244e-06,5.9052,3.6649e-05,"Infected - Control"
"135.0309 / 1.47  M-H-",37.087,1.2451e-06,5.9048,3.6649e-05,"Control - Infected"
"300.1545 / 3.76",37.068,1.2503e-06,5.903,3.6649e-05,"Infected - Control"
"500.6188 / 7.61  M3H3",37.059,1.2529e-06,5.9021,3.6649e-05,"Infected - Control"
"735.3270 / 9.84  MNa-2H-",37.047,1.2561e-06,5.901,3.6649e-05,"Infected - Control"
"636.3357 / 19.68",37.045,1.2567e-06,5.9008,3.6649e-05,"Infected - Control"
"580.2660 / 7.32  M2H2",37.044,1.257e-06,5.9006,3.6649e-05,"Infected - Control"
"389.6920 / 6.89  M2H2",37.012,1.2662e-06,5.8975,3.6649e-05,"Infected - Control"
"502.7740 / 10.52  M2H2",36.987,1.2734e-06,5.895,3.6649e-05,"Infected - Control"
"518.2822 / 10.97",36.985,1.274e-06,5.8948,3.6649e-05,"Infected - Control"
"369.1764 / 10.71",36.973,1.2772e-06,5.8937,3.6649e-05,"Infected - Control"
"472.7789 / 13.07",36.955,1.2824e-06,5.892,3.6649e-05,"Infected - Control"
"896.4697 / 19.20  M-H-",36.934,1.2885e-06,5.8899,3.6649e-05,"Infected - Control"
"506.2347 / 7.63  MNa-2H-",36.927,1.2906e-06,5.8892,3.6649e-05,"Infected - Control"
"373.1723 / 9.41  M-H-",36.927,1.2907e-06,5.8892,3.6649e-05,"Infected - Control"
"371.2303 / 9.71",36.921,1.2923e-06,5.8886,3.6649e-05,"Infected - Control"
"443.2406 / 10.91  M2H2",36.914,1.2945e-06,5.8879,3.6649e-05,"Infected - Control"
"715.3633 / 9.84",36.907,1.2964e-06,5.8872,3.6649e-05,"Infected - Control"
"458.2698 / 13.77  MNH4",36.906,1.2967e-06,5.8872,3.6649e-05,"Infected - Control"
"321.0050 / 15.21",36.906,1.2968e-06,5.8871,3.6649e-05,"Infected - Control"
"420.1394 / 11.49  M-H-",36.903,1.2976e-06,5.8868,3.6649e-05,"Infected - Control"
"876.3739 / 15.20  MNa-2H-",36.901,1.2983e-06,5.8866,3.6649e-05,"Infected - Control"
"288.2027 / 5.85",36.897,1.2993e-06,5.8863,3.6649e-05,"Infected - Control"
"517.2974 / 11.15",36.883,1.3033e-06,5.8849,3.6649e-05,"Infected - Control"
"452.2561 / 12.48",36.882,1.3039e-06,5.8848,3.6649e-05,"Infected - Control"
"380.1816 / 11.59",36.881,1.3039e-06,5.8847,3.6649e-05,"Infected - Control"
"701.1909 / 1.56",36.865,1.3089e-06,5.8831,3.6649e-05,"Infected - Control"
"561.7787 / 19.86",36.86,1.3102e-06,5.8827,3.6649e-05,"Infected - Control"
"589.3189 / 12.20",36.858,1.3108e-06,5.8825,3.6649e-05,"Infected - Control"
"814.4449 / 19.77",36.827,1.32e-06,5.8794,3.6707e-05,"Infected - Control"
"554.2824 / 13.14",36.804,1.327e-06,5.8771,3.6707e-05,"Infected - Control"
"409.1718 / 4.83",36.8,1.328e-06,5.8768,3.6707e-05,"Infected - Control"
"233.9828 / 1.79",36.789,1.3315e-06,5.8757,3.6707e-05,"Infected - Control"
"550.2634 / 17.13",36.783,1.3333e-06,5.8751,3.6707e-05,"Infected - Control"
"433.2074 / 16.66  2MH",36.777,1.3349e-06,5.8746,3.6707e-05,"Infected - Control"
"695.2939 / 19.01  MBr-",36.777,1.3349e-06,5.8745,3.6707e-05,"Infected - Control"
"433.2272 / 12.00  M2H2",36.767,1.338e-06,5.8735,3.6707e-05,"Infected - Control"
"201.1241 / 7.04",36.755,1.3417e-06,5.8723,3.6707e-05,"Infected - Control"
"554.7499 / 17.92",36.753,1.3423e-06,5.8722,3.6707e-05,"Infected - Control"
"443.2485 / 11.51",36.746,1.3445e-06,5.8714,3.6707e-05,"Infected - Control"
"573.8019 / 10.04",36.727,1.3503e-06,5.8696,3.6786e-05,"Infected - Control"
"809.4409 / 19.07  M-H-",36.707,1.3562e-06,5.8677,3.687e-05,"Infected - Control"
"510.2740 / 11.42  M2H2",36.689,1.3617e-06,5.8659,3.6915e-05,"Infected - Control"
"814.3566 / 20.01",36.683,1.3637e-06,5.8653,3.6915e-05,"Infected - Control"
"564.3198 / 16.36",36.662,1.3701e-06,5.8632,3.6991e-05,"Infected - Control"
"685.3089 / 13.62  M2H2",36.655,1.3723e-06,5.8626,3.6991e-05,"Infected - Control"
"685.3669 / 13.90",36.645,1.3756e-06,5.8615,3.7001e-05,"Infected - Control"
"646.7835 / 17.69  M2H2",36.615,1.385e-06,5.8586,3.7128e-05,"Infected - Control"
"524.2715 / 11.41",36.611,1.3861e-06,5.8582,3.7128e-05,"Infected - Control"
"515.2818 / 11.15",36.59,1.3928e-06,5.8561,3.7229e-05,"Infected - Control"
"474.2622 / 11.85  M2H2",36.545,1.4069e-06,5.8517,3.7456e-05,"Infected - Control"
"452.7380 / 16.83",36.535,1.41e-06,5.8508,3.7456e-05,"Infected - Control"
"409.2076 / 16.57  M-H-",36.535,1.41e-06,5.8508,3.7456e-05,"Infected - Control"
"548.2919 / 10.68",36.522,1.4144e-06,5.8494,3.7493e-05,"Infected - Control"
"816.4086 / 10.81  MH",36.483,1.4267e-06,5.8457,3.7668e-05,"Infected - Control"
"380.1917 / 7.58",36.483,1.4269e-06,5.8456,3.7668e-05,"Infected - Control"
"364.1508 / 4.24",36.446,1.4391e-06,5.8419,3.7798e-05,"Infected - Control"
"399.2352 / 6.58",36.44,1.4408e-06,5.8414,3.7798e-05,"Infected - Control"
"497.2719 / 8.49  MNH4",36.439,1.4413e-06,5.8412,3.7798e-05,"Infected - Control"
"219.0837 / 1.40  MCH3OHH",36.432,1.4436e-06,5.8405,3.7798e-05,"Control - Infected"
"629.3263 / 14.71",36.422,1.4467e-06,5.8396,3.7802e-05,"Infected - Control"
"544.2974 / 17.40",36.396,1.4553e-06,5.837,3.794e-05,"Infected - Control"
"588.3190 / 16.76  M2H2",36.388,1.458e-06,5.8362,3.794e-05,"Infected - Control"
"523.2735 / 15.49  M-H-",36.374,1.4625e-06,5.8349,3.7982e-05,"Infected - Control"
"567.3079 / 13.59  MNa",36.364,1.4658e-06,5.8339,3.7989e-05,"Infected - Control"
"441.2709 / 15.49",36.353,1.4697e-06,5.8328,3.8013e-05,"Infected - Control"
"692.3969 / 18.91",36.329,1.4776e-06,5.8304,3.8137e-05,"Infected - Control"
"478.2484 / 10.77  M2H2",36.312,1.4833e-06,5.8288,3.8137e-05,"Infected - Control"
"721.3880 / 18.97",36.307,1.4849e-06,5.8283,3.8137e-05,"Infected - Control"
"247.1086 / 9.56",36.303,1.4864e-06,5.8279,3.8137e-05,"Infected - Control"
"396.1163 / 15.16",36.292,1.4901e-06,5.8268,3.8154e-05,"Infected - Control"
"467.2369 / 9.93",36.205,1.52e-06,5.8182,3.8605e-05,"Infected - Control"
"375.2273 / 9.13",36.198,1.5226e-06,5.8174,3.8605e-05,"Infected - Control"
"831.4240 / 19.04  MNa-2H-",36.189,1.5256e-06,5.8165,3.8605e-05,"Infected - Control"
"552.2658 / 13.14",36.15,1.5391e-06,5.8127,3.8605e-05,"Infected - Control"
"476.7101 / 13.24",36.138,1.5434e-06,5.8115,3.8605e-05,"Infected - Control"
"484.2761 / 9.31",36.137,1.5437e-06,5.8115,3.8605e-05,"Infected - Control"
"506.2208 / 12.92",36.136,1.544e-06,5.8114,3.8605e-05,"Infected - Control"
"550.2987 / 7.89",36.134,1.5447e-06,5.8112,3.8605e-05,"Infected - Control"
"744.3548 / 11.43",36.126,1.5478e-06,5.8103,3.8605e-05,"Infected - Control"
"618.3072 / 19.17  MNa-2H-",36.12,1.5496e-06,5.8098,3.8605e-05,"Infected - Control"
"397.2194 / 8.45  M-H-",36.116,1.5511e-06,5.8094,3.8605e-05,"Infected - Control"
"318.2026 / 6.69",36.113,1.552e-06,5.8091,3.8605e-05,"Infected - Control"
"437.2505 / 11.83",36.092,1.5595e-06,5.807,3.8605e-05,"Infected - Control"
"295.1285 / 3.97",36.089,1.5606e-06,5.8067,3.8605e-05,"Infected - Control"
"513.2573 / 16.09",36.088,1.561e-06,5.8066,3.8605e-05,"Infected - Control"
"403.2558 / 10.33",36.071,1.5671e-06,5.8049,3.8605e-05,"Infected - Control"
"330.2029 / 7.08",36.059,1.5716e-06,5.8037,3.8605e-05,"Infected - Control"
"166.0859 / 11.39",36.054,1.5733e-06,5.8032,3.8605e-05,"Infected - Control"
"487.2684 / 8.03  MH",36.019,1.5861e-06,5.7997,3.8605e-05,"Infected - Control"
"470.7597 / 10.33",36.017,1.5865e-06,5.7996,3.8605e-05,"Infected - Control"
"467.2504 / 14.84",36.017,1.5866e-06,5.7995,3.8605e-05,"Infected - Control"
"533.7645 / 16.46  M2H2",36.017,1.5866e-06,5.7995,3.8605e-05,"Infected - Control"
"670.4229 / 15.58",36.014,1.5876e-06,5.7993,3.8605e-05,"Infected - Control"
"400.7136 / 10.30  M2H2",36.014,1.5878e-06,5.7992,3.8605e-05,"Infected - Control"
"527.2201 / 11.68",36.01,1.5892e-06,5.7988,3.8605e-05,"Infected - Control"
"426.6906 / 15.20",36.001,1.5924e-06,5.7979,3.8605e-05,"Infected - Control"
"492.2920 / 16.23  MNH4",35.996,1.5944e-06,5.7974,3.8605e-05,"Infected - Control"
"524.2216 / 13.42",35.995,1.5948e-06,5.7973,3.8605e-05,"Infected - Control"
"398.1679 / 12.07",35.993,1.5953e-06,5.7972,3.8605e-05,"Infected - Control"
"792.8741 / 15.56  M2H2",35.978,1.6007e-06,5.7957,3.8638e-05,"Infected - Control"
"569.7558 / 19.86  M-2H2-",35.973,1.6027e-06,5.7951,3.8638e-05,"Infected - Control"
"250.0716 / 11.49",35.959,1.6077e-06,5.7938,3.8684e-05,"Control - Infected"
"588.3149 / 17.60",35.937,1.6158e-06,5.7916,3.8753e-05,"Infected - Control"
"482.2236 / 12.92  M-H-",35.935,1.6166e-06,5.7914,3.8753e-05,"Infected - Control"
"197.1297 / 11.75",35.922,1.6214e-06,5.7901,3.8795e-05,"Infected - Control"
"486.2188 / 12.08",35.903,1.6286e-06,5.7882,3.8855e-05,"Infected - Control"
"686.3013 / 15.50",35.899,1.63e-06,5.7878,3.8855e-05,"Infected - Control"
"489.7689 / 14.76",35.88,1.6371e-06,5.7859,3.8946e-05,"Infected - Control"
"696.3037 / 12.75",35.87,1.6409e-06,5.7849,3.8946e-05,"Infected - Control"
"704.3971 / 19.78  MH",35.863,1.6437e-06,5.7842,3.8946e-05,"Infected - Control"
"458.2499 / 8.24  M2H2",35.856,1.646e-06,5.7836,3.8946e-05,"Infected - Control"
"553.8054 / 19.63  M2H2",35.828,1.6567e-06,5.7808,3.9076e-05,"Infected - Control"
"489.2565 / 9.76",35.826,1.6576e-06,5.7805,3.9076e-05,"Infected - Control"
"177.9914 / 1.82",35.793,1.6699e-06,5.7773,3.9149e-05,"Infected - Control"
"918.4466 / 18.54  M-2H2-",35.779,1.6755e-06,5.7758,3.9149e-05,"Infected - Control"
"409.2084 / 6.65  MH",35.768,1.6796e-06,5.7748,3.9149e-05,"Infected - Control"
"344.2183 / 11.11",35.755,1.6848e-06,5.7735,3.9149e-05,"Infected - Control"
"411.2234 / 17.89  M-H-",35.738,1.6912e-06,5.7718,3.9149e-05,"Infected - Control"
"431.1771 / 12.13",35.725,1.6965e-06,5.7704,3.9149e-05,"Infected - Control"
"481.2282 / 11.61",35.72,1.6984e-06,5.77,3.9149e-05,"Infected - Control"
"480.2445 / 11.07",35.716,1.7e-06,5.7695,3.9149e-05,"Infected - Control"
"433.5526 / 16.71",35.713,1.7013e-06,5.7692,3.9149e-05,"Infected - Control"
"356.6859 / 3.96  M2H2",35.708,1.7029e-06,5.7688,3.9149e-05,"Infected - Control"
"585.8335 / 13.53  M2H2",35.699,1.7067e-06,5.7679,3.9149e-05,"Infected - Control"
"655.3373 / 12.85  M2H2",35.691,1.7096e-06,5.7671,3.9149e-05,"Infected - Control"
"467.2498 / 11.48",35.691,1.7097e-06,5.7671,3.9149e-05,"Infected - Control"
"529.3069 / 2.10",35.691,1.7098e-06,5.7671,3.9149e-05,"Infected - Control"
"360.2038 / 6.71",35.682,1.7131e-06,5.7662,3.9149e-05,"Infected - Control"
"527.3186 / 14.52",35.682,1.7131e-06,5.7662,3.9149e-05,"Infected - Control"
"251.0999 / 6.82  MNa",35.681,1.7138e-06,5.766,3.9149e-05,"Infected - Control"
"230.1140 / 3.47",35.675,1.7159e-06,5.7655,3.9149e-05,"Infected - Control"
"515.2504 / 15.43",35.647,1.7269e-06,5.7627,3.9198e-05,"Infected - Control"
"378.2062 / 12.14  M2H2",35.635,1.7319e-06,5.7615,3.9198e-05,"Infected - Control"
"716.7940 / 13.27",35.634,1.7322e-06,5.7614,3.9198e-05,"Infected - Control"
"190.1075 / 3.76",35.632,1.7328e-06,5.7612,3.9198e-05,"Control - Infected"
"434.1607 / 12.99  M-H-",35.631,1.7334e-06,5.7611,3.9198e-05,"Infected - Control"
"487.2873 / 12.84  MH",35.624,1.7364e-06,5.7603,3.9198e-05,"Infected - Control"
"636.2628 / 10.20  M-H-",35.61,1.7418e-06,5.759,3.9245e-05,"Infected - Control"
"421.1663 / 15.46",35.587,1.7512e-06,5.7567,3.9245e-05,"Infected - Control"
"533.2117 / 17.20  M-2H2-",35.587,1.7512e-06,5.7567,3.9245e-05,"Infected - Control"
"325.1739 / 6.83",35.585,1.7517e-06,5.7565,3.9245e-05,"Infected - Control"
"441.1609 / 11.39",35.58,1.7538e-06,5.756,3.9245e-05,"Infected - Control"
"569.2960 / 1.78",35.558,1.7627e-06,5.7538,3.9267e-05,"Infected - Control"
"522.2416 / 3.08  MCH3OHH",35.554,1.7644e-06,5.7534,3.9267e-05,"Infected - Control"
"431.2678 / 8.07",35.542,1.7694e-06,5.7522,3.9267e-05,"Infected - Control"
"707.3366 / 10.13  MH",35.54,1.77e-06,5.752,3.9267e-05,"Infected - Control"
"436.2214 / 9.02  M2H2",35.54,1.7702e-06,5.752,3.9267e-05,"Infected - Control"
"244.1739 / 6.89",35.52,1.7785e-06,5.75,3.9377e-05,"Infected - Control"
"496.2400 / 9.80  MNa",35.513,1.7813e-06,5.7493,3.9377e-05,"Infected - Control"
