"","Loading (t1)","OrthoLoading (to1)"
"158.1182 / 2.26  MCH3OHH",0.0081333,-0.0078455
"158.1503 / 21.48",0.0081635,0.0069608
"158.1541 / 1.59",-0.006479,0.0057412
"158.9746 / 1.96",-0.0051416,0.0076411
"158.9930 / 2.78",0.0031561,0.0075231
"158.9931 / 20.90",0.00097228,-0.00032887
"158.9932 / 24.95",-0.003195,0.0041717
"158.9933 / 14.49",0.0030609,-0.0019749
"158.9958 / 1.86",-0.0089498,0.0074424
"158.9959 / 1.06  MH",-0.01284,0.010878
"158.9960 / 24.02",-0.0017501,-0.0020872
"158.9963 / 22.10  MH",-0.0044655,-0.0038219
"158.9965 / 22.71  MH",-0.0032961,-0.0019846
"158.9967 / 21.43",-0.0010526,-0.0029878
"158.9967 / 23.51",-0.001571,0.0050599
"158.9967 / 5.67",0.0012008,0.0076276
"158.9968 / 12.28  MH",-0.00024107,-0.0040049
"158.9968 / 3.86",-0.0040434,0.0037313
"158.9969 / 11.27",0.0061268,-0.00065707
"158.9969 / 28.06  MH",0.0010939,0.007369
