"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"130.0861 / 1.12  MH",0.18321,1.2887,1.2686,1.2646,1.2642
"130.0868 / 1.80",0.27987,0.74298,0.73122,0.72844,0.72815
"130.1562 / 0.11",0.47957,0.37796,0.52183,0.53615,0.53593
"130.1562 / 10.18",0.22811,0.54938,0.64789,0.67804,0.67775
"130.1579 / 4.88",0.021345,0.20485,0.25183,0.251,0.25248
"130.1589 / 8.84",0.022047,0.83983,0.94137,0.9743,0.97396
"130.1589 / 9.37",0.26292,0.73175,0.72054,0.72121,0.72127
"130.9632 / 2.66",0.63522,0.85437,0.84276,0.84742,0.8472
"130.9633 / 0.43",0.36482,1.2108,1.1937,1.1898,1.1901
"130.9634 / 31.83",0.026497,0.035258,0.063025,0.0766,0.084139
"130.9984 / 17.69",0.57206,0.61439,0.62168,0.62546,0.62569
"130.9985 / 0.29",0.13656,0.6601,0.76009,0.76961,0.76929
"130.9988 / 12.84",0.051382,0.6511,0.64721,0.64531,0.64656
"130.9993 / 14.05",0.61413,0.5761,0.63374,0.63131,0.63476
"131.0493 / 2.80",0.25041,0.80906,0.79695,0.79475,0.79446
"132.0445 / 2.30  MNH4",0.29732,1.244,1.2269,1.2229,1.223
"132.0775 / 1.50",0.34051,0.72384,0.71351,0.71082,0.71055
"132.0809 / 4.22",0.26546,0.84165,0.82844,0.82756,0.82726
"132.1025 / 1.91",0.1123,0.65291,0.64353,0.64181,0.64156
"132.9043 / 0.47",0.56511,0.44636,0.45644,0.45942,0.4594
"132.9554 / 16.23",0.31032,0.3906,0.38568,0.44839,0.44867
"132.9554 / 4.53",0.68719,0.54301,0.54718,0.55462,0.55768
"132.9555 / 29.53",0.004362,0.060632,0.059696,0.059502,0.059493
"132.9567 / 17.82",0.56738,0.45757,0.45083,0.48062,0.48194
"132.9579 / 13.28",0.41199,0.50023,0.55192,0.55314,0.55579
"132.9582 / 7.42",0.079421,0.06688,0.067418,0.14825,0.14969
"132.9582 / 9.59",0.38,0.46464,0.45743,0.45704,0.45712
"132.9583 / 12.07",0.70193,0.60493,0.60068,0.60016,0.60029
"132.9584 / 10.23",0.13192,0.2347,0.44972,0.44801,0.4512
"132.9584 / 8.42",0.014561,0.048655,0.14172,0.15519,0.1562
"132.9585 / 6.44",0.070957,0.33284,0.44238,0.46158,0.46628
"132.9586 / 2.69",0.089388,0.0797,0.078552,0.084466,0.084652
"132.9587 / 0.02",0.031315,0.037822,0.056831,0.065236,0.065244
"132.9587 / 1.87",0.075075,0.091475,0.12498,0.1246,0.12458
"132.9588 / 0.80",0.067346,0.094501,0.0934,0.093274,0.093806
"132.9588 / 19.96",0.55376,0.53722,0.54397,0.54194,0.54334
"132.9589 / 14.28",0.26839,0.53981,0.74983,0.75081,0.7505
