"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"145.0082 / 3.13",0.057202,1.6421,1.6634,1.6675,1.667
"145.0083 / 0.29",0.17351,0.63346,0.63116,0.62968,0.63011
"145.0083 / 29.35",0.022852,0.038736,0.041632,0.041475,0.041468
"145.0083 / 6.49",0.1363,0.24796,0.2443,0.27881,0.27915
"145.0084 / 31.59",0.17847,0.15092,0.14886,0.14936,0.15154
"145.0086 / 5.02",0.80386,1.0884,1.1039,1.1007,1.1013
"145.0174 / 1.07",0.21427,0.66536,0.65903,0.65692,0.65691
"145.1015 / 20.50",0.69524,0.65093,0.72993,0.74019,0.74009
"145.1048 / 1.84",0.24498,0.48192,0.48296,0.4821,0.48192
"146.0268 / 1.81",0.1926,1.3723,1.3532,1.3506,1.35
"146.0271 / 2.49",0.039325,1.1448,1.2098,1.2098,1.2123
"146.0603 / 4.28",0.25088,0.816,0.80329,0.80231,0.80202
"146.0604 / 11.12",1.5571,1.769,1.7845,1.7777,1.7771
"146.0604 / 8.03",0.4715,1.0529,1.0364,1.0324,1.032
"146.0606 / 3.04  MH",0.086683,0.5267,0.53066,0.52888,0.52916
"146.1177 / 1.48",0.0043568,0.47513,0.4681,0.46798,0.46779
"146.1654 / 1.00",0.026197,1.3619,1.3479,1.3445,1.344
"146.9706 / 0.06",0.23032,0.18165,0.17988,0.1796,0.18038
"146.9706 / 4.59",0.055047,0.4762,0.49685,0.51342,0.51475
"146.9706 / 7.14",0.35213,0.31952,0.31546,0.32268,0.32255
"146.9706 / 9.11",0.22479,0.59182,0.58448,0.58721,0.5873
"146.9743 / 12.91",0.45428,0.56018,0.56006,0.56408,0.56509
"146.9743 / 17.35",0.050705,0.17426,0.29843,0.30297,0.30805
"146.9744 / 11.24",0.11847,0.5659,0.6084,0.61149,0.61561
"146.9744 / 18.14",0.010697,0.23182,0.23755,0.23787,0.2402
"146.9744 / 2.52  MCH3OHH",0.73823,0.596,0.7163,0.71682,0.71787
"146.9745 / 0.61",0.32873,0.55821,0.55472,0.55294,0.55308
"146.9745 / 10.41",0.35677,0.28196,0.28996,0.28972,0.29255
"146.9745 / 3.71",0.29423,0.39072,0.45825,0.45888,0.45871
"146.9746 / 29.02  MCH3OHH",1.0441,0.85432,0.8611,0.88073,0.88077
"147.0291 / 1.84",0.35948,0.32993,0.32737,0.32731,0.32718
"147.0443 / 2.13  MCH3OHH",0.24912,0.75093,0.73899,0.73766,0.7375
"147.0629 / 4.21",0.27599,0.87537,0.86162,0.86035,0.86006
"147.0763 / 1.43  MNH4",0.31907,0.73883,0.728,0.72533,0.72516
"147.0766 / 10.59  MNH4",0.22797,0.70149,0.77343,0.77048,0.77017
"147.1132 / 1.03  MNH4",0.38604,1.8522,1.8316,1.8263,1.8258
"148.0471 / 2.09",0.26537,0.80647,0.7937,0.7922,0.792
"148.0569 / 2.84",0.0026269,0.72864,0.72741,0.72642,0.72624
"149.0198 / 1.64",0.070809,0.13852,0.14172,0.1413,0.14127
"149.0198 / 21.80",0.029841,0.093564,0.65242,0.6628,0.66281
"149.0199 / 20.51",0.082534,0.1614,0.17483,0.17836,0.17831
"149.0200 / 21.28",0.056853,0.096186,0.098616,0.098329,0.098301
"149.0202 / 18.59",0.87318,0.82306,0.81254,0.83588,0.83618
"149.0223 / 19.92",1.0093,1.5261,1.5154,1.5115,1.5123
"149.0229 / 2.41",0.027468,0.057045,0.064548,0.06746,0.067434
"149.0230 / 19.20",1.1067,1.3511,1.3699,1.3649,1.3668
"149.0231 / 24.10",0.013921,0.017625,0.017441,0.017383,0.017486
"149.0231 / 7.69",0.37138,0.70348,0.69459,0.69238,0.69209
"149.0233 / 22.73",0.073917,0.074943,0.078869,0.07861,0.078641
"149.0234 / 12.45",0.32572,0.25701,0.25867,0.26711,0.27106
"149.0235 / 16.26",0.50185,0.81642,0.85939,0.85732,0.87106
"149.0236 / 3.08",1.0299,2.7736,2.7308,2.7208,2.7197
"149.0237 / 0.04",0.33796,0.3162,0.50709,0.51115,0.51142
"149.0237 / 4.42",0.91846,2.4968,2.4633,2.4558,2.4549
"149.0238 / 28.59",0.048984,0.059897,0.059614,0.059607,0.059863
"149.0239 / 14.85",0.021555,0.41874,0.56413,0.56766,0.57057
"149.0239 / 15.53",0.49357,0.53627,0.53717,0.53641,0.53693
"149.0239 / 8.26",0.40619,0.50197,0.59731,0.59938,0.59926
"149.0240 / 13.06",0.94574,0.78826,0.78449,0.78791,0.78767
"149.0240 / 17.31",0.16433,0.42359,0.47178,0.47546,0.47661
"149.0240 / 8.82",0.82865,0.81539,0.80956,0.87242,0.87675
"149.0242 / 11.81",0.90124,0.75007,0.73829,0.73877,0.74005
"149.0242 / 18.00",0.38958,0.73387,0.84872,0.86212,0.86565
"149.0587 / 2.74",0.26577,0.84081,0.82882,0.82632,0.82602
"150.0223 / 2.44",0.49785,0.42753,0.52633,0.52869,0.52916
"150.0549 / 3.04",0.016139,0.78747,0.78237,0.77966,0.7798
"150.0586 / 1.77  MNH4",0.39041,1.041,1.0251,1.0237,1.0233
"150.0773 / 1.80",0.35981,0.98109,0.96563,0.96203,0.96163
"150.0909 / 1.80",0.33804,0.74979,0.73974,0.73722,0.73691
"150.0915 / 4.86",1.4568,2.0354,2.0063,2.0012,2.0008
"151.0618 / 6.79",0.23622,1.014,1.0043,1.0006,1.0004
"151.0750 / 20.08",0.21013,0.53314,0.58177,0.59523,0.5958
"151.0993 / 11.55",0.22344,0.51173,0.50692,0.50515,0.50575
"152.0094 / 2.94",0.24392,0.47076,0.46374,0.46201,0.46186
"152.0157 / 17.78",0.41133,0.65165,0.94568,0.94211,0.94464
"152.0569 / 12.00",1.4513,1.1853,1.1665,1.1638,1.1656
"152.0571 / 6.71",0.42301,1.3724,1.3518,1.3475,1.3469
"152.0573 / 3.18  MNH4",0.47303,0.37766,0.39512,0.42154,0.42156
"152.0574 / 4.32",0.029773,0.26757,0.26628,0.37738,0.38658
"152.0690 / 2.38",0.055021,1.0225,1.0222,1.019,1.0186
"152.0701 / 1.87",0.014529,0.43587,0.437,0.43603,0.43595
"152.0710 / 5.66",1.9503,1.8913,1.8805,1.8762,1.8756
"152.0712 / 7.35  MH",1.1337,0.93647,0.94543,0.94363,0.94437
"153.0408 / 5.30",0.20169,1.2174,1.1985,1.194,1.1939
"153.0412 / 4.09  MNH4",0.4047,0.40487,0.40223,0.4032,0.40319
"153.0664 / 5.75  MH",0.60246,1.0733,1.0591,1.0556,1.0554
"153.0668 / 7.72  MNH4",0.39701,1.4087,1.3976,1.3923,1.3928
"153.1240 / 1.76",0.078911,0.25364,0.25785,0.25786,0.25836
"153.1240 / 7.39",0.32035,0.60244,0.63633,0.69467,0.69541
"153.1241 / 14.26",0.49953,0.53307,0.64574,0.65713,0.65985
"153.1268 / 15.23",0.10501,0.14985,0.27047,0.29068,0.29124
"153.1269 / 12.94",0.85607,0.81679,0.80497,0.80939,0.80929
"153.1270 / 6.41  MCH3OHH",1.207,2.1567,2.1327,2.1253,2.128
"153.1272 / 11.63  MCH3OHH",0.20898,0.95621,0.94207,0.94221,0.9439
"153.1272 / 16.08",0.44523,0.38473,0.39247,0.39294,0.39299
"153.1273 / 9.40",0.32921,0.63036,0.64106,0.63949,0.63936
"153.1274 / 0.26  MCH3OHH",0.52071,0.61327,0.60366,0.62621,0.62739
"153.1275 / 5.25",1.235,2.5141,2.4822,2.4827,2.4824
"153.1275 / 9.96",0.0086862,0.53619,0.61974,0.64415,0.64545
"153.1276 / 29.50",0.058358,0.12412,0.12401,0.1241,0.12412
"153.1276 / 4.63",0.57987,0.52768,0.52054,0.53242,0.53584
"153.1278 / 2.37",0.66864,1.9999,2.0266,2.0191,2.0186
"153.1279 / 0.88",0.061958,0.16238,0.16086,0.16033,0.16032
"153.1279 / 3.87",0.83667,0.65938,0.71256,0.71013,0.71359
"153.1280 / 31.53",0.028252,0.15028,0.1858,0.186,0.18596
"153.1286 / 8.62",0.27741,0.59409,0.60166,0.61398,0.61384
"153.9957 / 9.93",1.1093,0.88189,0.90242,0.93155,0.93152
"154.0425 / 4.13",0.41961,0.42721,0.42452,0.42568,0.42573
"154.0440 / 2.58",0.17039,0.46449,0.45798,0.45623,0.45619
"154.0498 / 8.45",0.051991,0.57248,0.59331,0.63214,0.63209
"154.0502 / 18.57",0.3955,0.91114,0.90562,0.90309,0.90321
"154.0513 / 7.76",0.94932,2.0087,1.9884,1.9825,1.9819
"154.0697 / 5.78",0.76308,1.2606,1.2425,1.2381,1.2385
"155.0452 / 1.99",0.32382,0.77506,0.76605,0.76318,0.7629
"155.0531 / 7.79",1.0599,1.5179,1.5085,1.5139,1.5133
"155.0701 / 16.46",0.38243,0.36275,0.42302,0.44681,0.44678
"155.0702 / 13.93",0.35057,0.64409,0.64778,0.64862,0.64863
"155.0813 / 4.18  MCH3OHH",0.024113,0.13202,0.13752,0.137,0.13807
"155.9708 / 10.71",0.37706,0.67623,0.66766,0.66802,0.66774
"155.9735 / 31.76",0.19056,0.48106,0.47479,0.47378,0.47368
"155.9738 / 5.41",0.019813,0.17649,0.18455,0.18516,0.18527
"155.9740 / 12.80",0.21097,0.17,0.30469,0.30545,0.30538
"155.9741 / 11.55",0.30678,0.86618,0.86933,0.8844,0.88402
"155.9741 / 4.51",0.070808,0.56013,0.64298,0.65256,0.65352
"155.9742 / 8.67",0.39405,0.35825,0.49488,0.49509,0.49782
"155.9742 / 9.69",0.034137,0.30496,0.30355,0.30249,0.3028
"155.9743 / 14.23",0.5979,0.48785,0.49037,0.50539,0.5055
"155.9744 / 7.45",0.38323,0.31214,0.54296,0.5571,0.55758
"155.9745 / 1.77",0.51648,0.95109,0.94259,0.939,0.93864
"155.9745 / 16.36",0.68707,0.5718,0.59285,0.59582,0.59745
"155.9747 / 18.27",0.24285,0.20303,0.20028,0.2609,0.26095
"155.9748 / 6.68",0.31391,0.71749,0.75887,0.76002,0.76192
"155.9749 / 19.17",0.78909,0.62561,0.68266,0.68245,0.68267
"155.9749 / 2.65",0.087082,0.43651,0.43363,0.43793,0.43834
"155.9750 / 0.02",0.017712,0.16732,0.17601,0.17646,0.17647
"155.9750 / 0.93",0.016134,0.13473,0.15589,0.15531,0.15527
"155.9750 / 16.91",0.27246,0.74241,0.74922,0.74743,0.74814
"155.9751 / 28.69",0.033678,0.10027,0.10492,0.1057,0.10565
"155.9751 / 3.53",0.64789,0.71351,0.73965,0.73735,0.7392
"156.0108 / 16.05",0.0021096,0.091139,0.090054,0.11582,0.11612
"156.0655 / 3.60  MH",0.52152,0.47895,0.48632,0.50947,0.51327
"156.9588 / 12.01",1.0887,1.3695,1.3505,1.3491,1.3487
"156.9589 / 2.40",0.24105,0.20195,0.20264,0.21779,0.21781
"156.9589 / 7.78",0.22608,0.44147,0.48059,0.50111,0.50573
"156.9589 / 8.97",0.69702,0.82699,0.90741,0.91818,0.91828
"156.9589 / 9.81",0.35651,0.28964,0.29279,0.29875,0.30916
"156.9590 / 3.16",0.57021,1.5361,1.5174,1.5127,1.5125
"156.9591 / 0.55",0.0502,0.11616,0.12489,0.13002,0.13142
"156.9591 / 14.07",0.33787,0.55034,0.5576,0.55665,0.55701
"156.9592 / 13.11",0.3989,0.32018,0.31599,0.31553,0.31662
"156.9592 / 4.77",0.44079,0.40075,0.41175,0.41059,0.41798
"156.9592 / 5.91",0.68319,0.71502,0.74799,0.7502,0.74997
"156.9594 / 31.57",0.35209,0.28649,0.29412,0.29612,0.29653
"157.0477 / 2.54",0.16605,0.56588,0.64106,0.63901,0.63878
"157.0763 / 2.30",0.39409,1.2107,1.2003,1.1982,1.1982
"157.0829 / 4.81",0.041767,0.97535,0.98527,0.98222,0.98709
"157.0973 / 6.99  MNH4",0.35699,0.32895,0.57316,0.58091,0.58135
"157.1337 / 2.32",1.8121,1.4345,1.4121,1.4069,1.4063
"157.5692 / 14.13",0.72608,0.68857,0.67812,0.69611,0.69619
"158.0606 / 2.30  MH",0.23193,0.99263,0.98537,0.98229,0.98224
"158.0814 / 8.34",2.2706,3.2077,3.171,3.1595,3.1582
"158.1178 / 3.99",0.78733,1.4212,1.4048,1.3995,1.3993
"158.1182 / 2.26  MCH3OHH",0.22194,0.41657,0.42983,0.42977,0.4301
"158.1503 / 21.48",0.070254,0.055647,0.055065,0.055411,0.055428
"158.1541 / 1.59",0.2261,0.42426,0.41769,0.4161,0.41595
"158.9746 / 1.96",0.14417,0.34934,0.34467,0.3446,0.34454
"158.9930 / 2.78",0.16167,0.21286,0.21919,0.24232,0.24284
"158.9931 / 20.90",0.25532,0.57262,0.79516,0.79223,0.79215
"158.9932 / 24.95",0.26488,0.58171,0.57732,0.57524,0.57514
"158.9933 / 14.49",0.33262,0.50201,0.49437,0.54447,0.54447
"158.9958 / 1.86",0.21182,0.39357,0.3874,0.38813,0.38849
"158.9959 / 1.06  MH",0.5848,1.0605,1.0469,1.0429,1.0428
"158.9960 / 24.02",0.26246,0.27107,0.57995,0.59259,0.59863
"158.9963 / 22.10  MH",0.3541,0.3044,0.44682,0.49411,0.50081
"158.9965 / 22.71  MH",0.33549,0.33763,0.40064,0.40325,0.40455
"158.9967 / 21.43",0.14553,0.16839,0.16583,0.16814,0.16813
"158.9967 / 23.51",0.065813,0.31079,0.33985,0.33864,0.33923
"158.9967 / 5.67",0.2221,0.31328,0.59332,0.61728,0.61877
"158.9968 / 12.28  MH",0.10445,0.25064,0.25399,0.36765,0.36805
"158.9968 / 3.86",0.70121,1.3037,1.2903,1.2858,1.2861
"158.9969 / 11.27",0.86102,1.1484,1.1307,1.1318,1.1326
"158.9969 / 28.06  MH",0.010131,0.033298,0.032783,0.032676,0.032671
"158.9970 / 13.34",0.42643,0.40571,0.63323,0.63671,0.6385
"158.9970 / 28.62",0.44021,0.44311,0.47725,0.47546,0.50124
"158.9970 / 4.47",1.0823,1.6966,1.6758,1.6838,1.6837
"158.9970 / 8.70",0.63479,0.62968,0.62667,0.62526,0.62701
"158.9971 / 26.33",0.04672,0.040557,0.35556,0.37465,0.37487
"158.9971 / 27.13  MH",0.31395,0.4569,0.5833,0.58108,0.58096
"158.9971 / 29.17",0.25838,0.21516,0.26436,0.32023,0.32605
"158.9971 / 6.42",0.35525,0.29846,0.29508,0.2951,0.29498
"158.9972 / 20.19",0.25015,0.21521,0.25005,0.25471,0.25519
"158.9972 / 25.64",0.10174,0.08353,0.14399,0.20199,0.20947
"158.9973 / 10.67",0.51562,0.8161,0.82319,0.82132,0.82531
"158.9973 / 18.99",0.73086,0.58379,0.5774,0.57844,0.58017
"158.9974 / 18.47",0.081884,0.80657,0.84747,0.84652,0.84621
"158.9974 / 7.91",0.13341,0.28545,0.28244,0.29233,0.29691
"158.9975 / 17.50",0.090298,0.63751,0.75607,0.75485,0.75484
"158.9976 / 16.65",0.11025,0.85611,1.0011,1.039,1.0467
"159.0273 / 2.76",0.63637,1.1844,1.1747,1.1705,1.1718
"159.0277 / 3.90  MNa",0.3454,0.31604,0.31443,0.31369,0.31377
"159.0760 / 2.73",0.05042,1.5649,1.5981,1.592,1.5916
"159.0769 / 1.45  MH",0.23228,0.49115,0.4835,0.48707,0.487
"159.0916 / 7.96",1.0748,1.1012,1.0852,1.0815,1.0827
"159.0918 / 5.10",0.56509,0.44881,0.44614,0.44759,0.44741
"159.0920 / 4.25",0.26521,0.87708,0.8634,0.8625,0.86219
"159.1124 / 3.31",1.2195,1.1574,1.1626,1.1583,1.1581
"159.1129 / 5.42",0.64909,0.93057,0.93455,0.93206,0.9343
"159.1172 / 20.44",0.4784,0.49064,0.51236,0.53667,0.54014
"159.1202 / 2.28",0.2453,0.47373,0.4904,0.49067,0.49101
"159.9998 / 1.04",0.63812,1.1358,1.1219,1.1176,1.1176
"160.0966 / 3.80",0.24413,0.30379,0.42573,0.43231,0.43636
"160.0967 / 1.51",0.28299,0.76277,0.75154,0.74917,0.7489
"160.1081 / 1.93",1.1588,2.2175,2.1839,2.1757,2.1748
"160.1332 / 1.59",0.26711,0.56009,0.55328,0.55128,0.55119
"160.1336 / 3.49",0.70155,0.62243,0.74482,0.74712,0.74685
"160.9895 / 1.83",0.089574,0.459,0.45206,0.45094,0.45076
"161.0259 / 3.60",1.0191,1.0851,1.2107,1.2121,1.2117
"161.0259 / 4.53",0.5789,1.2839,1.2637,1.2592,1.2593
"161.0259 / 6.43",0.33861,0.32639,0.38594,0.39014,0.39248
"161.0283 / 2.70",0.019195,0.20932,0.20882,0.20802,0.20795
"161.0285 / 31.37",0.23833,0.69241,0.68833,0.68646,0.68836
"161.0287 / 8.13",0.071919,0.51782,0.62053,0.62047,0.62022
"161.0288 / 0.38",0.1517,0.47772,0.47019,0.47302,0.47432
"161.0294 / 7.20",0.3178,0.2612,0.25777,0.28878,0.28904
"161.0295 / 5.50",0.12535,0.24257,0.24447,0.27767,0.27756
"161.0302 / 1.10",0.21229,0.62524,0.62,0.61825,0.61823
"161.0923 / 21.61",0.053804,0.045089,0.044466,0.044346,0.044423
"161.0954 / 22.28",0.0017658,0.040868,0.059362,0.059875,0.059895
"161.1328 / 22.10",0.24835,0.19947,0.20543,0.21891,0.21918
"162.0216 / 3.44",0.14695,0.41095,0.50356,0.50173,0.50437
"162.0273 / 1.04",0.22147,0.61251,0.60711,0.60559,0.60557
"162.0550 / 7.64",2.2129,2.8436,2.7988,2.7885,2.7874
"162.0661 / 3.16",0.88424,2.1538,2.129,2.1255,2.1248
"162.0903 / 1.86",0.021133,0.10298,0.12682,0.13361,0.13413
"162.1130 / 1.43  MCH3OHH",0.18186,0.49372,0.48686,0.48561,0.48544
"162.1489 / 1.53",0.058381,0.57854,0.62523,0.6258,0.62599
"163.0146 / 5.08",0.25197,0.27055,0.3499,0.35403,0.35427
"163.0148 / 29.42",0.010099,0.01148,0.018257,0.019776,0.019827
"163.0148 / 3.24",0.62449,1.0788,1.0783,1.0796,1.0792
"163.0149 / 5.97",0.32034,0.8685,0.86006,0.85914,0.8588
"163.0166 / 31.57",0.46374,0.38777,0.53467,0.54629,0.54609
"163.0195 / 0.42",0.13178,1.169,1.1524,1.1518,1.1521
"163.0273 / 1.08",0.21825,0.60137,0.59558,0.59401,0.594
"163.0344 / 3.25",0.33422,0.48865,0.4814,0.47976,0.47956
"163.0345 / 4.03",0.023516,0.22655,0.22401,0.22324,0.22315
"163.0352 / 20.03",0.081329,0.10807,0.10644,0.10606,0.10607
"163.0599 / 15.56",0.16108,0.20658,0.4277,0.44043,0.44155
"163.0755 / 20.44",0.14133,0.17426,0.31175,0.3107,0.31224
"163.0869 / 3.04  MNH4",0.022841,0.7796,0.7761,0.77322,0.77366
"164.0557 / 4.77",0.27893,1.0414,1.0258,1.0219,1.0215
"164.1070 / 3.22",0.18996,0.5184,0.68299,0.68196,0.68394
"164.9207 / 1.29",0.37052,0.86374,0.8543,0.85104,0.85068
"164.9207 / 2.65",0.35208,0.28761,0.28317,0.28222,0.28376
"164.9207 / 3.48",0.37546,0.33471,0.32969,0.32843,0.33039
"164.9526 / 1.07",0.04435,0.34432,0.34485,0.35147,0.3514
"165.0551 / 6.56",0.56219,1.1113,1.1201,1.1159,1.1156
"165.0554 / 2.10  MH",0.22317,0.73611,0.72442,0.723,0.72283
"165.0652 / 7.05  M",0.55633,1.0745,1.0717,1.0677,1.0673
"165.0765 / 17.16",0.1844,0.57845,0.57992,0.57782,0.57773
"166.0502 / 10.70",0.24946,1.1521,1.1878,1.1834,1.183
"166.0586 / 2.12  MH",0.26425,0.80164,0.78889,0.78717,0.78702
"166.0727 / 4.75",0.34001,0.8753,0.86434,0.86105,0.86077
"166.0727 / 5.78",0.46724,1.332,1.3113,1.3076,1.3071
"166.0727 / 7.21  MH",0.29651,1.0522,1.0393,1.0355,1.0352
"166.0837 / 1.79  MNa",0.057694,0.062523,0.15887,0.1594,0.15985
"166.0859 / 11.39",1.8075,1.431,1.4085,1.4038,1.4032
"166.0859 / 9.33",0.20048,1.5631,1.5605,1.557,1.5565
"166.0864 / 14.61",0.43279,0.82793,0.89063,0.88945,0.88912
"166.0867 / 2.81  MH",0.22762,0.77459,0.76353,0.76129,0.76102
"166.0869 / 6.26",0.24213,1.5886,1.5634,1.5575,1.557
"166.1341 / 7.17",0.23464,0.36584,0.6083,0.6076,0.60854
"167.0563 / 7.92",0.82831,1.5942,1.5898,1.5882,1.5895
"167.0568 / 8.70",0.73376,1.0314,1.1135,1.1168,1.1168
"167.0702 / 0.47",0.60122,0.53433,0.5267,0.52525,0.52509
"167.0708 / 20.27",0.068383,0.31409,0.72883,0.76818,0.76851
"167.0816 / 4.05",0.30732,1.7068,1.6835,1.6897,1.6893
"167.0896 / 2.74",0.26388,0.84184,0.8296,0.82703,0.82674
"167.1038 / 15.36",0.035758,0.31938,0.3931,0.39162,0.39146
"168.0633 / 3.61",0.45643,1.2278,1.2123,1.2081,1.208
"169.0317 / 2.87",0.20188,0.4208,0.41566,0.41413,0.41399
"169.0471 / 6.41",0.056775,0.72607,0.72489,0.7287,0.72863
"169.0585 / 1.43",0.40903,0.82367,0.81062,0.80761,0.80736
"169.0595 / 3.11",0.20445,0.55592,0.54756,0.54641,0.54624
"169.0976 / 6.56",0.36525,0.62402,0.61418,0.61207,0.61187
"169.9665 / 0.26",0.38587,0.3217,0.41647,0.41489,0.41607
"169.9864 / 1.45",0.58088,0.49903,0.49146,0.49112,0.49093
"170.0007 / 19.09",0.1587,0.4657,0.53483,0.54958,0.5495
"170.0383 / 2.89",0.24492,0.47396,0.4674,0.46563,0.46546
"170.0597 / 5.10",0.94673,0.75314,0.74717,0.74442,0.74446
"170.0599 / 7.99",0.49124,0.98777,0.97242,0.9687,0.96833
"170.0600 / 4.25",0.2741,0.87464,0.86083,0.85985,0.85954
"170.0808 / 1.87",0.3763,0.9801,0.97002,0.96645,0.96608
"170.0921 / 1.86  MNH4",0.56962,1.2648,1.2465,1.2418,1.2413
"170.9691 / 1.88",0.22409,0.80668,0.79391,0.79121,0.79105
"171.0513 / 1.11",0.098281,0.083412,0.082537,0.085032,0.085682
"171.0879 / 3.80",0.69154,2.0662,2.0405,2.033,2.0322
"171.0986 / 10.84",0.44752,0.68924,0.71866,0.71619,0.71613
"171.1131 / 11.44",1.2919,1.0557,1.0588,1.0679,1.0676
"171.1490 / 1.00",0.57932,0.45656,0.51507,0.51333,0.51364
"171.1491 / 19.27  MH",0.14832,0.14645,0.14413,0.14467,0.14576
"171.9976 / 19.09",0.11022,0.14752,0.15377,0.20268,0.20478
"172.0055 / 9.90",1.1583,0.91316,0.94722,0.96792,0.96792
"172.5739 / 13.85  M2H2",0.23638,0.7918,0.82148,0.8391,0.83882
"172.9740 / 2.69",0.18012,0.43622,0.43541,0.43662,0.43685
"172.9741 / 0.57",0.26259,0.57484,0.59845,0.63215,0.63189
"172.9742 / 4.90",0.28615,0.71757,0.7093,0.71752,0.71723
"172.9745 / 31.93",0.12753,0.11802,0.15352,0.15466,0.1548
"172.9900 / 2.46",0.0835,0.21449,0.22579,0.22568,0.22595
"173.0143 / 1.84",0.24755,0.50135,0.49338,0.49149,0.49131
"173.0277 / 1.94",0.1006,0.20156,0.19849,0.19796,0.19788
"173.0788 / 3.14",0.00031667,0.093508,0.11521,0.11592,0.1159
"173.0810 / 10.20",0.22145,0.18968,0.1955,0.19733,0.19724
"173.0811 / 13.93",0.19646,0.17098,0.16834,0.18229,0.18247
"173.0812 / 16.46",0.69097,0.5836,0.6742,0.72878,0.72875
"173.0915 / 3.40  MNH4",0.0074585,0.09032,0.11146,0.11156,0.11152
"173.1284 / 2.15",0.44216,1.4838,1.4608,1.4561,1.4566
"173.1286 / 4.54",0.53619,0.73847,0.72954,0.73378,0.73347
"173.1286 / 7.10",1.735,1.3722,1.3567,1.3516,1.3511
"173.1286 / 9.44",1.4699,1.1776,1.2219,1.2173,1.217
"173.1288 / 10.77",1.9656,1.5833,1.5598,1.5554,1.5548
"173.9572 / 2.68",0.053087,0.074569,0.075658,0.081824,0.081804
"173.9573 / 8.04",0.0090093,0.028412,0.30764,0.30925,0.30937
"173.9574 / 7.39",0.40653,0.37128,0.51958,0.54426,0.54627
"173.9609 / 3.74  M",0.50933,0.98608,0.99584,1.0039,1.0064
"173.9609 / 4.63",0.22159,0.69034,0.68434,0.68703,0.68754
"173.9610 / 8.75  M",0.67719,1.1966,1.2304,1.2353,1.2349
"173.9610 / 9.74  M",0.40722,0.66728,0.65729,0.66293,0.66293
"173.9617 / 0.72",0.053898,0.16372,0.165,0.16457,0.16455
"173.9618 / 10.90",0.43383,0.69987,0.72788,0.72524,0.72591
"173.9620 / 5.43  M",0.44995,0.47406,0.56127,0.56185,0.56207
"173.9623 / 29.58",0.0067017,0.12886,0.12683,0.14194,0.14248
"174.0394 / 3.18",0.18279,0.74867,0.74642,0.74398,0.74381
"174.0532 / 7.27  MNa",1.1119,0.92027,0.90802,0.90499,0.9048
"174.0553 / 4.48",0.32081,1.17,1.1535,1.1566,1.1566
"174.0557 / 3.04",0.12378,0.5278,0.53253,0.53068,0.53079
"174.0586 / 16.27",0.50596,0.40233,0.40494,0.43346,0.43397
"174.1121 / 1.74  M",0.89399,1.5922,1.5747,1.5714,1.5708
"174.1242 / 2.46",1.0261,2.303,2.2713,2.263,2.2621
"174.9649 / 14.27",0.20391,0.18418,0.52774,0.52811,0.53088
"174.9650 / 29.23",0.27527,0.32348,0.32135,0.33092,0.33084
"174.9680 / 0.71",0.10843,0.17996,0.17779,0.18004,0.18014
"174.9682 / 12.90",0.29135,0.30994,0.30516,0.33407,0.33393
"174.9683 / 12.39",0.65662,0.83462,0.82433,0.83648,0.83624
"174.9685 / 7.16",0.34533,0.28502,0.46042,0.46585,0.46802
"174.9686 / 11.59",0.25032,0.34667,0.53332,0.53816,0.53803
"174.9687 / 10.16",0.011514,0.75676,0.74786,0.74583,0.74907
"174.9687 / 8.73  MH",0.062603,0.081812,0.083613,0.10129,0.10212
"174.9687 / 9.33  MH",0.071632,0.27932,0.39917,0.40035,0.40468
"174.9691 / 3.61  MH",0.48749,0.73979,0.77802,0.79127,0.79094
"174.9694 / 15.65",0.64718,0.9005,0.95289,0.94973,0.94981
"174.9695 / 18.91",0.48395,0.39309,0.387,0.39174,0.39168
"174.9697 / 0.02",0.10006,0.23237,0.23232,0.23225,0.23244
"174.9697 / 4.53",0.31336,0.50516,0.67121,0.67481,0.67592
"174.9698 / 2.91",0.11027,0.2779,0.27644,0.27579,0.27568
"174.9699 / 31.99",0.45922,0.36434,0.38188,0.38302,0.38286
"174.9700 / 11.03",0.16421,0.5143,0.5147,0.52024,0.52088
"174.9700 / 5.19  MH",0.61211,0.50273,0.53022,0.5343,0.53627
"175.0227 / 2.02",0.029467,0.02935,0.049627,0.060262,0.061436
"175.0348 / 5.77",0.30957,0.24468,0.26794,0.26724,0.26746
"175.0349 / 5.25",0.0016345,0.016984,0.027714,0.064086,0.068805
"175.0412 / 1.08",0.22473,0.55775,0.55094,0.55008,0.55001
"175.0479 / 5.84  MNa",0.083555,0.25482,0.26608,0.26507,0.26595
"175.0486 / 7.76",0.85354,1.294,1.2747,1.2706,1.2709
"175.0788 / 5.43",0.32351,1.1586,1.1742,1.1707,1.1709
"175.0875 / 2.30  MNH4",0.18032,1.0183,1.0124,1.0092,1.0092
"175.1183 / 8.62",0.12511,0.62225,0.6143,0.61519,0.61519
"175.1191 / 15.20",0.087555,0.26193,0.25891,0.29313,0.30186
"175.1197 / 1.43  MH",0.50237,0.77999,0.76811,0.76692,0.7667
"175.1197 / 4.98",0.78682,0.64469,0.64323,0.64278,0.64366
"175.1443 / 21.87",0.0076752,0.016719,0.019314,0.019406,0.019425
"175.9718 / 31.38",0.10926,0.24888,0.2452,0.24667,0.24688
"176.0655 / 1.90",0.012769,0.074061,0.073539,0.1008,0.10085
