"","d.value","stdev","rawp","q.value"
"540.2774 / 8.48",4.9053,1.3983,9.3919e-06,2.0699e-05
"500.2779 / 13.59",4.9029,1.6135,1.0175e-05,2.2213e-05
"490.2668 / 15.08",4.9007,1.6176,1.0175e-05,2.2213e-05
"723.3703 / 18.88",4.9007,1.5801,1.0175e-05,2.2213e-05
"484.7337 / 21.47  M-2H2-",4.9002,1.7107,1.0175e-05,2.2213e-05
"553.2998 / 20.02",4.8992,1.5096,1.0175e-05,2.2213e-05
"534.2907 / 16.44",4.8974,1.4639,1.0175e-05,2.2213e-05
"393.1415 / 12.98  M-H-",4.8972,1.5981,1.0175e-05,2.2213e-05
"346.1399 / 14.75",4.8969,1.4754,1.0175e-05,2.2213e-05
"537.2724 / 19.18",4.8967,1.3655,1.0175e-05,2.2213e-05
"528.3027 / 15.55",4.8965,1.1919,1.0175e-05,2.2213e-05
"177.0506 / 8.32",4.8961,0.59765,1.0175e-05,2.2213e-05
"913.5134 / 20.11",4.8926,1.5754,1.0175e-05,2.2213e-05
"522.2921 / 8.76",4.8921,1.4625,1.0175e-05,2.2213e-05
"558.2790 / 17.79  M2",4.8921,1.7374,1.0175e-05,2.2213e-05
"628.3309 / 19.82  MNa",4.8903,1.524,1.0175e-05,2.2213e-05
"643.2607 / 20.14",4.8897,1.4087,1.0175e-05,2.2213e-05
"504.2771 / 2.37",4.8888,1.554,1.0175e-05,2.2213e-05
"412.2187 / 6.08",4.8865,1.3674,1.0957e-05,2.3621e-05
"659.3643 / 14.80",4.8862,1.2608,1.0957e-05,2.3621e-05
"726.3471 / 18.94  M2H2",4.8848,1.8207,1.0957e-05,2.3621e-05
"515.2827 / 9.73  M-H-",4.8823,1.6858,1.0957e-05,2.3621e-05
"631.2819 / 7.49",4.8801,1.4667,1.0957e-05,2.3621e-05
"457.1808 / 21.09",4.8799,1.3859,1.0957e-05,2.3621e-05
"619.3560 / 11.82  M-H-",4.8798,1.5916,1.0957e-05,2.3621e-05
"572.1134 / 10.47",4.8779,1.4632,1.0957e-05,2.3621e-05
"548.7876 / 17.84  M2H2",4.8763,1.6267,1.0957e-05,2.3621e-05
"642.8422 / 19.65  M2H2",4.8757,1.3643,1.0957e-05,2.3621e-05
"562.3090 / 13.62",4.8752,1.5255,1.0957e-05,2.3621e-05
"267.1458 / 1.54",4.8679,1.4671,1.0957e-05,2.3621e-05
"446.2032 / 11.47  MH",4.8674,1.8419,1.0957e-05,2.3621e-05
"529.2863 / 14.99  M2H2",4.8666,1.6182,1.0957e-05,2.3621e-05
"383.1942 / 8.71  M2",4.8585,1.6471,1.0957e-05,2.3621e-05
"297.1276 / 8.79  MH",4.8578,1.6352,1.0957e-05,2.3621e-05
"580.2190 / 20.77  MNa-2H-",4.8562,1.2163,1.0957e-05,2.3621e-05
"244.1659 / 1.03",4.8559,1.3154,1.0957e-05,2.3621e-05
"350.1712 / 9.57",4.8539,1.3892,1.0957e-05,2.3621e-05
"213.0738 / 8.33",4.8537,0.5741,1.0957e-05,2.3621e-05
"918.4527 / 19.20  MNa-2H-",4.8521,1.5814,1.0957e-05,2.3621e-05
"932.5041 / 19.51  MNa-2H-",4.8501,1.3956,1.174e-05,2.5075e-05
"355.2347 / 1.78",4.8501,1.3373,1.174e-05,2.5075e-05
"707.8760 / 19.59  M2H2",4.8489,1.6418,1.174e-05,2.5075e-05
"275.1036 / 14.05  M-H-",4.8482,0.84686,1.174e-05,2.5075e-05
"489.2350 / 11.10",4.8463,1.697,1.174e-05,2.5075e-05
"483.2458 / 19.56  M-H-",4.8458,1.5979,1.174e-05,2.5075e-05
"836.4310 / 19.77  M-H-",4.8457,1.6658,1.174e-05,2.5075e-05
"489.2544 / 12.14",4.8441,1.5694,1.174e-05,2.5075e-05
"287.1368 / 5.55  MNa",4.8418,1.5809,1.174e-05,2.5075e-05
"484.5649 / 18.95  M3H3",4.8381,1.5372,1.174e-05,2.5075e-05
"287.1379 / 6.29  MNa",4.8366,1.6644,1.174e-05,2.5075e-05
"435.2229 / 11.37  M-",4.8365,1.3851,1.174e-05,2.5075e-05
"449.2193 / 12.48",4.8363,1.6065,1.174e-05,2.5075e-05
"970.4750 / 21.47",4.8359,1.4742,1.174e-05,2.5075e-05
"520.2846 / 18.67  M2H2",4.8319,1.707,1.174e-05,2.5075e-05
"441.1979 / 3.22  MH",4.8303,1.5779,1.174e-05,2.5075e-05
"728.3920 / 15.14",4.8285,1.6976,1.2523e-05,2.6348e-05
"415.2190 / 6.23  M-H-",4.828,1.4827,1.2523e-05,2.6348e-05
"447.1835 / 15.17  MNa-2H-",4.827,1.5487,1.2523e-05,2.6348e-05
"476.7131 / 8.55",4.8265,1.4499,1.2523e-05,2.6348e-05
"458.2689 / 11.41",4.8264,1.6562,1.2523e-05,2.6348e-05
"476.7694 / 13.59  MHNa2",4.8254,1.7293,1.2523e-05,2.6348e-05
"550.3091 / 19.23  M3H3",4.825,1.5081,1.2523e-05,2.6348e-05
"461.2598 / 12.46",4.825,1.8879,1.2523e-05,2.6348e-05
"253.0368 / 8.29  MK",4.8235,0.6131,1.2523e-05,2.6348e-05
"409.2205 / 10.90",4.8227,1.7541,1.2523e-05,2.6348e-05
"453.7416 / 17.58  M2",4.8227,1.7731,1.2523e-05,2.6348e-05
"838.2826 / 20.14  MNa-2H-",4.822,1.4757,1.2523e-05,2.6348e-05
"465.2146 / 15.01",4.8206,1.402,1.2523e-05,2.6348e-05
"251.1030 / 2.29",4.8196,1.4781,1.2523e-05,2.6348e-05
"825.3617 / 15.50  MNa",4.8196,1.4967,1.2523e-05,2.6348e-05
"289.1159 / 3.37  MNa",4.8193,1.5975,1.2523e-05,2.6348e-05
"377.2668 / 23.49",4.8189,0.43279,1.2523e-05,2.6348e-05
"373.1009 / 9.56",4.8183,1.5706,1.2523e-05,2.6348e-05
"332.1833 / 3.76  MH",4.8181,1.8358,1.2523e-05,2.6348e-05
"450.2354 / 10.37",4.8179,1.5436,1.2523e-05,2.6348e-05
"401.2024 / 10.80",4.8165,1.5012,1.2523e-05,2.6348e-05
"505.2700 / 16.78",4.8152,1.5262,1.2523e-05,2.6348e-05
"744.4119 / 19.27",4.8148,1.5146,1.2523e-05,2.6348e-05
"448.1996 / 10.13",4.8145,1.4486,1.2523e-05,2.6348e-05
"808.4531 / 19.97  MNa",4.8142,1.2278,1.2523e-05,2.6348e-05
"532.3138 / 19.40",4.812,1.5232,1.2523e-05,2.6348e-05
"431.2508 / 7.78  MCH3OHH",4.8113,1.4405,1.2523e-05,2.6348e-05
"507.2487 / 16.68",4.809,1.4286,1.2523e-05,2.6348e-05
"409.2090 / 9.55  MH",4.8073,1.644,1.3305e-05,2.7511e-05
"570.2874 / 2.74  MCH3OHH",4.8053,1.5648,1.3305e-05,2.7511e-05
"644.3622 / 15.82",4.8022,1.562,1.3305e-05,2.7511e-05
"558.3287 / 18.95  M2H2",4.8015,1.6373,1.3305e-05,2.7511e-05
"643.3250 / 2.60",4.8015,1.539,1.3305e-05,2.7511e-05
"598.8116 / 18.94  M2Na2",4.8014,1.3545,1.3305e-05,2.7511e-05
"816.4599 / 19.76  MH",4.8006,1.8119,1.3305e-05,2.7511e-05
"572.2636 / 12.43",4.7979,1.3614,1.3305e-05,2.7511e-05
"120.0810 / 3.76",4.7944,1.5594,1.3305e-05,2.7511e-05
"379.0866 / 14.05  MNa-2H-",4.7915,1.472,1.3305e-05,2.7511e-05
"458.2703 / 20.08",4.7913,1.4472,1.3305e-05,2.7511e-05
"640.2704 / 18.75",4.7903,1.4052,1.3305e-05,2.7511e-05
"445.2412 / 14.66",4.7902,1.7076,1.3305e-05,2.7511e-05
"359.2384 / 2.45",4.788,1.466,1.3305e-05,2.7511e-05
"201.1235 / 9.44  MH",4.7877,1.6374,1.3305e-05,2.7511e-05
"499.2491 / 2.74",4.7874,1.4298,1.3305e-05,2.7511e-05
"357.1874 / 11.51",4.7859,1.4635,1.3305e-05,2.7511e-05
"157.1341 / 2.32",4.7855,1.3466,1.3305e-05,2.7511e-05
"586.1306 / 16.29",4.7853,1.4274,1.3305e-05,2.7511e-05
"498.3036 / 13.05",4.7851,1.6015,1.3305e-05,2.7511e-05
"779.8166 / 16.76  M-2H2-",4.784,1.3801,1.3305e-05,2.7511e-05
"677.3462 / 20.08  M2H2",4.7811,1.5719,1.3305e-05,2.7511e-05
"342.1669 / 11.55",4.7805,1.5872,1.3305e-05,2.7511e-05
"423.2346 / 11.07  MNH4",4.7796,1.607,1.3305e-05,2.7511e-05
"391.1977 / 11.06",4.7794,1.5447,1.3305e-05,2.7511e-05
"394.2313 / 13.30",4.7794,1.5548,1.3305e-05,2.7511e-05
"439.1824 / 3.72",4.776,1.5978,1.3305e-05,2.7511e-05
"531.2798 / 10.65",4.776,1.5451,1.3305e-05,2.7511e-05
"385.6643 / 20.14  M-2H2-",4.774,1.6022,1.3305e-05,2.7511e-05
"655.3750 / 19.97",4.7723,1.329,1.3305e-05,2.7511e-05
"790.2805 / 20.55  MNa-2H-",4.7697,1.4525,1.4088e-05,2.8917e-05
"373.2273 / 7.43",4.7682,1.5825,1.4088e-05,2.8917e-05
"500.2397 / 11.11",4.7652,1.5338,1.4088e-05,2.8917e-05
"541.2343 / 16.14",4.765,1.4419,1.4088e-05,2.8917e-05
"778.3769 / 19.04  M-H-",4.7641,1.3762,1.4088e-05,2.8917e-05
"487.7750 / 16.85",4.764,1.5542,1.4088e-05,2.8917e-05
"710.2940 / 20.53  MNa",4.7636,1.371,1.4088e-05,2.8917e-05
"499.2455 / 16.50  M2Na2",4.7621,1.6032,1.4088e-05,2.8917e-05
"474.2660 / 2.42",4.7621,1.5544,1.4088e-05,2.8917e-05
"432.1529 / 14.81",4.762,1.4566,1.4088e-05,2.8917e-05
"499.2291 / 12.97  M2H2",4.7615,1.6612,1.4088e-05,2.8917e-05
"670.3904 / 10.37",4.7613,1.5631,1.4088e-05,2.8917e-05
"545.2949 / 12.83  MAcO-H-",4.7609,1.4369,1.4088e-05,2.8917e-05
"512.2579 / 11.49",4.7593,1.5198,1.487e-05,3.0476e-05
"302.1717 / 3.39",4.7592,1.8497,1.487e-05,3.0476e-05
"362.1457 / 3.64",4.759,1.3907,1.487e-05,3.0476e-05
"449.2386 / 15.21",4.7586,1.5451,1.5653e-05,3.1865e-05
"309.0474 / 1.85",4.7576,0.23711,1.5653e-05,3.1865e-05
"549.2675 / 12.03  MH",4.757,1.5248,1.5653e-05,3.1865e-05
"481.2405 / 8.46",4.7558,1.5724,1.5653e-05,3.1865e-05
"449.2395 / 12.65  MH",4.7533,1.6958,1.5653e-05,3.1865e-05
"547.3096 / 12.83",4.753,1.5536,1.5653e-05,3.1865e-05
"556.2763 / 15.85  M2H2",4.7524,1.4854,1.5653e-05,3.1865e-05
"309.1085 / 2.70",4.7514,1.605,1.5653e-05,3.1865e-05
"522.7398 / 16.62  M2H2",4.7512,1.4496,1.5653e-05,3.1865e-05
"387.2206 / 11.62",4.7499,1.5291,1.5653e-05,3.1865e-05
"401.2042 / 15.08",4.7497,1.5652,1.5653e-05,3.1865e-05
"295.1300 / 3.02  MNH4",4.747,1.4638,1.5653e-05,3.1865e-05
"433.2648 / 13.71",4.7469,1.5107,1.5653e-05,3.1865e-05
"543.2242 / 14.23  MHNa2",4.7458,1.5288,1.6436e-05,3.3167e-05
"657.3185 / 7.75",4.7453,1.5119,1.6436e-05,3.3167e-05
"638.3522 / 19.66",4.7444,1.7332,1.6436e-05,3.3167e-05
"693.3463 / 13.55  M-2H2-",4.7433,1.4891,1.6436e-05,3.3167e-05
"449.2516 / 7.32",4.7432,1.5832,1.6436e-05,3.3167e-05
"514.2409 / 18.95",4.7431,1.5286,1.6436e-05,3.3167e-05
"385.2325 / 10.49",4.7431,1.4231,1.6436e-05,3.3167e-05
"788.3206 / 13.49  M-H-",4.7415,1.46,1.6436e-05,3.3167e-05
"712.3261 / 17.83",4.7408,1.5545,1.6436e-05,3.3167e-05
"529.1668 / 8.17",4.7404,1.5873,1.6436e-05,3.3167e-05
"362.1933 / 2.63  MCH3OHH",4.7395,1.6277,1.6436e-05,3.3167e-05
"503.2707 / 12.43",4.7378,1.6728,1.6436e-05,3.3167e-05
"380.1824 / 16.43  MNa",4.7365,1.3829,1.6436e-05,3.3167e-05
"330.2029 / 9.31",4.7321,1.6451,1.6436e-05,3.3167e-05
"405.1978 / 5.29",4.7316,1.4397,1.6436e-05,3.3167e-05
"694.2867 / 12.75",4.7304,1.3837,1.7218e-05,3.4587e-05
"360.9578 / 12.15",4.7299,1.1637,1.7218e-05,3.4587e-05
"580.6262 / 19.02  M3H3",4.7288,1.4331,1.7218e-05,3.4587e-05
"494.2593 / 14.47",4.7283,1.5237,1.7218e-05,3.4587e-05
"643.8011 / 19.15  M2H2",4.7278,1.3344,1.7218e-05,3.4587e-05
"874.4739 / 19.85  MH",4.7273,1.509,1.7218e-05,3.4587e-05
"544.2970 / 13.77",4.7266,1.5116,1.7218e-05,3.4587e-05
"405.2822 / 1.57",4.7262,1.6399,1.7218e-05,3.4587e-05
"520.2245 / 3.07",4.7258,1.5308,1.7218e-05,3.4587e-05
"578.2495 / 7.35",4.724,1.5107,1.8001e-05,3.594e-05
"461.2554 / 16.15  M5H5",4.722,1.6191,1.8001e-05,3.594e-05
"235.0133 / 3.95",4.7219,0.37273,1.8001e-05,3.594e-05
"373.1966 / 7.80  M2",4.7211,1.5356,1.8001e-05,3.594e-05
"281.1507 / 3.31  MCH3OHH",4.7198,1.6572,1.8001e-05,3.594e-05
"471.2821 / 19.50",4.7178,1.5139,1.8001e-05,3.594e-05
"502.2859 / 12.78",4.7166,1.4991,1.8001e-05,3.594e-05
"338.1720 / 4.90  MCH3OHH",4.716,1.5134,1.8001e-05,3.594e-05
"568.3086 / 1.75",4.7159,1.4483,1.8001e-05,3.594e-05
"486.2577 / 4.89",4.7146,1.7051,1.8001e-05,3.594e-05
"383.1895 / 3.47  MNa",4.7144,1.6584,1.8001e-05,3.594e-05
"528.3131 / 10.20  MH",4.7132,1.5982,1.8001e-05,3.594e-05
"219.0171 / 1.09  MCH3OHH",4.7081,0.64274,1.8784e-05,3.656e-05
"537.2512 / 10.63  M2Na2",4.7074,1.5013,1.8784e-05,3.656e-05
"474.2207 / 7.95",4.7063,1.6166,1.8784e-05,3.656e-05
"441.1802 / 7.07",4.7059,1.5573,1.8784e-05,3.656e-05
"404.2475 / 4.99",4.704,1.5084,1.8784e-05,3.656e-05
"536.2390 / 10.86",4.7019,1.3919,1.8784e-05,3.656e-05
"572.7675 / 20.88",4.6986,1.3669,1.8784e-05,3.656e-05
"377.1140 / 8.77",4.6982,1.505,1.8784e-05,3.656e-05
"546.2433 / 15.64",4.698,1.5647,1.8784e-05,3.656e-05
"759.1488 / 1.56",4.6979,0.92892,1.8784e-05,3.656e-05
"472.7643 / 3.80  M2H2",4.6958,1.5817,1.8784e-05,3.656e-05
"426.1305 / 16.25  MNa-2H-",4.6954,1.5806,1.8784e-05,3.656e-05
"201.0061 / 1.82",4.6945,0.32277,1.8784e-05,3.656e-05
"241.1194 / 11.75  M-H-",4.6932,0.98072,1.8784e-05,3.656e-05
"592.3315 / 16.53",4.6929,1.5654,1.8784e-05,3.656e-05
"566.3173 / 19.43",4.6928,1.4177,1.8784e-05,3.656e-05
"538.2615 / 2.95  MH",4.6925,1.5359,1.8784e-05,3.656e-05
"572.2556 / 15.30",4.6921,1.3765,1.8784e-05,3.656e-05
"520.2776 / 13.49",4.6919,1.6891,1.8784e-05,3.656e-05
"269.1616 / 1.54",4.6911,1.3892,1.8784e-05,3.656e-05
"629.3321 / 9.92",4.6903,1.4131,1.8784e-05,3.656e-05
"445.2136 / 8.60",4.6883,1.4446,1.8784e-05,3.656e-05
"411.2235 / 16.53  MNH4",4.6877,1.5901,1.8784e-05,3.656e-05
"387.0257 / 16.63",4.6876,1.5547,1.8784e-05,3.656e-05
"461.2230 / 6.05",4.6875,1.5968,1.8784e-05,3.656e-05
"437.8898 / 11.77",4.6873,1.5938,1.8784e-05,3.656e-05
"369.2132 / 6.47  M-H2O-H-",4.6867,1.6489,1.8784e-05,3.656e-05
"391.2022 / 10.32",4.6854,1.8068,1.8784e-05,3.656e-05
"535.2544 / 11.74  M2H2",4.6849,1.5286,1.8784e-05,3.656e-05
"203.2232 / 1.00",4.6848,1.5066,1.8784e-05,3.656e-05
"488.2701 / 11.18",4.6844,1.5756,1.8784e-05,3.656e-05
"450.8990 / 11.01",4.6832,1.6033,1.8784e-05,3.656e-05
"282.2798 / 21.52",4.6832,0.65311,1.8784e-05,3.656e-05
"891.4799 / 19.20",4.683,1.301,1.8784e-05,3.656e-05
"603.7632 / 19.73  M2H2",4.6829,1.5915,1.8784e-05,3.656e-05
"260.1034 / 4.60",4.6819,1.601,1.8784e-05,3.656e-05
"866.4260 / 18.21  M3H3",4.6816,1.4648,1.8784e-05,3.656e-05
"453.5062 / 16.56",4.6809,1.588,1.8784e-05,3.656e-05
"479.2100 / 14.95",4.6803,1.3356,1.8784e-05,3.656e-05
"419.1779 / 2.65  MAcO-H-",4.6803,1.3864,1.8784e-05,3.656e-05
"402.1633 / 9.66",4.6793,1.4753,1.8784e-05,3.656e-05
"599.3158 / 8.41",4.679,1.5731,1.8784e-05,3.656e-05
"686.3254 / 9.37",4.6789,1.3063,1.8784e-05,3.656e-05
"772.3242 / 14.50  M-H-",4.6759,1.3318,1.8784e-05,3.656e-05
"420.2333 / 13.51  M3H3",4.6759,1.5855,1.8784e-05,3.656e-05
"387.1510 / 8.28",4.6753,1.3219,1.8784e-05,3.656e-05
"401.2041 / 10.60",4.6745,1.6073,1.8784e-05,3.656e-05
"643.3263 / 19.25  M3H3",4.6738,1.4928,1.8784e-05,3.656e-05
"533.2359 / 11.75",4.6732,1.1813,1.9566e-05,3.6693e-05
"492.2799 / 17.01",4.6724,1.556,1.9566e-05,3.6693e-05
"657.2977 / 8.08",4.6723,1.5228,1.9566e-05,3.6693e-05
"375.2240 / 6.86",4.6717,1.5094,1.9566e-05,3.6693e-05
"445.2284 / 7.45",4.6699,1.4732,1.9566e-05,3.6693e-05
"412.6937 / 5.72",4.6697,1.6066,1.9566e-05,3.6693e-05
"588.2981 / 3.61",4.6683,1.4033,1.9566e-05,3.6693e-05
"827.4298 / 13.65  MNa-2H-",4.6679,1.4412,1.9566e-05,3.6693e-05
"530.3086 / 2.07",4.6678,1.4787,1.9566e-05,3.6693e-05
"577.2820 / 9.86",4.6677,1.4371,1.9566e-05,3.6693e-05
"866.4766 / 18.98",4.6677,1.4329,1.9566e-05,3.6693e-05
"736.3289 / 19.64  M-H-",4.6665,1.4318,1.9566e-05,3.6693e-05
"769.3200 / 18.31",4.6664,1.4217,1.9566e-05,3.6693e-05
"446.2606 / 4.69",4.6661,1.5886,1.9566e-05,3.6693e-05
"590.3206 / 16.54",4.6656,1.483,1.9566e-05,3.6693e-05
"610.8231 / 19.25",4.6643,1.5357,1.9566e-05,3.6693e-05
"538.2844 / 19.66  M3H3",4.6629,1.6577,2.0349e-05,3.6693e-05
"537.2300 / 6.15",4.6608,1.4247,2.0349e-05,3.6693e-05
"571.2535 / 14.51  M3H3",4.6605,1.3306,2.0349e-05,3.6693e-05
"475.2202 / 16.95",4.6604,1.412,2.0349e-05,3.6693e-05
"174.9918 / 1.13",4.66,0.62602,2.0349e-05,3.6693e-05
"688.8038 / 9.22",4.6572,1.3501,2.0349e-05,3.6693e-05
"232.0106 / 7.44",4.6568,1.8003,2.0349e-05,3.6693e-05
"173.1286 / 9.44",4.6562,1.4847,2.0349e-05,3.6693e-05
"498.7364 / 6.62  M2H2",4.6552,1.6019,2.0349e-05,3.6693e-05
"500.3560 / 9.91",4.6535,1.6281,2.0349e-05,3.6693e-05
"639.3007 / 10.37",4.6534,1.4036,2.0349e-05,3.6693e-05
"474.2198 / 4.24",4.651,1.5485,2.0349e-05,3.6693e-05
"329.1829 / 2.18",4.651,1.718,2.0349e-05,3.6693e-05
"723.3775 / 8.73",4.6508,1.4615,2.0349e-05,3.6693e-05
"493.2668 / 17.53",4.6503,1.7227,2.0349e-05,3.6693e-05
"693.3274 / 18.87  MNa-2H-",4.6503,1.4748,2.0349e-05,3.6693e-05
"529.3068 / 8.11",4.6502,1.5692,2.0349e-05,3.6693e-05
"326.0884 / 5.71  M-H-",4.65,2.3383,2.0349e-05,3.6693e-05
"425.2477 / 3.46  MNH4",4.6497,1.4874,2.0349e-05,3.6693e-05
"636.3607 / 19.84",4.6496,1.4919,2.0349e-05,3.6693e-05
"758.3121 / 19.64  MNa-2H-",4.6495,1.2968,2.0349e-05,3.6693e-05
"572.3118 / 7.54",4.6487,1.4666,2.0349e-05,3.6693e-05
"644.3411 / 11.60  M2H2",4.6484,1.3385,2.0349e-05,3.6693e-05
"788.3595 / 20.03",4.6482,1.4245,2.0349e-05,3.6693e-05
"395.1943 / 5.06",4.6481,1.6397,2.0349e-05,3.6693e-05
"569.2200 / 3.34",4.6471,1.4379,2.0349e-05,3.6693e-05
"395.2149 / 5.74",4.6468,1.5167,2.0349e-05,3.6693e-05
"533.2859 / 19.39  M2H2",4.6462,1.4722,2.0349e-05,3.6693e-05
"455.2246 / 12.92",4.6461,1.5369,2.0349e-05,3.6693e-05
"390.6943 / 6.92  M",4.646,1.4047,2.0349e-05,3.6693e-05
"120.0808 / 12.98",4.6457,1.626,2.0349e-05,3.6693e-05
"486.2558 / 5.04  M-H-",4.6454,1.3746,2.0349e-05,3.6693e-05
"423.1865 / 8.82",4.6452,1.4358,2.0349e-05,3.6693e-05
"904.3756 / 10.36",4.645,1.2688,2.0349e-05,3.6693e-05
"666.3529 / 18.78",4.6444,1.5772,2.0349e-05,3.6693e-05
"528.7864 / 13.26  M2H2",4.6444,1.5617,2.0349e-05,3.6693e-05
"433.2045 / 17.93  MNa-2H-",4.6443,1.4843,2.0349e-05,3.6693e-05
"674.3561 / 18.76",4.6443,1.5932,2.0349e-05,3.6693e-05
"441.1976 / 7.28  MNH4",4.6443,1.4959,2.0349e-05,3.6693e-05
"440.7505 / 10.07",4.6435,1.5793,2.0349e-05,3.6693e-05
"461.7179 / 11.10",4.6429,1.3095,2.0349e-05,3.6693e-05
"606.3156 / 16.42",4.6425,1.3805,2.0349e-05,3.6693e-05
"583.3190 / 12.36",4.6423,1.5265,2.0349e-05,3.6693e-05
"565.2957 / 13.59  MNa-2H-",4.6417,1.3926,2.0349e-05,3.6693e-05
"713.3162 / 19.53  MH",4.6413,1.4384,2.0349e-05,3.6693e-05
"667.3182 / 18.05",4.6412,1.6691,2.0349e-05,3.6693e-05
"461.2668 / 14.40",4.6412,1.471,2.0349e-05,3.6693e-05
"647.3455 / 19.22",4.6408,1.3946,2.0349e-05,3.6693e-05
"548.2252 / 13.62",4.6407,1.3052,2.0349e-05,3.6693e-05
"725.2649 / 13.30",4.6403,1.3826,2.0349e-05,3.6693e-05
"937.3525 / 21.09",4.6403,1.5369,2.0349e-05,3.6693e-05
"464.3151 / 23.61",4.6399,1.0051,2.0349e-05,3.6693e-05
"556.3087 / 11.46  MCH3OHH",4.6399,1.6158,2.0349e-05,3.6693e-05
"604.2840 / 13.62",4.6391,1.532,2.0349e-05,3.6693e-05
"302.6870 / 4.99",4.639,1.3995,2.0349e-05,3.6693e-05
"711.3737 / 12.80",4.6386,1.4253,2.0349e-05,3.6693e-05
"558.2373 / 20.77  M-H-",4.638,1.4569,2.0349e-05,3.6693e-05
"452.2162 / 9.87  M3H3",4.6377,1.4324,2.0349e-05,3.6693e-05
"417.2354 / 7.43",4.6376,1.5513,2.0349e-05,3.6693e-05
"529.2585 / 15.79  M3H3",4.6374,1.4614,2.0349e-05,3.6693e-05
"442.2271 / 12.95",4.6359,1.4903,2.0349e-05,3.6693e-05
"678.3471 / 16.76  M-H-",4.6353,1.7418,2.0349e-05,3.6693e-05
"637.7795 / 10.64",4.6348,1.5267,2.0349e-05,3.6693e-05
"725.3850 / 18.69",4.6344,1.4225,2.0349e-05,3.6693e-05
"333.1580 / 3.66",4.6338,1.5407,2.0349e-05,3.6693e-05
"504.3163 / 13.79",4.6336,1.5532,2.0349e-05,3.6693e-05
"505.7201 / 21.49",4.6333,1.5421,2.0349e-05,3.6693e-05
"307.1515 / 3.66",4.6332,1.4777,2.0349e-05,3.6693e-05
"372.2124 / 13.58",4.6325,1.5673,2.0349e-05,3.6693e-05
"813.3430 / 14.43  MH",4.6317,1.5207,2.0349e-05,3.6693e-05
"841.4803 / 12.64  M-H-",4.6315,1.561,2.0349e-05,3.6693e-05
"848.4139 / 11.08",4.6297,1.3397,2.0349e-05,3.6693e-05
"515.3168 / 3.38",4.6284,1.5015,2.0349e-05,3.6693e-05
"443.7229 / 13.14  M2H2",4.6284,1.5295,2.0349e-05,3.6693e-05
"615.3461 / 3.55",4.6283,1.6565,2.0349e-05,3.6693e-05
"366.2015 / 7.07",4.6281,1.6704,2.0349e-05,3.6693e-05
"494.2605 / 10.71",4.6275,1.733,2.0349e-05,3.6693e-05
"394.1981 / 15.73",4.6271,1.6464,2.0349e-05,3.6693e-05
"435.1816 / 10.96",4.6267,1.6941,2.0349e-05,3.6693e-05
"458.2625 / 12.76",4.6261,1.4839,2.0349e-05,3.6693e-05
"536.3077 / 16.40",4.6258,1.6595,2.0349e-05,3.6693e-05
"443.1911 / 7.06",4.6257,1.6154,2.0349e-05,3.6693e-05
"642.3292 / 17.11  M3H3",4.6257,1.5802,2.0349e-05,3.6693e-05
"643.3416 / 12.67  M-H-",4.6238,1.3913,2.0349e-05,3.6693e-05
"612.2634 / 19.01  MNa-2H-",4.6238,1.4167,2.0349e-05,3.6693e-05
"621.8214 / 12.99",4.623,1.4176,2.0349e-05,3.6693e-05
"636.3216 / 14.06",4.6227,1.4144,2.0349e-05,3.6693e-05
"583.8416 / 16.27  M2H2",4.6226,1.4479,2.0349e-05,3.6693e-05
"361.2076 / 12.32",4.6225,1.3973,2.0349e-05,3.6693e-05
"591.2890 / 16.35  M",4.6223,1.5722,2.0349e-05,3.6693e-05
"356.2562 / 16.69",4.6221,1.5945,2.0349e-05,3.6693e-05
"872.4012 / 15.07  M-H-",4.6215,1.5136,2.0349e-05,3.6693e-05
"379.1440 / 6.55",4.621,1.4485,2.0349e-05,3.6693e-05
"641.3631 / 13.81",4.6207,1.5793,2.0349e-05,3.6693e-05
"619.3126 / 16.21",4.6202,1.5321,2.0349e-05,3.6693e-05
"733.8484 / 17.01",4.6202,1.3536,2.0349e-05,3.6693e-05
"689.2113 / 1.57",4.6202,0.79118,2.0349e-05,3.6693e-05
"774.3819 / 7.12",4.6199,1.3432,2.0349e-05,3.6693e-05
"614.3382 / 19.23",4.6197,1.4806,2.0349e-05,3.6693e-05
"439.7346 / 19.10",4.6197,1.4971,2.0349e-05,3.6693e-05
"355.1607 / 11.40",4.6195,1.5771,2.0349e-05,3.6693e-05
"439.7230 / 9.04",4.6189,1.3957,2.0349e-05,3.6693e-05
"466.2350 / 10.16  M2H2",4.6184,1.4292,2.0349e-05,3.6693e-05
"784.4554 / 20.00",4.6166,1.505,2.0349e-05,3.6693e-05
"582.3154 / 19.51  M-H-",4.616,1.645,2.0349e-05,3.6693e-05
"506.2460 / 5.20  MCH3OHH",4.616,1.482,2.0349e-05,3.6693e-05
"811.3257 / 14.41  M-H-",4.6159,1.5492,2.0349e-05,3.6693e-05
"626.2762 / 7.32",4.6151,1.3992,2.0349e-05,3.6693e-05
"323.1157 / 22.50",4.615,0.47194,2.0349e-05,3.6693e-05
"637.2843 / 16.05",4.615,1.4042,2.0349e-05,3.6693e-05
"512.1734 / 10.46  MNa-2H-",4.6144,1.4831,2.0349e-05,3.6693e-05
"910.4889 / 19.34",4.6136,1.3955,2.0349e-05,3.6693e-05
