"","MeanDecreaseAccuracy"
"294.1548 / 2.15  MH",0.00018182
"264.1965 / 19.21",0.00018182
"262.0447 / 15.24",0.00018182
"233.9828 / 1.79",0.00018182
"231.1456 / 2.14",0.00018182
"219.0171 / 1.09  MCH3OHH",0.00018182
"206.0819 / 12.88",0.00018182
"184.0734 / 1.45  MH",0.00018182
"169.0585 / 1.43",0.00018182
"164.9207 / 2.65",0.00018182
"159.0760 / 2.73",0.00018182
"153.1278 / 2.37",0.00018182
"139.0501 / 5.59",0.00018182
"138.0551 / 1.80",0.00018182
"100.1122 / 11.13",0.00018182
"879.0472 / 25.18",0.00016667
"772.3242 / 14.50  M-H-",0.00016667
"663.1560 / 22.44",0.00016667
"576.2330 / 11.30",0.00016667
"562.2889 / 17.42",0.00016667
"524.2959 / 1.01",0.00016667
"473.2172 / 21.89  MAcO-H-",0.00016667
"359.1467 / 22.51",0.00016667
"353.0715 / 1.49",0.00016667
"351.1441 / 22.11  MAcO-H-",0.00016667
"340.0431 / 10.95",0.00016667
"331.9690 / 1.08",0.00016667
"327.1306 / 3.42",0.00016667
"327.0894 / 5.69",0.00016667
"303.9205 / 1.48",0.00016667
"282.1770 / 23.07",0.00016667
"267.1244 / 22.13  M-H-",0.00016667
"253.1202 / 7.25",0.00016667
"245.8953 / 28.85",0.00016667
"146.9825 / 1.78",0.00016667
"636.3607 / 19.84",0.00016667
"620.1200 / 20.03",0.00016667
"597.0118 / 1.30",0.00016667
"581.6472 / 19.17  M3H3",0.00016667
"573.7835 / 14.47",0.00016667
"515.2504 / 15.43",0.00016667
"514.9947 / 26.13",0.00016667
"507.3337 / 23.29",0.00016667
"493.2288 / 19.82",0.00016667
"491.3220 / 19.66",0.00016667
"442.7581 / 15.01",0.00016667
"413.2564 / 24.12",0.00016667
"403.2539 / 10.94",0.00016667
"387.7286 / 14.56  M2H2",0.00016667
"360.3238 / 24.04  MH",0.00016667
"358.2270 / 21.67",0.00016667
"346.1979 / 4.15  MCH3OHH",0.00016667
"345.9881 / 26.35",0.00016667
"342.2392 / 13.12",0.00016667
"302.2468 / 23.59",0.00016667
"295.1581 / 2.09  MH",0.00016667
"280.1739 / 10.15",0.00016667
"276.0185 / 10.87",0.00016667
"258.1814 / 1.04  MH",0.00016667
"244.1184 / 5.11  MH",0.00016667
"228.1963 / 24.27",0.00016667
