"","Overall"
"316.1003 / 2.38",37.334
"584.9764 / 1.17",37.258
"268.0106 / 21.27",37.244
"184.0967 / 4.78",37.226
"690.3213 / 19.36  M-2H2-",37.212
"158.1178 / 3.99",37.193
"213.1238 / 1.81",37.185
"376.9806 / 1.83",37.181
"262.1408 / 1.83  MCH3OHH",37.178
"404.1931 / 2.15",37.173
"174.9928 / 0.08",37.071
"572.9434 / 1.10",37.033
"592.2984 / 19.02",37.026
"225.0878 / 5.22",37.003
"322.1494 / 1.87  2MNH4",36.987
"532.2345 / 14.20  M2H2",36.95
"166.0869 / 6.26",36.94
"325.1739 / 7.71",36.886
"203.1139 / 1.87  MNH4",36.876
"364.1164 / 2.26",36.859
"485.3588 / 7.85",36.854
"243.9911 / 2.24",36.851
"621.0006 / 1.16  2MNa-2H-",36.814
"257.0565 / 1.50",36.761
"449.0415 / 18.78",36.752
"331.0897 / 2.16  MNa-2H-",36.712
"370.1141 / 9.91",36.697
"415.1235 / 12.11",36.693
"332.1398 / 14.14  MH",36.687
"683.3731 / 11.24",36.671
"715.0390 / 10.41  3M2Na-3H-",36.644
"316.9843 / 1.06  2MH",36.618
"187.0720 / 3.76",36.559
"416.2632 / 14.69  M3H3",36.536
"248.0601 / 9.02  M-H-",36.533
"120.0804 / 12.35",36.511
"81.0681 / 29.46",36.499
"540.9904 / 21.94",36.495
"177.0033 / 0.48",36.477
"383.1211 / 2.11  2MNa-2H-",36.468
"369.1555 / 2.59",36.462
"263.1010 / 11.72  MNa-2H-",36.418
"378.0096 / 22.27  MNa",36.387
"356.0279 / 22.27  MH",36.385
"205.0826 / 19.24",36.368
"406.1654 / 16.27  MH",36.36
"227.1032 / 2.09",36.346
"105.9350 / 2.52",36.342
"156.9588 / 12.01",36.338
"258.1451 / 1.81  MH",36.337
"201.0263 / 10.40",36.317
"241.0629 / 18.34",36.251
"584.9763 / 25.22",36.249
"206.0478 / 2.55",36.248
"619.7546 / 20.11  M2H2",36.229
"201.1239 / 2.32",36.225
"199.1095 / 5.23  M-H-",36.211
"346.2231 / 8.56  MH",36.197
"296.2139 / 11.02",36.188
"304.1514 / 3.69",36.174
"422.2507 / 12.64",36.132
"316.1752 / 8.51",36.109
"433.2074 / 20.96  M-H-",36.101
"471.0187 / 1.15",36.074
"302.1203 / 1.62  MNa",36.065
"755.0013 / 26.72",36.04
"500.2349 / 8.31",36.005
"836.9813 / 25.43",35.987
"774.3579 / 20.14  MH",35.986
"301.1451 / 12.09",35.976
"179.0576 / 14.11  M-H-",35.971
"420.1434 / 9.63  M-H-",35.955
"303.1443 / 8.09  MH",35.947
"346.6914 / 8.06  M2H2",35.934
"421.2143 / 12.79  M2H2",35.921
"354.0313 / 22.27  MH",35.874
"357.2143 / 2.12  MH",35.845
"248.1138 / 2.73",35.826
