"","Overall"
"494.2521 / 3.07",34.481
"153.0668 / 7.72  MNH4",34.451
"227.1029 / 5.21  MH",34.44
"323.1757 / 2.57  M2H2",34.432
"143.0700 / 8.02",34.426
"696.8121 / 8.06  M-2H2-",34.418
"251.9730 / 8.93",34.405
"252.0735 / 9.87",34.384
"368.1835 / 5.39  MH",34.35
"522.2210 / 17.20  M-2H2-",34.347
"248.0946 / 4.03  MNH4",34.341
"93.0697 / 3.94",34.331
"459.1864 / 18.32",34.322
"221.0925 / 3.01",34.318
"159.0760 / 2.73",34.314
"301.1448 / 13.01",34.278
"175.0486 / 7.76",34.275
"453.7125 / 10.42",34.266
"215.1397 / 2.41",34.266
"450.7450 / 14.10  M2H2",34.26
"679.3252 / 19.29",34.226
"245.2346 / 1.00",34.217
"196.0976 / 18.57",34.217
"181.0731 / 12.44",34.217
"415.9868 / 21.56",34.215
"303.8996 / 7.18",34.154
"246.2074 / 2.52",34.139
"89.9602 / 3.31",34.131
"332.1452 / 2.76  M-H-",34.12
"292.1309 / 4.36",34.114
"121.0286 / 10.06",34.096
"139.0501 / 5.59",34.092
"189.1240 / 2.28",34.058
"194.0464 / 6.54",34.053
"304.1664 / 8.08",34.051
"243.1352 / 2.73  MH",34.05
"158.9968 / 3.86",34.029
"298.0834 / 7.66",34.028
"350.1709 / 8.34  MH",33.993
"250.0190 / 21.97",33.978
"318.1662 / 2.35",33.976
"370.1599 / 2.62  MNa",33.969
"837.0020 / 26.50",33.968
"281.0512 / 2.22",33.947
"382.1238 / 3.18",33.93
"543.2772 / 16.91",33.926
"772.4102 / 19.99  MH",33.912
"441.2346 / 6.68  MCH3OHH",33.885
"174.0577 / 4.46",33.862
"152.0571 / 6.71",33.861
"292.9926 / 7.77",33.859
"491.2384 / 23.65",33.852
"233.1509 / 2.41  MH",33.838
"301.1411 / 3.32",33.832
"236.1841 / 8.42",33.814
"292.1297 / 3.30",33.797
"295.1285 / 3.97",33.78
"107.0494 / 8.81",33.742
"558.7644 / 19.86  M-2H2-",33.728
"529.2158 / 22.93",33.701
"435.9660 / 17.16",33.686
"529.1668 / 8.17",33.671
"435.9582 / 2.09  M-H-",33.642
"180.0536 / 8.05",33.639
"473.2978 / 19.48",33.635
"303.0630 / 9.32",33.63
"417.2354 / 6.26",33.623
"313.1228 / 4.39",33.611
"457.1908 / 3.72  MNa",33.611
"703.3102 / 19.44",33.605
"208.1146 / 10.42",33.605
"151.0592 / 7.30",33.588
"256.9622 / 7.44  MK",33.587
"173.1284 / 2.15",33.542
"361.9962 / 21.24",33.512
"120.0811 / 11.13",33.509
"397.2247 / 11.63",33.507
"306.1465 / 5.16  MH",33.506
"492.2111 / 10.45",33.505
"300.1193 / 2.97  MH",33.498
"247.1286 / 4.16",33.493
"482.7297 / 8.72  M2H2",33.472
"501.2154 / 17.92",33.468
"305.0217 / 0.27",33.466
"232.1735 / 3.82",33.445
"552.6127 / 11.41  M3H3",33.433
"345.1031 / 11.72  MNa-2H-",33.423
"295.1669 / 5.16  MNH4",33.419
"283.0422 / 3.31",33.413
"202.1081 / 4.80",33.407
"349.0732 / 1.53",33.405
"330.2029 / 10.68",33.371
"499.0426 / 5.65",33.358
"618.2794 / 20.62  M-H-",33.356
"278.0145 / 22.27",33.342
"141.0175 / 19.69  M-H-",33.322
"166.0727 / 5.78",33.301
"509.9950 / 25.55",33.269
"409.1586 / 1.86",33.242
"370.0156 / 21.58",33.234
"154.0697 / 5.78",33.217
"268.9987 / 12.69",33.215
"121.0985 / 2.78",33.214
"249.9799 / 7.35  MNa-2H-",33.194
"453.1953 / 3.69",33.18
"137.0356 / 5.59",33.154
"279.0606 / 2.20",33.139
"547.3103 / 13.42  MHNa2",33.104
"545.0135 / 19.57",33.1
"305.0235 / 8.69  M-H-",33.096
"545.2679 / 1.93",33.051
"524.2216 / 13.42",33.033
"430.1978 / 11.64  MH",33.026
"268.9988 / 28.10",33.015
"930.9616 / 1.13",32.986
"360.2140 / 13.63",32.982
"359.1549 / 2.79  M-H-",32.98
"82.9960 / 31.83",32.978
"366.2029 / 14.17",32.97
"333.1153 / 2.09  MK",32.957
"231.9685 / 1.84",32.947
"161.0259 / 4.53",32.946
"710.0226 / 27.01",32.927
"345.1084 / 2.36",32.917
"290.1359 / 1.83",32.914
"207.9678 / 8.10  MAcO-H-",32.895
"438.7532 / 13.77  M2H2",32.893
"389.2034 / 3.03  M-H-",32.884
"234.9762 / 8.57",32.831
"500.6188 / 7.61  M3H3",32.824
"143.0191 / 6.16",32.821
"297.0832 / 14.44",32.816
"358.1308 / 11.95",32.806
"785.0072 / 1.16  2MNa-2H-",32.784
"194.9866 / 1.50",32.733
"549.2141 / 3.11",32.728
"271.1153 / 18.66",32.681
"300.2172 / 17.92",32.678
"354.2024 / 19.61  M-H-",32.677
"334.1214 / 10.11",32.668
"286.1224 / 1.77",32.667
"109.0299 / 4.66",32.636
"445.7038 / 11.29  MHK2",32.61
"314.1347 / 7.73",32.556
"295.1658 / 7.60",32.511
"252.0158 / 21.97",32.509
"318.1776 / 7.99  M3H3",32.508
"242.0794 / 1.45",32.504
"334.1397 / 6.13  MH",32.491
"170.0921 / 1.86  MNH4",32.453
"666.9783 / 1.20",32.452
"370.1036 / 2.30",32.447
"225.1219 / 2.35",32.445
"548.2461 / 10.52  MK",32.435
"205.0637 / 1.79",32.427
"282.0454 / 19.45",32.414
"307.0790 / 10.28  MH",32.394
"247.0922 / 1.45",32.389
"413.2034 / 2.58  MH",32.384
"229.9880 / 1.83  MK",32.359
"517.1897 / 13.02",32.339
"457.9400 / 2.09  MNa-2H-",32.336
"115.9207 / 20.63",32.335
"447.1259 / 19.24",32.332
"247.0272 / 8.33",32.313
"397.1967 / 11.44",32.312
"275.1037 / 16.16",32.288
"301.1417 / 16.85",32.262
"299.0081 / 17.32",32.257
"310.1159 / 10.23",32.249
"104.9915 / 11.72",32.248
"98.9756 / 8.48",32.239
"99.9250 / 14.28",32.232
"814.3984 / 10.80  M-H-",32.225
"274.9713 / 1.05",32.221
"408.2108 / 9.88",32.191
"551.0315 / 7.32",32.178
"463.0111 / 10.50",32.175
"286.0561 / 2.55",32.144
"364.1868 / 14.15",32.133
"215.1395 / 2.16",32.128
"371.9496 / 22.48",32.125
"428.0587 / 14.12",32.119
"552.6289 / 11.33  M3H3",32.118
"245.0496 / 14.19",32.113
"256.9586 / 8.71",32.095
"211.0581 / 7.82  MH",32.074
"491.1786 / 2.60",32.041
"258.9642 / 1.06",32.029
"175.0249 / 5.65",32.019
"261.0081 / 8.63",32.017
"339.0274 / 2.33",31.998
"451.2195 / 11.27",31.99
"256.0589 / 1.56",31.979
"303.9011 / 10.77",31.976
"417.2233 / 6.26",31.969
"240.0296 / 4.46",31.95
"93.0693 / 2.72",31.949
"523.3464 / 20.05",31.943
"346.2436 / 1.00",31.938
"298.0826 / 7.12",31.928
"860.9910 / 1.17",31.922
"234.9752 / 13.34",31.895
"488.2569 / 13.17",31.89
"271.0162 / 4.82",31.88
"346.0549 / 4.66",31.87
"255.1453 / 7.31",31.864
"122.0575 / 5.02  MNa",31.858
"389.0151 / 1.15",31.85
"441.2709 / 15.49",31.832
"308.1864 / 18.12",31.827
"281.0446 / 0.04  M",31.81
"299.0051 / 9.18",31.802
"91.0543 / 2.73",31.795
"274.1400 / 2.57",31.789
"164.0567 / 4.73",31.785
"377.1140 / 8.77",31.781
"855.9305 / 12.86  M-2H2-",31.769
"146.0268 / 1.81",31.738
"734.3422 / 16.52  M2H2",31.737
"445.2674 / 12.49",31.719
"180.0773 / 3.16",31.713
"584.2809 / 12.53",31.678
"130.0500 / 11.84",31.676
"618.2828 / 19.90  M-H-",31.672
"715.0389 / 10.91  3M2Na-3H-",31.665
"284.0889 / 7.59",31.654
"249.9790 / 15.65",31.652
"388.2011 / 7.12",31.643
"332.1817 / 3.14",31.64
"661.2680 / 15.12",31.61
"335.0940 / 1.51",31.604
"173.0137 / 1.04",31.592
"303.1453 / 12.11",31.581
"575.3434 / 13.80",31.579
"192.0664 / 4.48",31.549
"466.2679 / 15.17  M2H2",31.543
"246.0768 / 2.99",31.532
"408.7353 / 9.13",31.53
"284.1498 / 2.71",31.512
"726.3471 / 18.94  M2H2",31.494
"413.9889 / 21.56",31.476
"258.1819 / 1.47",31.462
"276.0717 / 2.52",31.46
"724.3213 / 16.75",31.457
"376.1817 / 1.55",31.454
"251.1502 / 8.36",31.449
"256.1156 / 10.81",31.445
"493.7494 / 2.73",31.443
"192.9899 / 1.47",31.44
"217.1286 / 1.80",31.423
"412.1902 / 11.80",31.42
"586.8034 / 15.31  M2H2",31.418
"932.0671 / 22.16",31.411
"136.0605 / 3.72",31.407
"666.8180 / 19.83  M2H2",31.401
"399.7032 / 10.81",31.387
"428.0690 / 14.06",31.374
"173.9610 / 8.75  M",31.37
"498.2194 / 14.12  M3H3",31.362
"181.8981 / 4.51",31.342
"230.1152 / 1.63",31.342
"686.2954 / 20.55  M-H-",31.335
"267.9354 / 0.03  MAcO-H-",31.303
"265.1188 / 3.36  M-H-",31.298
"473.2181 / 4.41",31.298
"186.9958 / 10.81",31.292
"141.0170 / 14.22  M-H-",31.292
"879.0484 / 21.17",31.286
"387.0247 / 7.57",31.285
"442.1273 / 9.51  MNa-2H-",31.263
"452.7380 / 16.83",31.256
"271.0860 / 5.56",31.254
"542.2931 / 9.50",31.248
"559.1512 / 3.91",31.242
"330.1664 / 11.73  MH",31.236
"291.1217 / 22.13  MH",31.235
"381.0082 / 19.40",31.229
"660.0462 / 22.23  M2HNa3",31.223
"259.1298 / 5.07  MAcO-H-",31.216
"202.9867 / 1.04",31.211
"101.0786 / 4.98",31.182
"173.1288 / 10.77",31.165
"306.1448 / 4.88",31.163
"196.0976 / 4.83  MNH4",31.16
"195.1127 / 11.19",31.142
"311.1592 / 3.40",31.122
"344.0282 / 21.23",31.116
"518.9628 / 1.10",31.101
"358.2022 / 16.43  MH",31.053
"545.3402 / 1.00",31.05
"692.3373 / 19.34",31.048
"220.0611 / 4.45  MH",31.04
"266.0148 / 21.56",31.031
"191.0205 / 2.09  MFA-H-",31.021
"458.2427 / 14.00  M",31.01
"218.0062 / 13.84",30.998
"233.1579 / 3.38",30.982
"284.1245 / 7.51",30.969
"352.1475 / 11.73  MNa",30.967
"276.1811 / 4.07",30.961
"524.2715 / 11.41",30.96
"702.3408 / 16.75  MNa",30.94
"367.2268 / 23.00  MH",30.939
"493.7270 / 19.37  MHNa2",30.935
"376.1502 / 14.32",30.929
"687.3696 / 18.04  MH",30.926
"666.9804 / 26.08",30.922
"132.0737 / 8.30",30.92
"159.0273 / 2.76",30.911
"836.9814 / 26.07",30.911
"256.9582 / 20.32",30.905
"554.2824 / 13.14",30.889
"107.0483 / 8.81",30.88
"168.0633 / 3.61",30.88
"523.6178 / 11.36  M3H3",30.859
"110.0602 / 5.66",30.85
"332.2181 / 9.28  MH",30.847
"137.0602 / 4.83",30.839
"520.2733 / 18.65  M3H3",30.763
"521.7804 / 10.12  M2H2",30.755
"308.1704 / 4.98",30.748
"632.2053 / 1.59",30.739
"289.1886 / 2.09",30.718
"215.0341 / 1.45",30.679
"280.1745 / 11.35",30.659
"590.2311 / 13.59  MH",30.654
"232.9762 / 8.10",30.648
"223.1079 / 7.72",30.648
"299.0050 / 1.17  M-H-",30.645
"627.0195 / 19.66",30.633
"276.1608 / 7.64",30.632
"413.2078 / 14.54  M2H2",30.624
"304.0251 / 8.22",30.62
"485.3596 / 8.83  MH",30.606
"298.1403 / 8.89  M-H-",30.599
"86.0960 / 5.11",30.565
"139.0391 / 10.09",30.537
"293.0754 / 5.58",30.53
"439.2266 / 10.13  M2H2",30.512
"158.9969 / 11.27",30.51
"318.1916 / 10.94",30.507
"112.0502 / 7.60",30.5
"422.1587 / 9.47  MH",30.493
"542.4234 / 23.27",30.482
"293.9902 / 21.59",30.474
"217.0037 / 10.16",30.447
"249.0908 / 1.91",30.446
"470.2724 / 11.54",30.446
"404.1803 / 18.31  M-H-",30.439
"388.1451 / 2.09",30.42
"435.1234 / 13.56  MNa",30.407
"405.2290 / 5.29",30.406
"249.0852 / 6.82  MNa-2H-",30.403
"283.0500 / 9.63",30.399
"453.2469 / 21.57  2MK-2H-",30.397
"501.2551 / 12.44",30.395
"426.9870 / 23.57",30.38
"634.2771 / 18.95  M-H-",30.375
"420.9701 / 22.58",30.371
"413.2471 / 10.66",30.362
"219.0171 / 1.09  MCH3OHH",30.353
"271.0757 / 3.41",30.329
"417.2377 / 8.49",30.328
"425.2027 / 15.20  M-H-",30.31
"459.1491 / 18.04",30.291
"188.9870 / 4.66  M-H2O-H-",30.289
"390.1663 / 15.68",30.274
"175.0246 / 2.32  M-H-",30.265
"275.0775 / 1.76",30.251
"375.2171 / 11.84  M2H2",30.237
"282.0523 / 8.66  MH",30.23
"272.1729 / 3.20",30.199
"303.8999 / 6.23",30.185
"166.0184 / 1.86",30.178
"434.1607 / 12.99  M-H-",30.159
"257.1500 / 15.67  MH",30.156
"130.0498 / 4.13",30.151
"378.1790 / 10.64",30.145
"214.0722 / 4.69",30.143
"545.2924 / 13.42",30.138
"361.1593 / 3.37",30.115
"585.0484 / 1.07",30.104
"507.2452 / 10.46  MNa",30.103
"210.1126 / 3.22",30.096
"194.0448 / 2.55",30.096
"292.9925 / 4.76",30.09
"290.1603 / 3.47",30.082
"461.2329 / 12.45",30.078
"655.3373 / 12.85  M2H2",30.075
"157.0763 / 2.30",30.034
"493.7498 / 3.50  M2H2",30.01
"507.0431 / 1.12",30.007
"390.2066 / 7.41  M2H2",29.978
"470.2720 / 9.68",29.973
"520.2846 / 18.67  M2H2",29.969
"241.1551 / 1.99",29.967
"132.0445 / 2.30  MNH4",29.958
"463.0087 / 8.69",29.955
"301.1416 / 0.66",29.954
"276.1558 / 2.60  MNH4",29.952
"303.1309 / 1.53",29.917
"218.0049 / 25.01",29.901
"403.2317 / 11.47",29.893
"665.3238 / 17.20  M-H-",29.886
"514.2635 / 10.70  M2",29.881
"637.7795 / 10.64",29.865
"101.0082 / 8.86",29.862
"470.7539 / 18.84  M4H4",29.853
"444.1387 / 9.66  MNa",29.843
"130.0861 / 1.12  MH",29.828
"867.0108 / 1.16",29.805
"130.9633 / 0.43",29.804
"351.1658 / 2.32",29.797
"385.2189 / 4.81",29.794
"807.5608 / 26.70",29.77
"159.9998 / 1.04",29.757
"425.0417 / 1.12  2MNa-2H-",29.737
"429.1616 / 8.16",29.737
"395.1562 / 3.26",29.729
"116.9855 / 2.64",29.706
"392.0074 / 21.56  MNa",29.695
"446.2254 / 2.60",29.695
"306.1487 / 2.54",29.693
"244.1378 / 2.72",29.68
"261.1446 / 2.12  MNH4",29.677
"141.0659 / 1.51",29.667
"752.3291 / 19.23  M-H-",29.665
"246.1450 / 2.22  MNH4",29.661
"505.3393 / 20.01",29.661
"229.1558 / 5.08  MH",29.66
"215.1394 / 10.06",29.656
"186.9957 / 13.75",29.645
"298.1385 / 4.02",29.644
"237.0913 / 2.36",29.627
"422.9313 / 0.31",29.62
"297.0834 / 8.08",29.62
"447.2447 / 9.07",29.619
"142.9985 / 1.61",29.616
"449.2013 / 8.81",29.607
"229.1554 / 12.51  MCH3OHH",29.606
"714.9023 / 21.75",29.6
"567.2762 / 11.78  MNa",29.597
"374.9899 / 24.73",29.592
"515.0079 / 20.15",29.584
"624.2671 / 21.02  MNa-2H-",29.574
"209.1373 / 4.81",29.57
"411.1264 / 13.53  M-H-",29.563
"324.0593 / 7.59",29.552
"180.0886 / 10.24",29.549
"544.3068 / 9.49",29.548
"297.0837 / 11.53",29.508
"688.3000 / 9.23",29.504
"854.9746 / 1.13  MBr-",29.492
"244.0234 / 1.05",29.486
"340.1869 / 17.48  M-H-",29.478
"146.1654 / 1.00",29.477
"189.0409 / 2.18",29.475
"302.1499 / 11.77",29.465
"268.9983 / 15.73",29.464
"423.2236 / 10.54",29.456
"251.0999 / 6.82  MNa",29.439
"322.1384 / 2.58  MNa",29.437
"217.0040 / 1.14  M-H-",29.437
"553.2641 / 13.63",29.436
"632.2772 / 15.72",29.423
"488.1991 / 2.70",29.418
"338.1819 / 1.57",29.407
"608.3269 / 16.44  M2NH42",29.406
"268.9986 / 14.32",29.4
"487.0457 / 1.04",29.374
"310.0041 / 21.27  M-H-",29.362
"262.9875 / 9.30  M-H-",29.357
"331.9690 / 1.08",29.353
"308.0852 / 7.60  MK",29.342
"136.0754 / 6.11",29.335
"247.1113 / 3.61",29.332
"317.1819 / 2.09",29.323
"189.9584 / 30.28",29.304
"469.0288 / 12.85",29.294
"607.3201 / 18.51",29.282
"409.2094 / 10.45  MNH4",29.275
"558.2532 / 17.50  M2H2",29.273
"380.1196 / 13.69",29.266
"218.1502 / 1.12",29.256
"335.0745 / 6.41  M-H-",29.245
"413.1422 / 13.52  MH",29.228
"140.0707 / 6.96  MH",29.223
"120.0809 / 5.55",29.219
"85.0652 / 8.31",29.214
"141.0176 / 4.65",29.21
"141.0160 / 12.63",29.209
"533.7645 / 16.46  M2H2",29.204
"136.0757 / 10.59",29.203
"176.0280 / 1.80",29.2
"456.5211 / 13.17",29.196
"302.1966 / 4.03",29.173
"504.2652 / 11.48  MH",29.167
"399.2349 / 9.68",29.165
"242.1231 / 11.72",29.159
"260.1254 / 1.81",29.158
"243.1346 / 11.23",29.154
"692.3715 / 15.55  M3H3",29.149
"557.2928 / 15.12",29.148
"517.0024 / 1.10",29.146
"359.1575 / 10.11",29.144
"268.9372 / 31.31",29.142
"342.0289 / 21.23",29.135
"370.1139 / 2.12  MH",29.09
"523.6025 / 11.44  M3H3",29.088
"261.1239 / 9.92",29.087
"351.2014 / 1.80",29.079
"253.1522 / 3.82",29.073
"255.1354 / 15.71",29.059
"263.1396 / 6.24  M-H-",29.051
"580.2605 / 15.38  MNa",29.039
"510.3289 / 15.85",29.03
"408.7460 / 9.41  M2Na2",29.028
"265.0857 / 2.37",29.024
"357.0561 / 6.41  MNa-2H-",29.019
"400.9871 / 1.04",29.015
"400.7136 / 10.30  M2H2",29.014
"260.1617 / 2.38  MNH4",28.998
"201.0267 / 8.64",28.996
"424.1807 / 2.72  M3H3",28.991
"446.7056 / 11.36",28.99
"378.2203 / 7.50  M2H2",28.969
"453.2346 / 9.64",28.956
"262.1489 / 2.71",28.948
"470.1875 / 11.02",28.944
"524.2869 / 17.59",28.941
"427.2544 / 12.52  M-H-",28.939
"145.0086 / 5.02",28.916
"201.0256 / 5.08",28.912
"346.2080 / 22.30",28.903
"656.2601 / 18.95  MNa-2H-",28.891
"513.7706 / 13.40",28.89
"465.2696 / 15.50  MNa",28.882
"490.2319 / 10.30",28.882
"571.7720 / 19.86  MHNa2",28.845
"366.1662 / 5.39",28.842
"165.0551 / 6.56",28.842
"515.9982 / 25.49",28.839
"538.3202 / 19.18  MNa",28.838
"334.1124 / 10.21",28.832
"590.2911 / 16.30  M2",28.824
"733.9469 / 21.78  MHNa2",28.819
"587.2841 / 11.32  M2H2",28.818
"590.2780 / 11.00  MAcO-H-",28.813
"247.1117 / 2.76",28.801
"502.9608 / 25.33",28.787
"347.2431 / 22.58",28.769
"273.0800 / 19.35",28.764
"407.2135 / 2.83  MCH3OHH",28.754
"338.1938 / 10.53  MNa",28.746
"96.0077 / 2.53",28.739
"468.7141 / 15.70  M2H2",28.737
"114.9481 / 2.66  MH",28.717
"312.1306 / 10.24",28.7
"178.0862 / 2.60  MCH3OHH",28.698
"186.0568 / 7.95",28.693
"288.8769 / 2.29",28.646
"177.0064 / 1.06",28.635
"552.2658 / 13.14",28.626
"502.7740 / 10.52  M2H2",28.614
"426.9875 / 20.53",28.606
"293.1129 / 3.92",28.601
"500.2716 / 7.80",28.597
"373.1138 / 6.99",28.592
"304.1505 / 2.29",28.566
"426.1305 / 16.25  MNa-2H-",28.566
"491.7716 / 12.23  M2H2",28.553
"382.0215 / 5.71",28.549
"174.0553 / 4.48",28.535
"472.1667 / 4.10",28.532
"458.8896 / 6.64  M3H3",28.531
"576.2576 / 17.53  M2H2",28.531
"337.1523 / 3.69  MH",28.523
"409.1609 / 3.81",28.506
"466.2280 / 15.30",28.492
"147.9465 / 10.36",28.463
"429.2712 / 15.30",28.46
"381.2032 / 22.68",28.459
"207.0521 / 1.62",28.455
"295.1229 / 21.19",28.449
"547.1756 / 2.60",28.442
"294.1084 / 2.26",28.442
"285.0351 / 6.67",28.441
"267.1719 / 5.78  MH",28.44
"305.0208 / 7.72",28.424
"453.9985 / 10.28",28.421
"447.9653 / 22.89  M-H-",28.413
"703.2735 / 19.76  MNa-2H-",28.405
"464.7587 / 14.56  M2H2",28.398
"415.2297 / 1.91",28.396
"225.0108 / 1.08",28.384
"377.1446 / 14.74",28.37
"189.9598 / 17.31",28.364
"627.0205 / 17.39",28.354
"431.7194 / 10.34  M2H2",28.353
"225.9245 / 7.93",28.344
"222.9651 / 19.03",28.338
"527.2337 / 19.11  M2H2",28.335
"163.0148 / 3.24",28.33
"300.1555 / 8.90  MH",28.328
"254.1388 / 5.33  M",28.32
"447.0335 / 20.77",28.317
"553.0227 / 1.15",28.314
"174.9918 / 1.13",28.283
"418.1639 / 19.04  M-H-",28.282
"296.0983 / 7.21",28.269
"387.1407 / 2.15  MNH4",28.266
"354.9407 / 8.91",28.265
"583.3024 / 19.08  M2H2",28.23
"599.3912 / 14.74  MH",28.228
"302.1352 / 2.70  M-H-",28.217
"344.0387 / 4.91  M-H2O-H-",28.213
"161.0259 / 3.60",28.209
"423.0061 / 2.12",28.208
"701.3137 / 19.36  M-2H2-",28.196
"761.0188 / 25.34",28.187
"677.3196 / 19.58  M-2H2-",28.185
"607.3484 / 20.89  M2H2",28.176
"360.9578 / 12.15",28.176
"228.1346 / 1.80",28.168
"282.1196 / 1.77",28.164
"292.1647 / 1.70",28.151
"301.1419 / 4.50",28.146
"447.1037 / 4.32",28.132
"99.9260 / 10.41",28.127
"415.1922 / 2.26",28.126
"153.0664 / 5.75  MH",28.117
"338.1842 / 3.27",28.099
"99.9266 / 8.56",28.086
"251.1059 / 1.88",28.083
"439.7266 / 10.12",28.079
"314.1605 / 7.57",28.078
"528.9483 / 10.56  M3H3",28.077
"346.1244 / 2.05",28.066
"282.0524 / 11.57",28.061
"162.0555 / 11.08",28.059
"866.5250 / 22.04",28.055
"293.1140 / 6.70",28.036
"143.0183 / 6.99",28.012
"443.1405 / 2.65",28.002
"748.9822 / 1.20",28.001
"354.1735 / 10.13  M2H2",27.986
"514.3221 / 19.17  M-H-",27.985
"387.1749 / 3.83",27.979
"443.2125 / 2.51",27.95
"165.0652 / 7.05  M",27.946
"504.9319 / 8.51",27.942
"337.0777 / 1.62",27.92
"419.2505 / 8.11  MCH3OHH",27.907
"306.1666 / 2.35",27.904
"142.0667 / 7.99",27.893
"536.2383 / 10.22",27.892
"433.1939 / 2.70",27.872
"247.1288 / 3.60",27.849
"230.1214 / 1.80",27.834
"725.5583 / 26.79",27.83
"230.0364 / 21.27  M-H-",27.827
"453.9868 / 10.31",27.81
"418.1920 / 11.46",27.807
"99.9253 / 5.67",27.806
"522.2732 / 13.87  M2H2",27.782
"499.9216 / 13.72  M3H3",27.775
"229.1553 / 15.50",27.772
"293.1900 / 9.95  M2H2",27.762
"551.0336 / 10.66",27.756
"552.9557 / 13.51  M3H3",27.753
"158.9959 / 1.06  MH",27.739
"634.8402 / 19.89  MHK2",27.734
"508.9903 / 21.55",27.734
"159.1014 / 14.65",27.733
"249.1236 / 3.37  MH",27.731
"556.2607 / 15.11",27.711
"302.2079 / 10.32",27.681
"251.1373 / 4.86  MNa",27.679
"480.7199 / 19.39  M-2H2-",27.673
"542.5345 / 14.63  M4H4",27.66
"425.2304 / 23.00",27.65
"310.1585 / 2.71  M",27.638
"593.2196 / 8.42",27.617
"332.1831 / 2.63  MCH3OHH",27.601
"751.6823 / 19.38",27.587
"404.2140 / 2.25",27.548
"310.1383 / 2.44",27.548
"389.7308 / 3.72",27.548
"444.9064 / 15.61",27.546
"375.1888 / 3.21  MH",27.522
"344.9844 / 9.95",27.522
"480.2642 / 9.29  M2H2",27.504
"269.1551 / 2.15",27.5
"235.1818 / 7.98  MH",27.489
"279.1341 / 3.30",27.473
"371.0846 / 9.43",27.47
"131.0709 / 8.31  M-H-",27.447
"177.0506 / 8.32",27.441
"725.3850 / 18.69",27.419
"447.2084 / 4.71",27.418
"361.1356 / 3.31",27.416
"279.1354 / 5.18",27.415
"814.3566 / 20.01",27.411
"319.1923 / 22.63",27.406
"231.0552 / 8.32",27.399
"385.1244 / 2.19",27.396
"167.0568 / 8.70",27.389
"633.0365 / 14.92",27.385
"165.0553 / 20.29",27.382
"299.0066 / 16.15",27.378
"267.0729 / 4.50",27.377
"814.4085 / 8.68",27.375
"416.3534 / 19.92",27.36
"321.2079 / 22.32",27.359
"283.0423 / 3.92",27.357
"615.3093 / 3.60",27.337
"242.0335 / 8.34",27.336
"305.0225 / 13.79",27.325
"453.1227 / 5.01",27.309
"157.8626 / 2.41",27.299
"358.1430 / 14.91",27.292
"284.1243 / 2.63  M-H2O-H-",27.291
"372.0235 / 21.56  MH",27.29
"676.0918 / 13.59  M4H4",27.29
"441.1968 / 4.22",27.276
"277.1552 / 10.11  M-H-",27.276
"415.2309 / 2.57",27.267
"249.9790 / 11.02  MAcO-H-",27.256
"263.1396 / 5.51  M-H-",27.251
"521.9249 / 8.39  M3H3",27.249
"302.1349 / 3.61",27.24
"217.0032 / 12.99",27.236
"270.0024 / 25.58",27.236
"426.1024 / 12.04",27.227
"382.1625 / 4.87",27.217
"667.0535 / 1.12",27.209
"297.0068 / 6.70",27.207
"281.0522 / 12.84",27.186
"99.9260 / 18.76",27.169
"777.8838 / 18.67  M-2H2-",27.164
"714.3449 / 19.99  M3H3",27.163
"594.0354 / 22.10  M3H3",27.151
"375.1522 / 5.70",27.137
"618.3092 / 20.17  M-2H2-",27.134
"733.3996 / 21.69",27.125
"153.0408 / 5.30",27.125
"588.3190 / 16.76  M2H2",27.112
"219.0276 / 10.08",27.108
"809.9155 / 19.92  M2NH42",27.086
"300.1058 / 4.80",27.073
"286.1882 / 1.57",27.071
"105.0199 / 1.58",27.062
"522.2416 / 3.08  MCH3OHH",27.057
"585.3763 / 12.40",27.047
"213.0403 / 9.59",27.042
"253.0368 / 8.29  MK",27.038
"229.1199 / 7.29  MFA-H-",27.031
"670.4229 / 15.58",27.013
"146.0604 / 8.03",26.997
"257.1487 / 1.55",26.997
"653.1327 / 10.26",26.991
"616.9831 / 10.50  M3H3",26.989
"116.9862 / 11.39",26.987
"448.2111 / 7.58",26.942
"521.3359 / 8.83",26.941
"289.1498 / 6.65",26.904
"753.0521 / 1.14  2MNa-2H-",26.9
"457.0094 / 13.46  M4H4",26.898
"268.0425 / 2.32",26.893
"440.2411 / 16.30  M2H2",26.888
"305.0229 / 10.19  M-H-",26.886
"387.1507 / 4.75",26.879
"467.2369 / 9.93",26.859
"143.1184 / 2.28  MNH4",26.858
"252.0866 / 10.30",26.826
"761.6869 / 19.44  M3H3",26.823
"486.2656 / 7.41",26.802
"310.1764 / 1.48",26.799
"581.8142 / 19.54",26.791
"291.9898 / 20.64",26.779
"751.6638 / 19.35  M3H3",26.77
"272.9377 / 3.60",26.766
"190.0526 / 4.46",26.765
"295.1112 / 7.96",26.756
"299.0072 / 10.16",26.751
"249.0620 / 6.73",26.749
"289.1874 / 2.64  MNH4",26.728
"387.1297 / 2.17  MH",26.723
"217.0035 / 31.13",26.709
"587.0477 / 1.10",26.705
"697.3117 / 18.99",26.697
"422.9319 / 5.19",26.686
"269.0665 / 5.11",26.668
"701.2928 / 19.45  M-H-",26.658
"278.1141 / 2.98",26.652
"489.8974 / 16.49  M3H3",26.646
"466.3302 / 23.62",26.62
