"","p[1]","p(corr)[1]"
"610.8231 / 19.25",-208.4,-0.69328
"610.9603 / 1.31",32.137,0.5674
"611.0419 / 1.17  M-H-",30.261,0.42367
"611.1367 / 12.00",-210.03,-0.69679
"611.2776 / 24.30",1.6169,0.13978
"611.2784 / 3.61  M-H-",-183.06,-0.68112
"611.2825 / 15.65",-134.16,-0.51377
"612.0467 / 1.15",34.472,0.46002
"612.2634 / 19.01  MNa-2H-",-185.48,-0.67133
"612.2756 / 24.29",0.41959,0.03972
"612.2776 / 3.47",-170.33,-0.64824
"612.2858 / 19.86",-140.45,-0.50186
"612.3098 / 13.86",-124.82,-0.50959
"612.3104 / 22.88  M-H-",-31.085,-0.19188
"612.7365 / 19.73  M-2H2-",-156.46,-0.60537
"613.0452 / 16.99",-33.453,-0.14333
"613.2123 / 8.77  2MNa-2H-",-87.11,-0.38246
"613.2413 / 12.45",-203.67,-0.72005
"613.2941 / 7.08  M-H-",-76.844,-0.39418
"613.3164 / 22.86  M-",-34.651,-0.24387
"613.3307 / 3.58",-218.65,-0.67999
"613.3312 / 12.18",-124.12,-0.46576
"613.3554 / 18.75  M-H-",-156.94,-0.59357
"613.3559 / 22.86",-17.199,-0.23517
"613.3918 / 19.65",-251.63,-0.74042
"614.1721 / 14.55",108.36,0.38413
"614.3056 / 11.37",-168.72,-0.67001
"614.3382 / 19.23",-194.02,-0.67217
"614.3496 / 15.20",-198.5,-0.7132
"614.3507 / 2.31",-141.86,-0.57938
"614.8393 / 15.96",-34.146,-0.21045
"614.9833 / 1.13",-129.54,-0.6397
"615.1370 / 22.13  2M-H-",-28.872,-0.1412
"615.2607 / 10.96  M-H-",-172.5,-0.57361
"615.3093 / 3.60",-207.96,-0.67654
"615.3095 / 8.43  M-H-",-103,-0.4092
"615.3355 / 20.10  MNa-2H-",-112.26,-0.45882
"615.3701 / 19.15  M-H-",-162.15,-0.66578
"615.4615 / 23.91",7.0573,0.39187
"616.3248 / 20.88  M-2H2-",-83.119,-0.35169
"617.2914 / 2.72",-153.79,-0.57146
"617.2963 / 11.57",-127.78,-0.525
"617.3404 / 12.47",-116.18,-0.48861
"617.7358 / 20.11",-185.06,-0.6644
"618.2511 / 9.95  M-H2O-H-",-180.71,-0.62466
"618.2719 / 13.02",-204.91,-0.75103
"618.2794 / 20.62  M-H-",-217.47,-0.72721
"618.2828 / 19.90  M-H-",-232,-0.75785
"618.3054 / 14.41  M-2H2-",-86.923,-0.39514
"618.3072 / 19.17  MNa-2H-",-228.88,-0.71488
"618.3092 / 20.17  M-2H2-",-193.12,-0.714
"619.0175 / 1.28",-16.195,-0.18041
"619.2752 / 14.62",-100.6,-0.4403
"619.3085 / 16.72  M-H-",-199.14,-0.67944
"619.3097 / 14.88",-202.04,-0.70561
"619.3126 / 16.21",-201.64,-0.67508
"619.3297 / 12.72  MAcO-H-",-153.93,-0.57712
"619.3436 / 12.32  M-H-",-189.36,-0.66678
"619.3560 / 11.82  M-H-",-227.38,-0.7155
"619.8483 / 18.70",-83.562,-0.43724
"620.2516 / 11.40",-193.69,-0.65679
"620.2926 / 18.91",-169.51,-0.60177
"620.9999 / 24.68",-42.372,-0.24298
"621.0006 / 1.16  2MNa-2H-",-104.72,-0.63485
"621.0016 / 28.02",1.8599,0.20247
"621.0035 / 26.30",-38.558,-0.13676
"621.0037 / 25.30",-90.131,-0.32655
"621.1863 / 21.62",-4.4439,-0.20685
"621.2513 / 6.67",-153.17,-0.55571
"621.2525 / 21.15",3.8303,0.033207
"621.3180 / 14.66",-134.3,-0.52832
"621.3259 / 16.98",-150.07,-0.62074
"621.3342 / 9.69  MNa-2H-",-150.64,-0.57901
"621.8214 / 12.99",-191.95,-0.6944
"621.8709 / 14.67  M-2H2-",-52.533,-0.27264
"623.1983 / 23.30",5.1515,0.27634
"623.2410 / 21.98",-34.064,-0.16926
"623.2673 / 20.96  MAcO-H-",-7.1778,-0.044958
"623.2819 / 15.83  MCl-",-128.87,-0.56821
"623.3000 / 13.93  MNa-2H-",-147.83,-0.57143
"623.3002 / 10.29  MNa-2H-",-167.35,-0.65544
"624.2609 / 7.31",-203.05,-0.71484
"624.2671 / 21.02  MNa-2H-",-18.647,-0.085734
"624.2978 / 15.17",-187.05,-0.6353
"624.3013 / 20.61  MNa-2H-",-53.235,-0.2578
"624.3404 / 22.73  M-H-",-2.2395,-0.0094713
"624.3465 / 13.87",-166.74,-0.6159
"624.3723 / 19.28",-228.14,-0.71953
"624.4379 / 20.74",8.1083,0.091624
"625.1653 / 22.95",11.776,0.34399
"625.2825 / 20.77",-11.413,-0.055621
"625.3188 / 13.59  M-H-",-170.93,-0.63217
"625.3302 / 12.24  M-H2O-H-",-220.53,-0.72541
"625.3553 / 16.25",-154.05,-0.57743
"625.3559 / 15.68  M-H-",-152.55,-0.56063
"626.3513 / 10.07  M-H2O-H-",-71.994,-0.39259
"626.3857 / 19.20",-126.43,-0.53751
"627.0154 / 30.00",3.5107,0.019797
"627.0172 / 1.26",-68.522,-0.63564
"627.0177 / 9.31",-77.051,-0.28837
"627.0179 / 29.46",-0.50216,-0.027952
"627.0181 / 10.46",-13.15,-0.068394
"627.0184 / 12.70",-45.631,-0.1663
"627.0184 / 16.38",-9.9564,-0.041816
"627.0189 / 14.99",0.58704,0.0028195
"627.0190 / 13.83",-2.4792,-0.0089725
"627.0192 / 28.32",-0.57175,-0.016768
"627.0194 / 15.81",-26.739,-0.12303
"627.0194 / 24.21",2.3332,0.087135
"627.0195 / 19.66",-135.98,-0.43974
"627.0199 / 22.35",-3.4786,-0.11251
"627.0200 / 12.09",-83.616,-0.32907
"627.0204 / 18.00",-101.63,-0.36508
"627.0205 / 17.39",-29.939,-0.10569
"627.0208 / 20.20",-94.792,-0.28002
"627.0208 / 27.80",-0.26333,-0.02458
"627.0216 / 18.61",-21.672,-0.078849
"627.0221 / 21.46",1.6276,0.050379
"627.0223 / 22.91",5.204,0.18147
"627.0591 / 1.10",1.7956,0.016476
"627.1333 / 10.49",-201.26,-0.68273
"627.2134 / 23.22",6.1369,0.30564
"627.3109 / 12.12",-147.94,-0.5514
"627.3492 / 9.26",-13.69,-0.052448
"627.3744 / 23.05",-13.25,-0.093559
"628.0161 / 26.80",-51.271,-0.11089
"628.0237 / 24.64",9.8953,0.25482
"628.0610 / 1.07",15.36,0.15296
"628.1773 / 20.97",26.656,0.11378
"628.2956 / 15.45",-186.64,-0.6582
"628.2959 / 11.33",-128.68,-0.56061
"628.3379 / 7.70  M-H-",-206.98,-0.68589
"628.3664 / 16.56",-234.5,-0.75157
"628.4027 / 11.35",-150.61,-0.6176
"629.0561 / 1.06",24.109,0.23845
"629.2310 / 20.43  2MNa-2H-",-106.05,-0.4308
"629.2678 / 7.43",-229.05,-0.73532
"629.2894 / 15.93  MNa-2H-",-180.81,-0.69321
"629.2906 / 8.71",-135.71,-0.54901
"629.2964 / 14.41  M-2H2-",-150,-0.59361
"629.3134 / 16.03",-203.48,-0.6963
"629.3143 / 13.68",-200.33,-0.71639
"629.3240 / 12.16",-145.48,-0.55431
"629.3263 / 14.71",-245.69,-0.75333
"629.3293 / 20.97  MNa-2H-",-138.16,-0.47435
"629.3449 / 9.29",-182.02,-0.65903
"629.3690 / 16.59",-200.68,-0.71724
"630.2625 / 15.74",-257.21,-0.77503
"630.2702 / 5.42",-104.39,-0.46499
"630.2728 / 16.91",-176.16,-0.71386
"630.2965 / 18.85",-211.92,-0.71928
"630.3236 / 17.83",-222.34,-0.67851
"630.3251 / 14.75",-201.41,-0.69234
"630.7752 / 17.54  M-2H2-",-154.71,-0.59635
"631.1976 / 23.48",11.449,0.58671
"631.2420 / 23.67",-18.426,-0.32027
"631.3276 / 17.80  MFA-H-",-186.79,-0.63788
"631.3452 / 19.65",-165.23,-0.60332
"632.2053 / 1.59",88.81,0.4937
"632.2858 / 14.03  MNa-2H-",-133,-0.57464
"632.2874 / 14.63  MNa-2H-",-172.14,-0.62351
"632.2896 / 19.64",-152.09,-0.58757
"632.3041 / 12.34",-100.63,-0.46927
"632.3248 / 5.99",-178.36,-0.63392
"632.3401 / 8.52",-96.965,-0.45103
"632.3793 / 14.46",-119.54,-0.50054
"632.8675 / 15.23",-184.88,-0.63197
"633.0345 / 29.71  2MNa-2H-",-57.178,-0.20726
"633.0347 / 12.48",-140.16,-0.49941
"633.0347 / 8.57  2MNa-2H-",-16.886,-0.064137
"633.0348 / 10.83  2MNa-2H-",47.744,0.19038
"633.0350 / 20.29",5.8843,0.021202
"633.0351 / 9.70  2MNa-2H-",-0.41738,-0.0018928
"633.0356 / 21.46  M-H-",-43.032,-0.2355
"633.0362 / 1.33",4.5002,0.26191
"633.0363 / 16.29  4M3Na-4H-",-17.041,-0.082711
"633.0363 / 17.66  4M3Na-4H-",-125.64,-0.40986
"633.0364 / 26.99  4M3Na-4H-",-4.6987,-0.23757
"633.0365 / 14.92",-49.89,-0.17882
"633.0366 / 23.78",7.1529,0.39415
"633.0367 / 16.80",-98.362,-0.34307
"633.0368 / 19.64  4M3Na-4H-",57.996,0.19757
"633.0368 / 20.81",-14.951,-0.041834
"633.0371 / 18.69",-122.29,-0.40871
"633.0374 / 27.96  4M3Na-4H-",39.223,0.078956
"633.0376 / 11.37  2MNa-2H-",-54.853,-0.21006
"633.0376 / 13.10  2MNa-2H-",-88.256,-0.30152
"633.0376 / 25.89  4M3Na-4H-",1.4495,0.13192
"633.0382 / 11.90",2.1174,0.01292
"633.0382 / 14.14",-2.5566,-0.0087276
"633.0389 / 22.22  4M3Na-4H-",-6.4813,-0.2349
"633.0389 / 22.91  2MNa-2H-",4.0685,0.14519
"633.0393 / 25.12  2MNa-2H-",2.202,0.18721
"633.2608 / 3.61  MNa-2H-",-136,-0.59207
"633.2900 / 14.09",-165.73,-0.59778
"633.3344 / 10.74",-117.59,-0.51553
"633.3615 / 18.85",-141.37,-0.62124
"634.0390 / 23.61",2.7047,0.083132
"634.0391 / 20.96",19.058,0.075323
"634.0392 / 1.25",3.9625,0.22005
"634.0394 / 22.98",1.6954,0.064785
"634.0395 / 25.44",-35.928,-0.13267
"634.0404 / 26.12",-21.061,-0.084863
"634.0405 / 24.89",26.873,0.18348
"634.0405 / 27.44",-6.3419,-0.29169
"634.0406 / 21.47  M-",38.937,0.094755
"634.0419 / 24.16",6.6381,0.31749
"634.2771 / 18.95  M-H-",-228.55,-0.77497
"634.3441 / 18.82",-201.22,-0.70978
"635.1248 / 21.53",5.0994,0.39958
"635.2667 / 16.03",-124.1,-0.51395
"635.3047 / 17.17",-147.27,-0.52932
"635.3373 / 18.75  MNa-2H-",-206.89,-0.75985
"635.3406 / 19.56",-219.37,-0.73316
"635.8044 / 18.32",-97.948,-0.45523
"636.0008 / 21.56",38.538,0.14955
"636.2628 / 10.20  M-H-",-206.95,-0.75566
"636.2980 / 3.13  M-2H2-",-204.32,-0.69159
"636.3216 / 14.06",-190.88,-0.6921
"636.3357 / 19.68",-280.29,-0.76863
"637.2174 / 23.49",10.181,0.60938
"637.2431 / 10.96  MNa-2H-",-149.47,-0.57164
"637.2708 / 8.89",-81.552,-0.33958
"637.2958 / 23.24",-2.2743,-0.016089
"637.3001 / 17.96",-133.75,-0.56876
"637.9975 / 21.59",-55.183,-0.23262
"638.2952 / 19.90",-154.33,-0.56215
"638.3513 / 16.44",-160.37,-0.62216
"639.1807 / 24.23",7.547,0.24855
"639.3007 / 10.37",-178.88,-0.65173
"639.3447 / 13.80  M-H-",-246.52,-0.73714
"639.3448 / 16.47",-124.27,-0.5399
"639.3460 / 14.54  M-H2O-H-",-247.01,-0.72187
"639.3470 / 15.23  M-H-",-79.562,-0.36969
"640.2616 / 20.62  MNa-2H-",-172.01,-0.61495
"640.2648 / 19.90  MNa-2H-",-169.61,-0.6277
"640.3297 / 1.97",-159.33,-0.6671
"640.8367 / 13.14",-141.12,-0.54843
"641.2907 / 16.69  MNa-2H-",-148.42,-0.56666
"641.3266 / 12.32  MNa-2H-",-154.78,-0.61045
"641.3381 / 13.10",-154.77,-0.60786
"641.3525 / 15.85",-220.84,-0.72273
"641.7850 / 19.13  M-2H2-",-112.86,-0.52614
"641.8145 / 14.63  M-2H2-",-178.25,-0.71092
"642.2718 / 20.20  M-2H2-",-154.18,-0.63226
"642.3234 / 13.15",-134.74,-0.52268
"642.3237 / 11.55",-101.33,-0.45576
"642.3452 / 15.87  M-H-",-238.15,-0.70483
"642.3462 / 19.65",-218.59,-0.74838
"642.3841 / 10.36",-182.29,-0.6301
"642.4210 / 13.95",-67.248,-0.33468
"643.0385 / 1.05",-17.576,-0.18835
"643.1244 / 22.05",7.8693,0.42425
"643.3050 / 2.69  2MK-2H-",-245.31,-0.76259
"643.3250 / 2.60",-206.96,-0.67835
"643.3297 / 9.78",-166.01,-0.60306
"643.3405 / 7.67",-158.24,-0.58097
"643.3416 / 12.67  M-H-",-171.3,-0.63131
"643.3419 / 8.67",-128.88,-0.51066
"644.2695 / 17.13",-75.143,-0.382
"644.2744 / 18.09",-131.02,-0.54799
"644.2893 / 6.49",-199.51,-0.6821
"644.3251 / 15.81",-181.02,-0.64402
"644.3271 / 2.57",-175.26,-0.6308
"644.3637 / 10.54  M-H-",-150.8,-0.60151
"644.7694 / 17.70",-203.63,-0.71816
"644.8382 / 16.15",-131.66,-0.55952
"645.0393 / 1.04",-10.166,-0.10119
"645.2500 / 20.96  M-H-",-41.251,-0.17487
"645.2853 / 8.22",-129.53,-0.50379
"645.3232 / 15.23",-135.91,-0.53452
"646.3209 / 22.73  MNa-2H-",3.4866,0.023766
"647.2394 / 22.97",-70.374,-0.3661
"647.3007 / 13.59  MNa-2H-",-177.91,-0.66784
"647.3373 / 15.68  MNa-2H-",-118.43,-0.50689
"648.2982 / 11.06",-134.09,-0.5626
"648.3016 / 17.29",-157.25,-0.56632
"648.3704 / 14.18",-180.44,-0.61146
"648.8323 / 15.89",-48.211,-0.29781
"649.0098 / 1.33  2MK-2H-",-11.091,-0.37534
"649.1446 / 22.05",8.3527,0.49134
"649.2864 / 9.70",-169.13,-0.60672
"650.2793 / 11.97",-128.01,-0.5582
"650.3222 / 7.73  MNa-2H-",-92.697,-0.44503
"650.3301 / 12.99",-140.03,-0.57504
"650.3502 / 10.14",-177.41,-0.67119
"650.3558 / 16.63",-169.08,-0.61621
"650.7888 / 14.67",-94.961,-0.40025
"651.2652 / 14.68",-259.84,-0.83194
"651.2979 / 4.79",-130.46,-0.51531
"651.2992 / 18.88",-171.13,-0.63576
"652.1948 / 21.76",10.828,0.42166
"652.2452 / 10.33",-132.92,-0.56023
"652.2834 / 9.66",-141.01,-0.59909
"652.2942 / 1.97",-193.93,-0.66204
"652.7749 / 19.13  M-2H2-",-89.211,-0.45605
"653.1327 / 10.26",-207.79,-0.71359
"653.1831 / 5.71  2M-H-",-72.744,-0.22034
"653.2894 / 22.83",-21.75,-0.11756
"653.2960 / 8.09  M-2H2-",-196.21,-0.73106
"653.3101 / 19.42  M-H-",-196.89,-0.71037
"653.3228 / 12.90",-164.47,-0.63322
"653.8239 / 12.90",-77.099,-0.35176
"654.2993 / 8.78",-188.83,-0.63835
"654.3568 / 8.18",-121.51,-0.5299
"655.2240 / 4.26  3M2Na-3H-",95.882,0.46741
"655.2458 / 23.65",-12.914,-0.098638
"655.3047 / 2.16",-136.1,-0.50933
"655.3403 / 13.99",-200.35,-0.66807
"655.3500 / 16.31",-157.63,-0.57416
"655.3826 / 19.63",-167.45,-0.65952
"655.4209 / 23.43  M-H-",-11.26,-0.38431
"656.1574 / 7.30",-49.948,-0.21136
"656.2601 / 18.95  MNa-2H-",-187.71,-0.71788
"656.2999 / 8.80",-87.206,-0.32409
"656.3310 / 20.30  M-2H2-",-183.82,-0.65228
"656.3749 / 8.64  M-H-",-66.506,-0.32813
"657.2810 / 18.72  M-2H2-",-174.44,-0.63559
"657.2977 / 8.08",-197.1,-0.66074
"657.3100 / 12.14  MK-2H-",-194.85,-0.68726
"657.3185 / 7.75",-201.33,-0.67521
"657.3201 / 8.38",-232.06,-0.69531
"657.3591 / 14.83  M-H-",-211.55,-0.62506
"657.3832 / 18.51",-80.827,-0.43089
"658.2837 / 18.59",-209.74,-0.7019
"658.3413 / 10.67",-164,-0.58933
"658.3555 / 19.48",-266.19,-0.76862
"658.3685 / 10.96",-116.37,-0.50397
"658.4035 / 9.92",-86.263,-0.38003
"658.7886 / 11.65  M-2H2-",-82.794,-0.3822
"659.0184 / 1.07",-64.858,-0.48614
"659.2337 / 23.91",2.1997,0.17627
"659.2511 / 15.17",-169.89,-0.5852
"659.2648 / 13.78",-100.93,-0.44942
"659.3523 / 5.10",-88.012,-0.39996
"659.3643 / 14.80",-169.16,-0.67155
"659.3744 / 19.64",-222.1,-0.7499
"660.2773 / 14.44",-98.533,-0.49335
"661.3164 / 16.47",-157.75,-0.59669
"661.3177 / 8.56  MFA-H-",-170.01,-0.60542
"661.3266 / 13.83  MNa-2H-",-162.34,-0.63044
"661.3285 / 15.23  MNa-2H-",-113.76,-0.47376
"661.3414 / 10.10  MAcO-H-",-212.16,-0.65164
"661.3477 / 22.10  3M2Na-3H-",-8.7052,-0.040047
"661.3564 / 16.98",-138.41,-0.57575
"661.3566 / 18.15",-237.87,-0.72198
"662.2214 / 20.77",-126.7,-0.5357
"662.3157 / 16.27",-151.65,-0.58351
"662.3581 / 18.15",-202.6,-0.68258
"663.1560 / 22.44",7.2407,0.44927
"663.2781 / 7.70",-155.36,-0.60155
"663.3166 / 17.54",-112.21,-0.40429
"663.3346 / 9.78",-157.7,-0.61066
"664.2593 / 8.28",-158.79,-0.54422
"664.2924 / 19.01",-190.22,-0.69856
"665.2502 / 23.92",2.2831,0.2016
"665.2926 / 15.33",-123.49,-0.53959
"665.3145 / 13.36",-143.46,-0.57907
"665.3238 / 17.20  M-H-",-273.55,-0.7781
"665.3613 / 10.32  M-H-",-183.63,-0.61888
"665.3644 / 12.38",-89.466,-0.37218
"666.3289 / 17.26  M-",-226.21,-0.71714
"666.3456 / 10.54  MNa-2H-",-133.69,-0.55509
"666.3576 / 9.66",-196.4,-0.72273
"667.0535 / 1.12",61.995,0.48793
"667.1906 / 22.62",62.472,0.68726
"667.3409 / 7.89  M-H-",-233.94,-0.72141
"667.8575 / 16.94",-144.81,-0.55566
"668.3600 / 20.14",-154.28,-0.59958
"668.3623 / 16.25",-81.973,-0.39311
"669.0518 / 1.12",65.463,0.53949
"669.2723 / 8.46",-82.939,-0.36289
"669.3467 / 19.20",-211.83,-0.72099
"669.7781 / 11.65",-66.141,-0.34256
"669.7978 / 17.13  M-2H2-",-123.99,-0.54782
"670.3053 / 9.25",-157.16,-0.55145
"670.3904 / 10.37",-211.08,-0.68373
"670.4229 / 15.58",-275.07,-0.75493
"671.0479 / 1.14",73.952,0.43626
"671.2394 / 23.00",-18.871,-0.30472
"671.3250 / 13.84  MFA-H-",-163.18,-0.60211
"671.3439 / 18.87  M-H-",-184.45,-0.59337
"671.3724 / 12.52",-175.31,-0.65766
"671.3901 / 13.98",-190.15,-0.73491
"671.4093 / 19.19",-170.72,-0.53083
"671.5235 / 24.30",1.6184,0.085805
"672.2691 / 18.79  M-H-",-259.35,-0.75672
"672.3221 / 13.10",-173.6,-0.65411
"672.8620 / 19.63",-65.138,-0.37432
"673.2323 / 1.62",94.561,0.51284
"673.3128 / 7.32  MAcO-H-",-129.4,-0.50731
"673.3228 / 19.64",-154.33,-0.61053
"673.3465 / 16.00",-161.25,-0.62776
"673.3466 / 17.58  M-2H2-",-161.45,-0.59844
"673.3769 / 19.10  MAcO-H-",-220.7,-0.72873
"673.8531 / 12.47  M-2H2-",-47.215,-0.23896
"674.1844 / 21.70  M-H-",-11.443,-0.14278
"674.2714 / 18.75",-181.34,-0.67251
"674.3147 / 16.85  M-H-",-239.07,-0.73019
"674.3315 / 17.33",-185.58,-0.70323
"674.3719 / 13.10",-122.5,-0.54891
"674.9925 / 1.07",-123.96,-0.64853
"675.1649 / 5.68  2MNa-2H-",-83.825,-0.24694
"675.2903 / 19.42  MNa-2H-",-184.41,-0.68881
"675.3112 / 23.58",3.3966,0.022022
"675.3141 / 19.23  M-2H2-",-189.29,-0.67981
"675.3273 / 20.11",-124.23,-0.51427
"675.3814 / 14.51",-97.58,-0.48726
"675.7961 / 14.14",-35.266,-0.1969
"676.0917 / 6.02",-49.664,-0.20756
"676.2969 / 18.78  M-H-",-221.7,-0.76943
"676.3687 / 18.49",-167.48,-0.61162
"676.8661 / 10.72  M-2H2-",-131.2,-0.48544
"677.1724 / 22.78",5.5831,0.36293
"677.3196 / 19.58  M-2H2-",-215.91,-0.7449
"677.3392 / 18.40  M-2H2-",-161.4,-0.64759
"677.3533 / 16.07",-176.27,-0.64107
"678.3197 / 2.42",-147.21,-0.64001
"678.3296 / 19.18",-205.66,-0.69624
"678.3460 / 10.24  M-H-",-93.242,-0.42359
"678.3462 / 6.74",-117.47,-0.42753
"678.3471 / 16.76  M-H-",-231.74,-0.68153
"678.3552 / 8.64  MNa-2H-",-85.068,-0.44436
"678.3651 / 12.58",-188.6,-0.69279
"679.1591 / 22.09",8.3737,0.24399
"679.2447 / 22.13",-44.684,-0.21453
"679.2920 / 12.14  M-H-",-156.03,-0.64714
"679.2923 / 16.19",-169.51,-0.61628
"679.3058 / 5.17",-71.327,-0.37456
"679.3303 / 17.70",-158.13,-0.5641
"679.3500 / 16.73",-223.26,-0.72179
"679.4260 / 2.47",-94.694,-0.37164
"680.2669 / 11.24",-147.38,-0.57412
"681.2833 / 7.66  M-H-",-217.83,-0.63699
"681.2908 / 17.20",-147.5,-0.57012
"681.2914 / 19.76  M-H-",-129.53,-0.48311
"681.3233 / 15.17",-210.93,-0.6829
"681.3944 / 15.96",-111.64,-0.49987
"682.2886 / 7.68  M-",-235.74,-0.74492
"682.3515 / 11.79",-233.82,-0.73248
"682.3881 / 11.53  M-H-",-211.37,-0.68722
"682.4133 / 18.85",-165.01,-0.61731
"682.7963 / 12.58",-168.57,-0.56355
"683.3516 / 13.94",-111.3,-0.51172
"683.3716 / 15.42",-111.06,-0.44432
"683.3731 / 11.24",-168.68,-0.6457
"683.7909 / 11.61  M-2H2-",-31.898,-0.18329
"684.3080 / 19.46",-149.69,-0.62313
"684.3378 / 17.58",-128.63,-0.52479
"684.3682 / 13.26",-140.89,-0.55034
"684.3904 / 19.73",-164.28,-0.65633
"684.4405 / 2.42",-212.17,-0.67801
"684.8442 / 12.47  M-2H2-",-47.986,-0.29193
"685.1713 / 23.03",6.1711,0.36027
"685.3525 / 18.05  M-H-",-249.88,-0.73835
"685.8395 / 18.82",-151.07,-0.64132
"686.2954 / 20.55  M-H-",-265.48,-0.7519
"686.3064 / 19.23  M-2H2-",-157.05,-0.63369
"686.3254 / 9.37",-159.85,-0.62429
"686.3711 / 14.03",-126.94,-0.54102
"686.3715 / 13.27",-182.86,-0.64413
"686.3984 / 16.91",-127.3,-0.50364
"687.0263 / 1.14",-33.425,-0.46568
"687.1589 / 22.54",-43.73,-0.49609
"687.1975 / 22.26",51.385,0.61778
"687.2328 / 22.71",3.7672,0.034857
"687.2644 / 24.30",11.757,0.17276
"687.2983 / 20.55",-144.03,-0.4667
"687.3774 / 9.41",-138.08,-0.53814
"687.4035 / 3.74  M-H-",-159.56,-0.59033
"688.2608 / 9.98",-74.311,-0.31452
"688.3283 / 18.40",-113.59,-0.48307
"688.3331 / 13.58  M-H-",-243.85,-0.75443
"688.3523 / 16.16  MFA-H-",-172.67,-0.6609
"689.3232 / 7.86  MNa-2H-",-199.77,-0.6835
"689.3497 / 20.97  M-H-",-131.47,-0.4373
"690.3213 / 19.36  M-2H2-",-268.63,-0.82022
"690.3561 / 8.10  M-H-",-270.99,-0.73955
"690.3837 / 18.93",-171.77,-0.69067
"690.9695 / 1.10  MBr-",-103.39,-0.50876
"691.1893 / 23.05",5.8264,0.4003
"691.2580 / 18.67",-173.32,-0.62742
"691.2875 / 15.77",-227.5,-0.72596
"691.3409 / 11.97  M-H-",-182.45,-0.56618
"691.8467 / 19.92",-133.05,-0.56584
"692.2887 / 12.04",-109.72,-0.45984
"692.4072 / 16.22  M-H-",-248.91,-0.75628
"692.4108 / 8.35",-168.94,-0.62506
"692.9651 / 1.28",30.447,0.6028
"693.0416 / 1.20",29.339,0.42507
"693.2802 / 24.30",0.47417,0.042184
"693.3066 / 13.84",-110.19,-0.47582
"693.3274 / 18.87  MNa-2H-",-183.78,-0.63743
"693.3463 / 13.55  M-2H2-",-198.41,-0.67578
"693.4125 / 16.19  M-",-223.45,-0.75409
"693.8381 / 15.99  M-2H2-",-204.57,-0.75449
"693.8691 / 20.58  M-2H2-",-137.4,-0.49171
"694.0439 / 1.17",33.018,0.38356
"694.2509 / 18.75  MNa-2H-",-209.85,-0.6824
"694.2867 / 12.75",-183.46,-0.67325
"694.3032 / 12.29  M-H-",-217.51,-0.71549
"694.3178 / 22.88",-27.259,-0.14861
"694.3522 / 8.27",-129.98,-0.55705
"694.3756 / 15.04  M-H-",-198.41,-0.63257
"695.0075 / 1.20",-49.876,-0.46116
"695.2939 / 19.01  MBr-",-207.77,-0.74816
"695.3126 / 23.66",-17.069,-0.15392
"695.3728 / 11.53",-211.12,-0.71625
"695.4487 / 13.98",-130.03,-0.50908
"696.1672 / 21.69  MNa-2H-",-43.649,-0.29705
"696.2976 / 16.85  MNa-2H-",-214.12,-0.72709
"696.3575 / 14.71  M-H-",-189.44,-0.65428
"696.3687 / 20.74",-14.732,-0.11335
"696.3921 / 16.47",-173.38,-0.64348
"696.4037 / 12.98",-104.92,-0.46428
"696.8121 / 8.06  M-2H2-",-137.62,-0.51753
"696.9885 / 1.13  3M2Na-3H-",-118.16,-0.64448
"697.1411 / 22.09",-36.656,-0.15403
"697.3539 / 9.27",-209.43,-0.74817
"697.3628 / 10.99",-104.26,-0.46574
"697.3866 / 17.23  M-H-",-172.18,-0.62904
"697.4222 / 19.50",-131.1,-0.61465
"697.4626 / 23.90  2MNa-2H-",6.0004,0.34953
"698.2751 / 3.51",-197.64,-0.67178
"698.2800 / 18.75  MNa-2H-",-182.52,-0.70531
"698.3275 / 21.15  M-2H2-",-166.83,-0.61268
"698.3873 / 11.83",-26.43,-0.1061
"698.7889 / 17.14",-86.131,-0.42451
"699.3477 / 11.04",-183.06,-0.60485
"699.4032 / 18.59",-146.97,-0.60107
"700.3285 / 10.24  MNa-2H-",-81.97,-0.36668
"700.3288 / 16.76  MNa-2H-",-210.47,-0.72548
"700.3525 / 14.03",-97.026,-0.47187
"700.3783 / 11.41",-109.32,-0.40456
"700.3857 / 17.29",-175.91,-0.61953
"700.3868 / 18.94",-140.79,-0.6262
"700.4010 / 4.22",-161.41,-0.60486
"701.0216 / 1.27",-16.42,-0.17961
"701.1909 / 1.56",-125.75,-0.73061
"701.2729 / 12.17  MNa-2H-",-123.84,-0.5593
"701.2928 / 19.45  M-H-",-233.83,-0.74522
"701.3137 / 19.36  M-2H2-",-248.93,-0.77732
"701.3304 / 19.91",-183.88,-0.67893
"701.3317 / 21.34",13.27,0.059486
"701.3465 / 15.77",-202.02,-0.65415
"701.3585 / 11.85",-202.12,-0.67764
"701.3832 / 14.28",-158.38,-0.58026
"701.4199 / 7.71",-138.77,-0.53422
"702.2904 / 19.77",-260.37,-0.77617
"702.2957 / 9.31  M-H-",-71.085,-0.36428
"702.3301 / 16.09",-184.98,-0.72566
"702.3658 / 17.04",-143.88,-0.56484
"702.3676 / 6.61",-159.12,-0.55885
"702.3677 / 7.29  M-H-",-121.15,-0.51781
"702.3788 / 1.94",-238.2,-0.76725
"702.3816 / 19.79",-280.57,-0.75324
"703.0020 / 27.31",-78.604,-0.22526
"703.0032 / 25.11",-12.051,-0.050483
"703.0043 / 1.16",-99.008,-0.64182
