"","Fold Change","log2(FC)"
"682.3881 / 11.53  M-H-",0.00010341,-13.239
"506.2993 / 17.13",0.0001035,-13.238
"530.2214 / 14.23  M-2H2-",0.00010355,-13.237
"474.2458 / 8.12",0.00010384,-13.233
"487.2658 / 5.13  M-",0.000104,-13.231
"437.2083 / 10.13  M-2H2-",0.00010425,-13.228
"632.2772 / 15.72",0.0001043,-13.227
"730.4117 / 19.86  M-H-",0.00010429,-13.227
"692.3715 / 15.55  M3H3",0.00010435,-13.226
"474.2743 / 3.61  MH",0.00010457,-13.223
"318.1674 / 2.28  MAcO-H-",0.00010474,-13.221
"495.7682 / 14.31",0.00010485,-13.219
"755.4408 / 11.77  MH",0.00010489,-13.219
"300.1925 / 6.74",0.00010511,-13.216
"396.2314 / 7.18  M2H2",0.00010515,-13.215
"433.2291 / 5.27  MH",0.00010518,-13.215
"489.7883 / 13.07  M2H2",0.00010518,-13.215
"519.2203 / 11.03",0.00010517,-13.215
"719.8390 / 14.56  M2H2",0.00010528,-13.213
"700.4010 / 4.22",0.00010529,-13.213
"642.3452 / 1.96",0.00010539,-13.212
"447.2085 / 4.59  M-H-",0.00010562,-13.209
"563.7418 / 18.73  M2H2",0.00010565,-13.208
"444.2926 / 10.74",0.00010577,-13.207
"533.7283 / 14.43  M2H2",0.00010575,-13.207
"332.2187 / 10.09",0.00010589,-13.205
"351.1860 / 11.00  M2H2",0.00010588,-13.205
"354.7017 / 9.26  M2H2",0.00010602,-13.203
"872.1331 / 18.76",0.00010631,-13.199
"557.2830 / 13.52  MHNH42",0.00010718,-13.188
"568.3084 / 13.45",0.00010736,-13.185
"352.8620 / 13.29  M3H3",0.00010762,-13.182
"482.7590 / 8.92",0.00010763,-13.182
"352.6620 / 5.88",0.00010768,-13.181
"458.2543 / 14.65",0.00010802,-13.176
"466.2680 / 18.26  M3H3",0.00010805,-13.176
"330.2025 / 5.33",0.00010814,-13.175
"590.3114 / 17.56  M2H2",0.00010821,-13.174
"427.2189 / 15.17  MH",0.00010824,-13.173
"667.3409 / 17.21  MH",0.0001084,-13.171
"293.1900 / 9.95  M2H2",0.00010853,-13.17
"299.1439 / 8.89",0.00010852,-13.17
"453.7212 / 8.60  M2Na2",0.00010863,-13.168
"290.1136 / 4.35",0.00010895,-13.164
"358.1970 / 9.76",0.00010896,-13.164
"440.2457 / 3.53  MCH3OHH",0.00010903,-13.163
"475.2405 / 8.40  MCH3OHH",0.00010907,-13.163
"427.2550 / 15.30",0.00010904,-13.163
"498.9252 / 12.49  M3H3",0.00010924,-13.16
"463.2397 / 5.85",0.00010943,-13.158
"428.2504 / 6.59",0.0001096,-13.155
"489.2676 / 5.17  MH",0.00010964,-13.155
"522.7556 / 18.43  M2H2",0.0001098,-13.153
"344.1818 / 14.32",0.00010982,-13.153
"414.6786 / 4.20",0.00011002,-13.15
"487.2502 / 5.14",0.00011002,-13.15
"380.1820 / 9.50  MAcO-H-",0.00011041,-13.145
"409.2076 / 16.57  M-H-",0.00011042,-13.145
"844.3766 / 18.58",0.00011075,-13.14
"549.3146 / 16.50",0.00011091,-13.138
"661.2680 / 15.12",0.00011105,-13.137
"483.9403 / 14.77  M3H3",0.00011112,-13.136
"365.7104 / 5.55",0.00011118,-13.135
"392.7501 / 14.82  M2H2",0.00011148,-13.131
"896.4029 / 15.05  MNa",0.00011159,-13.13
"460.2410 / 6.58",0.00011173,-13.128
"543.2772 / 16.91",0.0001118,-13.127
"429.7051 / 14.59  M2H2",0.00011187,-13.126
"288.2044 / 4.98",0.00011207,-13.123
"360.0113 / 9.00  M-H-",0.00011237,-13.119
"352.1863 / 9.13",0.00011265,-13.116
"624.3723 / 19.28",0.000113,-13.111
"832.4170 / 3.45",0.000113,-13.111
"376.1539 / 9.76",0.00011333,-13.107
"979.5921 / 19.20  M-H-",0.00011347,-13.105
"444.2446 / 10.59",0.00011364,-13.103
"775.4075 / 11.79  MNa-2H-",0.00011383,-13.101
"707.3366 / 10.13  MH",0.00011389,-13.1
"642.8547 / 13.11",0.00011414,-13.097
"321.1561 / 3.76",0.00011445,-13.093
"613.3307 / 3.58",0.00011464,-13.091
"383.1924 / 14.21  M-H-",0.00011493,-13.087
"409.2209 / 8.67",0.000115,-13.086
"641.3651 / 14.53  MNH4",0.00011514,-13.084
"472.2600 / 3.59",0.00011526,-13.083
"675.8724 / 12.46",0.00011534,-13.082
"480.7199 / 19.39  M-2H2-",0.00011533,-13.082
"516.2860 / 9.76",0.00011539,-13.081
"359.1910 / 2.16",0.00011547,-13.08
"803.3262 / 10.59  M-H-",0.00011563,-13.078
"703.3102 / 19.44",0.00011603,-13.073
"740.4352 / 18.39  MH",0.00011606,-13.073
"345.2200 / 4.64",0.00011622,-13.071
"354.7007 / 11.45",0.0001162,-13.071
"472.7789 / 13.07",0.00011621,-13.071
"342.7073 / 11.54  M2H2",0.00011654,-13.067
"683.3583 / 16.50  M3H3",0.00011678,-13.064
"456.2928 / 7.19",0.00011688,-13.063
"380.1917 / 7.58",0.00011757,-13.054
"492.2920 / 16.23  MNH4",0.00011755,-13.054
"500.3206 / 8.16",0.00011769,-13.053
"446.2606 / 10.61",0.00011772,-13.052
"697.7069 / 18.75  M5H5",0.00011785,-13.051
"690.3494 / 13.56  MH",0.00011807,-13.048
"550.2543 / 11.09",0.00011819,-13.047
"432.7469 / 17.85  M2",0.00011822,-13.046
"474.2928 / 13.84  MHNH42",0.00011822,-13.046
"872.6324 / 18.79",0.00011833,-13.045
"533.2117 / 17.20  M-2H2-",0.0001183,-13.045
"418.2251 / 11.01  M3H3",0.00011841,-13.044
"375.2034 / 10.35",0.00011855,-13.042
"652.3762 / 16.61",0.00011888,-13.038
"823.3442 / 15.49  MNa-2H-",0.00011894,-13.038
"530.3286 / 8.23",0.00011898,-13.037
"801.3996 / 3.77  MTFA-H-",0.00011944,-13.031
"424.2153 / 6.84",0.00011956,-13.03
"544.2507 / 7.32  M-H-",0.00011985,-13.026
"639.3470 / 15.23  M-H-",0.00011992,-13.026
"442.1273 / 9.51  MNa-2H-",0.00012002,-13.024
"626.3866 / 19.27",0.00012012,-13.023
"536.3077 / 16.40",0.00012049,-13.019
"460.7608 / 10.35",0.00012066,-13.017
"602.2850 / 21.06  M-H-",0.00012077,-13.015
"494.2521 / 3.07",0.0001209,-13.014
"479.2499 / 11.58  MNa",0.00012094,-13.013
"327.2148 / 5.64",0.00012106,-13.012
"398.2026 / 13.21",0.00012121,-13.01
"401.2032 / 8.05  M-H-",0.00012127,-13.009
"541.2293 / 15.30  M-H-",0.00012132,-13.009
"424.7012 / 9.61",0.00012152,-13.007
"387.7286 / 14.56  M2H2",0.00012156,-13.006
"513.3040 / 14.98",0.00012172,-13.004
"466.6957 / 15.70  M-2H2-",0.00012188,-13.002
"580.2660 / 7.32  M2H2",0.00012201,-13.001
"435.2417 / 9.00  M2H2",0.00012214,-12.999
"519.5307 / 15.55  M4H4",0.00012242,-12.996
"845.3271 / 15.49",0.00012258,-12.994
"331.1900 / 5.06  MHNH42",0.00012275,-12.992
"500.3082 / 13.17  M-H-",0.00012271,-12.992
"437.7404 / 19.85",0.0001228,-12.991
"538.2630 / 14.11  M2H2",0.00012311,-12.988
"667.3409 / 7.89  M-H-",0.00012312,-12.988
"453.7125 / 10.42",0.00012317,-12.987
"451.2183 / 9.63",0.00012321,-12.987
"438.8820 / 13.84  M3H3",0.00012334,-12.985
"492.2464 / 10.73",0.0001234,-12.984
"524.2388 / 17.21  M2H2",0.00012359,-12.982
"556.2414 / 16.91",0.00012372,-12.981
"361.7093 / 13.87  M2H2",0.00012379,-12.98
"484.5649 / 18.95  M3H3",0.00012376,-12.98
"517.2974 / 11.15",0.0001239,-12.979
"391.2216 / 4.98  M2H2",0.00012398,-12.978
"382.1952 / 11.40",0.00012396,-12.978
"472.2759 / 12.75",0.00012403,-12.977
"496.7836 / 18.79  M2H2",0.00012421,-12.975
"465.2028 / 9.41",0.00012458,-12.971
"399.2230 / 4.27",0.00012468,-12.97
"499.2876 / 9.57",0.00012474,-12.969
"466.7506 / 11.66  M2H2",0.00012498,-12.966
"446.6868 / 15.07",0.000125,-12.966
"445.3022 / 15.98",0.00012513,-12.964
"400.7356 / 13.16",0.00012543,-12.961
"405.8910 / 12.83  M3H3",0.00012539,-12.961
"498.7285 / 12.98  M2H2",0.00012551,-12.96
"600.3253 / 14.76  M2H2",0.00012554,-12.96
"695.3643 / 13.56  M2H2",0.00012554,-12.96
"628.3664 / 16.56",0.00012546,-12.96
"500.2716 / 7.80",0.00012562,-12.959
"790.3382 / 13.50  MH",0.00012562,-12.959
"550.3004 / 7.09",0.00012575,-12.957
"706.3265 / 12.70",0.00012596,-12.955
"458.2259 / 4.06",0.00012605,-12.954
"523.2700 / 14.08  M2H2",0.00012611,-12.953
"660.8059 / 11.67  M2H2",0.0001261,-12.953
"410.2221 / 18.20",0.00012623,-12.952
"592.3117 / 2.54",0.00012631,-12.951
"416.2495 / 4.63",0.00012636,-12.95
"430.2290 / 5.72",0.00012634,-12.95
"450.5794 / 16.56  M3H3",0.00012636,-12.95
"518.2603 / 13.52",0.00012641,-12.95
"332.2191 / 4.45  MCH3OHH",0.00012656,-12.948
"395.1943 / 5.06",0.0001267,-12.946
"498.3378 / 9.92",0.00012691,-12.944
"529.3069 / 2.10",0.00012699,-12.943
"773.3317 / 11.26  M-H-",0.00012702,-12.943
"443.2861 / 15.64",0.00012758,-12.936
"500.2349 / 8.31",0.00012765,-12.935
"595.2361 / 8.42",0.00012785,-12.933
"834.4357 / 3.50",0.00012808,-12.931
"506.2347 / 7.63  MNa-2H-",0.00012829,-12.928
"576.8269 / 13.11  M2H2",0.00012848,-12.926
"478.2470 / 11.84  M2H2",0.0001286,-12.925
"484.2761 / 9.31",0.00012871,-12.924
"454.0491 / 14.97",0.00012923,-12.918
"412.1719 / 3.67",0.00012946,-12.915
"458.3085 / 7.25",0.00012981,-12.911
"498.3392 / 9.91",0.00012995,-12.91
"544.7784 / 15.72",0.00013037,-12.905
"732.4279 / 14.57",0.00013045,-12.904
"877.4992 / 12.52  2MNa-2H-",0.00013053,-12.903
"322.1769 / 9.70",0.00013062,-12.902
"583.2876 / 7.69  MH",0.00013063,-12.902
"681.3233 / 15.17",0.00013073,-12.901
"173.1286 / 7.10",0.00013103,-12.898
"602.2992 / 15.86",0.00013109,-12.897
"686.3715 / 13.27",0.00013108,-12.897
"311.1858 / 12.32  M2H2",0.00013123,-12.896
"343.1986 / 8.01",0.00013121,-12.896
"531.2421 / 12.57  MFA-H-",0.00013156,-12.892
"667.3182 / 18.05",0.00013161,-12.891
"330.2019 / 4.38",0.00013183,-12.889
"489.2828 / 5.13",0.000132,-12.887
"421.6714 / 12.24  M-2H2-",0.00013207,-12.886
"485.2716 / 11.23",0.00013213,-12.886
"701.4199 / 7.71",0.00013207,-12.886
"354.1739 / 8.46  M2H2",0.00013219,-12.885
"548.2710 / 16.91",0.00013229,-12.884
"676.3719 / 12.49",0.00013237,-12.883
"682.7963 / 12.58",0.00013324,-12.874
"598.3557 / 14.57",0.00013335,-12.873
"811.3257 / 14.41  M-H-",0.00013339,-12.872
"493.7498 / 3.50  M2H2",0.0001335,-12.871
"465.7626 / 13.66  M2H2",0.00013359,-12.87
"659.7995 / 7.59",0.0001336,-12.87
"596.3251 / 19.17  M-H-",0.00013358,-12.87
"473.2970 / 16.49",0.00013365,-12.869
"516.3380 / 17.46",0.00013378,-12.868
"489.9391 / 7.26  M3H3",0.00013383,-12.867
"585.2871 / 8.13",0.00013398,-12.866
"748.3475 / 7.28",0.00013404,-12.865
"317.1248 / 4.63",0.00013414,-12.864
"401.7271 / 11.45",0.00013439,-12.861
"402.2360 / 6.78",0.00013517,-12.853
"701.3137 / 19.36  M-2H2-",0.00013523,-12.852
"472.2769 / 3.23",0.00013535,-12.851
"334.1397 / 6.13  MH",0.00013543,-12.85
"629.3263 / 14.71",0.00013556,-12.849
"347.7177 / 8.36  M2H2",0.00013564,-12.848
"642.3461 / 7.57",0.00013563,-12.848
"430.2669 / 9.05",0.00013586,-12.846
"542.3279 / 17.78  MHNH42",0.00013586,-12.846
"340.6862 / 10.22",0.0001364,-12.84
"342.2386 / 13.85",0.00013641,-12.84
"686.3013 / 15.50",0.00013641,-12.84
"518.2819 / 9.85",0.00013637,-12.84
"417.2233 / 6.26",0.00013653,-12.839
"410.1743 / 11.79",0.00013658,-12.838
"521.9249 / 8.39  M3H3",0.00013676,-12.836
"728.8375 / 17.35",0.00013682,-12.835
"365.5436 / 3.81",0.00013696,-12.834
"693.3580 / 11.96  MH",0.00013697,-12.834
"678.0011 / 16.67  M3H3",0.00013701,-12.833
"581.2742 / 7.73",0.0001371,-12.833
"523.2119 / 7.93  MNa-2H-",0.00013725,-12.831
"623.8364 / 12.94  M2H2",0.00013743,-12.829
"454.0160 / 18.65",0.00013817,-12.821
"515.2504 / 15.43",0.00013826,-12.82
"341.5199 / 4.42  M3H3",0.00013844,-12.819
"376.2236 / 16.46",0.00013841,-12.819
"456.7499 / 8.51  M2H2",0.00013843,-12.819
"214.1305 / 5.61  MNH4",0.00013849,-12.818
"497.2719 / 8.49  MNH4",0.00013856,-12.817
"433.2074 / 16.66  2MH",0.00013882,-12.814
"566.2924 / 6.91  M-H-",0.00013889,-12.814
"599.3534 / 9.69  M-H-",0.0001389,-12.814
"694.2509 / 18.75  MNa-2H-",0.00013889,-12.814
"544.7673 / 17.96  M-2H2-",0.00013901,-12.813
"618.3054 / 14.41  M-2H2-",0.00013902,-12.812
"616.3664 / 9.44  MCH3OHH",0.00013926,-12.81
"641.3631 / 13.81",0.00013962,-12.806
"431.5705 / 16.18  M3H3",0.00013989,-12.803
"587.3397 / 17.76",0.00013989,-12.803
"489.5439 / 16.90",0.00014026,-12.8
"682.3515 / 11.79",0.00014049,-12.797
"299.2201 / 5.64",0.00014058,-12.796
"492.7285 / 9.71  M2H2",0.00014064,-12.796
"544.2244 / 11.15  M-H-",0.00014057,-12.796
"713.3455 / 9.84  M-H-",0.00014062,-12.796
"768.4863 / 9.47",0.0001407,-12.795
"399.5601 / 8.06  M3H3",0.00014082,-12.794
"519.7761 / 15.53",0.00014176,-12.784
"360.1964 / 3.45",0.00014178,-12.784
"373.2425 / 10.79",0.00014199,-12.782
"679.3500 / 16.73",0.00014196,-12.782
"435.7371 / 18.59",0.00014214,-12.78
"554.2923 / 11.49",0.00014261,-12.776
"376.2116 / 15.33",0.00014269,-12.775
"702.2904 / 19.77",0.00014263,-12.775
"599.7682 / 10.37  M2H2",0.00014274,-12.774
"380.1792 / 13.65  MNa-2H-",0.00014303,-12.771
"704.3089 / 12.73  M-H-",0.00014338,-12.768
"343.1977 / 3.54",0.00014368,-12.765
"428.7371 / 11.15",0.00014388,-12.763
"606.2888 / 15.04",0.000144,-12.762
"520.2977 / 9.86  MCH3OHH",0.00014407,-12.761
"563.3287 / 16.21",0.00014414,-12.76
"435.6989 / 21.11",0.00014418,-12.76
"929.5114 / 15.17",0.00014413,-12.76
"550.2890 / 13.81",0.00014438,-12.758
"553.8054 / 19.63  M2H2",0.00014435,-12.758
"488.2718 / 16.09",0.00014442,-12.757
"577.3001 / 11.10  2MNa-2H-",0.00014457,-12.756
"567.3012 / 9.57  M3H3",0.00014472,-12.754
"274.1193 / 4.82",0.00014478,-12.754
"586.3192 / 11.79",0.00014478,-12.754
"478.2296 / 11.16  MCH3OHH",0.00014482,-12.753
"470.7597 / 10.33",0.00014509,-12.751
"520.2733 / 18.65  M3H3",0.00014519,-12.75
"516.2297 / 11.35",0.00014522,-12.749
"745.4142 / 19.78",0.0001453,-12.749
"504.2652 / 12.84  M",0.00014538,-12.748
"462.2188 / 2.26  MAcO-H-",0.00014554,-12.746
"389.2192 / 9.07",0.00014566,-12.745
"536.5091 / 12.36  M4H4",0.00014591,-12.743
"537.7953 / 14.89  M2H2",0.00014598,-12.742
"399.2239 / 8.49  M-H2O-H-",0.00014594,-12.742
"567.2889 / 17.37  M3H3",0.00014615,-12.74
"576.3065 / 16.56  MH",0.00014618,-12.74
"407.1760 / 14.40  M2H2",0.00014623,-12.739
"409.2094 / 10.45  MNH4",0.00014634,-12.738
"490.7484 / 3.27",0.00014634,-12.738
"508.2721 / 12.33",0.00014642,-12.738
"336.5484 / 18.94  M3H3",0.00014663,-12.735
"379.1975 / 9.80",0.00014703,-12.732
"620.3240 / 14.40  M2H2",0.00014698,-12.732
"507.2452 / 10.46  MNa",0.00014709,-12.731
"725.3165 / 5.99",0.00014714,-12.731
"438.7532 / 13.77  M2H2",0.00014715,-12.73
"470.1875 / 11.02",0.00014723,-12.73
"558.2900 / 12.45",0.00014729,-12.729
"371.2303 / 9.71",0.00014756,-12.726
"403.2302 / 8.44",0.00014794,-12.723
"507.2540 / 12.53  M2H2",0.00014796,-12.722
"374.2054 / 7.80  M2H2",0.0001481,-12.721
"460.5122 / 10.19",0.0001482,-12.72
"376.2108 / 13.11",0.0001484,-12.718
"571.3087 / 7.57",0.00014844,-12.718
"332.2186 / 12.29",0.00014864,-12.716
"379.7088 / 10.72",0.0001487,-12.715
"392.1806 / 16.47",0.00014879,-12.714
"692.4108 / 8.35",0.00014895,-12.713
"459.2150 / 12.42  M-H-",0.0001491,-12.711
"458.5876 / 11.84  M3H3",0.00014927,-12.71
"434.5928 / 9.80  M3H3",0.00014931,-12.709
"734.3041 / 9.70",0.00014939,-12.709
"529.7677 / 17.66",0.00014942,-12.708
"505.1981 / 5.17  M2H2",0.00014969,-12.706
"533.3296 / 2.41",0.00014983,-12.704
"516.2659 / 15.41  M2",0.00014999,-12.703
"590.2967 / 2.51",0.00015012,-12.702
"414.2335 / 4.63  M-H-",0.00015018,-12.701
"563.2799 / 8.19  MNa-2H-",0.00015059,-12.697
"834.4111 / 11.06  M-H-",0.00015074,-12.696
"467.2498 / 11.48",0.00015106,-12.693
"819.4271 / 17.80  M-",0.00015101,-12.693
"486.2737 / 14.85",0.00015116,-12.692
"417.2354 / 7.43",0.00015143,-12.689
"577.7558 / 19.18  M2H2",0.00015155,-12.688
"382.8844 / 12.29",0.00015162,-12.687
"503.2818 / 9.03",0.00015171,-12.686
"403.2558 / 10.33",0.00015196,-12.684
"437.2393 / 11.40",0.00015197,-12.684
"444.2447 / 8.27",0.00015198,-12.684
"415.2196 / 9.36  M-H-",0.00015203,-12.683
"385.2531 / 2.11",0.00015218,-12.682
"659.2511 / 15.17",0.00015221,-12.682
"664.2593 / 8.28",0.00015213,-12.682
"556.3216 / 16.92",0.00015256,-12.678
"486.7569 / 9.16  M2H2",0.00015273,-12.677
"373.7257 / 4.56",0.00015316,-12.673
"455.7921 / 19.10  MNH4",0.0001531,-12.673
"472.2587 / 7.05",0.00015309,-12.673
"508.7557 / 16.67  M4H4",0.00015316,-12.673
"655.3047 / 2.16",0.00015309,-12.673
"412.1907 / 10.58",0.00015326,-12.672
"522.2903 / 17.43",0.00015321,-12.672
"802.3745 / 10.84  M-H-",0.00015337,-12.671
"402.2342 / 5.47",0.00015346,-12.67
"518.2604 / 7.96  M-2H2-",0.00015354,-12.669
"508.2582 / 14.35  M2H2",0.00015363,-12.668
"482.2712 / 13.50",0.00015372,-12.667
"682.2886 / 7.68  M-",0.00015375,-12.667
"509.5045 / 16.77",0.00015387,-12.666
"352.2022 / 8.98",0.00015411,-12.664
"187.1084 / 5.42",0.0001542,-12.663
"544.2442 / 15.34",0.00015415,-12.663
"451.2195 / 11.27",0.00015439,-12.661
"618.3072 / 19.17  MNa-2H-",0.00015435,-12.661
"556.8076 / 19.07",0.00015447,-12.66
"476.7101 / 13.24",0.00015472,-12.658
"655.3373 / 12.85  M2H2",0.00015472,-12.658
"473.2348 / 12.48",0.000155,-12.655
"566.3185 / 16.56",0.00015506,-12.655
"334.1761 / 14.38",0.00015511,-12.654
"607.3091 / 8.77",0.0001551,-12.654
"638.3095 / 3.11  M2H2",0.00015542,-12.652
"314.1719 / 3.61  M-H2O-H-",0.00015554,-12.65
"581.7897 / 18.88",0.00015567,-12.649
"500.3560 / 9.91",0.00015583,-12.648
"502.3303 / 8.12",0.00015591,-12.647
"509.3309 / 6.83  2MNa-2H-",0.00015596,-12.647
"612.2113 / 13.56  MNa",0.00015603,-12.646
"909.4773 / 18.52",0.00015599,-12.646
"744.4231 / 4.47",0.0001562,-12.644
"474.2923 / 12.35  MCH3OHH",0.00015633,-12.643
"693.3274 / 18.87  MNa-2H-",0.00015645,-12.642
"429.5579 / 14.63  M3H3",0.00015659,-12.641
"615.2607 / 10.96  M-H-",0.00015665,-12.64
"679.3537 / 18.36  M2H2",0.00015679,-12.639
"394.1994 / 11.43  M-H-",0.00015681,-12.639
"415.2201 / 8.51",0.000157,-12.637
"366.1776 / 8.49",0.00015727,-12.635
"430.7474 / 15.75  M2H2",0.00015737,-12.634
"435.1868 / 13.02  MNa-2H-",0.00015738,-12.633
"533.2387 / 6.78",0.00015755,-12.632
"450.5805 / 15.98  M3H3",0.00015764,-12.631
"909.9769 / 18.52",0.00015775,-12.63
"466.7276 / 10.91  M2H2",0.00015783,-12.629
"471.7555 / 10.64  M2H2",0.00015791,-12.629
"436.1726 / 12.88",0.00015804,-12.627
"545.2910 / 13.30",0.00015878,-12.621
"583.2726 / 8.12",0.00015882,-12.62
"508.2868 / 8.09",0.00015913,-12.618
"474.2551 / 7.13  2MNH4",0.0001592,-12.617
"880.4880 / 15.01  M-H-",0.00015931,-12.616
"643.3585 / 13.11",0.00015939,-12.615
"366.1640 / 9.28  MNa-2H-",0.00016007,-12.609
"878.3904 / 15.18",0.00016049,-12.605
"429.7404 / 6.74",0.00016093,-12.601
"458.2607 / 5.94",0.00016093,-12.601
"885.5225 / 17.19",0.00016097,-12.601
"604.3332 / 19.83",0.00016105,-12.6
"588.2556 / 17.92  M-2H2-",0.00016122,-12.599
"867.4554 / 9.02  M-H-",0.00016118,-12.599
"646.7835 / 17.69  M2H2",0.00016146,-12.597
"474.2622 / 11.85  M2H2",0.00016154,-12.596
"504.2466 / 9.59",0.00016149,-12.596
"380.1816 / 11.59",0.00016162,-12.595
"552.9798 / 8.16  M3H3",0.00016161,-12.595
"591.2329 / 13.56",0.00016168,-12.595
"635.3406 / 19.56",0.00016165,-12.595
"659.3523 / 5.10",0.00016159,-12.595
"330.1662 / 4.75",0.00016171,-12.594
"428.2505 / 9.03",0.00016199,-12.592
"413.1840 / 15.46",0.00016207,-12.591
"429.5534 / 13.96  M3H3",0.00016212,-12.591
"358.1956 / 4.44",0.00016241,-12.588
"996.5546 / 17.87",0.00016263,-12.586
"401.7394 / 17.16",0.00016272,-12.585
"245.1872 / 6.84  MH",0.00016295,-12.583
"351.7022 / 11.42",0.00016301,-12.583
"423.2304 / 15.02",0.00016299,-12.583
"616.9831 / 10.50  M3H3",0.00016324,-12.581
"416.1232 / 6.83",0.00016338,-12.58
"337.6846 / 8.09",0.00016367,-12.577
"496.9290 / 8.04  M3H3",0.00016371,-12.577
"544.7400 / 19.26  M-2H2-",0.00016391,-12.575
"486.2916 / 11.65",0.00016427,-12.572
"289.1505 / 7.69  MNH4",0.00016498,-12.565
"379.7229 / 10.83",0.00016504,-12.565
"619.3039 / 2.74",0.00016503,-12.565
"543.3012 / 18.30",0.00016535,-12.562
"561.7243 / 18.72  M-2H2-",0.00016535,-12.562
"493.2669 / 15.84",0.00016553,-12.561
"477.2157 / 5.64",0.00016558,-12.56
"757.3402 / 15.05",0.00016573,-12.559
"453.7366 / 10.31",0.00016579,-12.558
"314.2073 / 11.03",0.0001663,-12.554
"501.2656 / 5.67",0.00016644,-12.553
"625.3559 / 15.68  M-H-",0.00016646,-12.553
"675.3141 / 19.23  M-2H2-",0.0001664,-12.553
"601.7452 / 19.73  M-2H2-",0.00016673,-12.55
"437.2385 / 14.61",0.00016686,-12.549
"316.1865 / 3.67",0.00016682,-12.549
"897.4064 / 10.13  MNa-2H-",0.00016686,-12.549
"611.2784 / 3.61  M-H-",0.00016698,-12.548
"383.1652 / 4.93",0.00016723,-12.546
"450.7153 / 8.50  MHK2",0.00016725,-12.546
"452.2561 / 12.48",0.00016725,-12.546
"762.4151 / 18.39  MNa",0.00016749,-12.544
"404.7006 / 8.28",0.00016753,-12.543
"354.1995 / 7.07  MNa",0.00016767,-12.542
"498.7364 / 6.62  M2H2",0.00016778,-12.541
"622.8016 / 15.78",0.00016776,-12.541
"378.2062 / 12.14  M2H2",0.00016811,-12.538
"430.2652 / 6.71",0.00016819,-12.538
"459.2700 / 11.12  M2H2",0.00016832,-12.537
"872.8851 / 18.82",0.00016829,-12.537
"467.2504 / 14.84",0.00016845,-12.535
"511.5108 / 15.54  M4H4",0.00016849,-12.535
"608.2958 / 16.04  MHK2",0.00016851,-12.535
"399.2352 / 6.58",0.00016856,-12.534
"432.2194 / 3.48  M2H2",0.00016855,-12.534
"305.1822 / 3.56",0.00016873,-12.533
"426.2070 / 13.99",0.00016869,-12.533
"408.7092 / 10.81  M2H2",0.00016901,-12.531
"814.3984 / 10.80  M-H-",0.00016892,-12.531
"427.7000 / 7.73",0.00016924,-12.529
"489.7689 / 14.76",0.00016919,-12.529
"566.8933 / 12.71",0.00016925,-12.529
"518.1886 / 14.33  M-H-",0.00016918,-12.529
"678.6487 / 16.43  M3H3",0.00016949,-12.527
"531.3137 / 2.43",0.0001695,-12.526
"545.3411 / 2.76",0.00016977,-12.524
"599.3488 / 8.21",0.00016975,-12.524
"362.8852 / 12.00  M3H3",0.00016994,-12.523
"339.5226 / 10.62",0.00017004,-12.522
"391.1975 / 12.29",0.00017,-12.522
"390.9590 / 8.08",0.00017009,-12.521
"625.3302 / 12.24  M-H2O-H-",0.00017014,-12.521
"495.2465 / 12.85",0.00017027,-12.52
"501.3018 / 9.60",0.00017035,-12.519
"580.2965 / 14.16",0.00017077,-12.516
"407.1939 / 9.56  M-H-",0.0001707,-12.516
"462.2626 / 12.42",0.00017084,-12.515
"536.2383 / 10.22",0.00017079,-12.515
"926.4970 / 14.58  MFA-H-",0.00017086,-12.515
"642.3292 / 17.11  M3H3",0.00017092,-12.514
"499.9216 / 13.72  M3H3",0.00017111,-12.513
"475.7346 / 9.40  M2H2",0.00017127,-12.511
"329.6997 / 8.65  M2H2",0.00017149,-12.51
"457.7416 / 16.98  M2H2",0.00017146,-12.51
"631.3276 / 17.80  MFA-H-",0.00017162,-12.509
"531.2094 / 9.86",0.00017186,-12.507
"659.3698 / 14.79",0.00017184,-12.507
"673.4258 / 19.19",0.00017176,-12.507
"536.2452 / 6.68  MNa",0.0001719,-12.506
"426.6906 / 15.20",0.00017188,-12.506
"607.3467 / 20.97  M-H-",0.00017187,-12.506
"469.1937 / 5.23",0.00017198,-12.505
"472.2402 / 9.88",0.00017203,-12.505
"455.2131 / 5.15  MNa",0.0001722,-12.504
"564.3198 / 16.36",0.00017213,-12.504
"531.2229 / 6.74",0.00017223,-12.503
"375.6866 / 7.29  M2Na2",0.00017254,-12.501
"459.3148 / 17.82",0.0001725,-12.501
"552.3003 / 14.63",0.00017267,-12.5
"456.5211 / 13.17",0.00017291,-12.498
"702.3788 / 1.94",0.00017293,-12.498
"442.2548 / 3.24",0.00017298,-12.497
"526.3008 / 17.87",0.00017313,-12.496
"538.5362 / 16.68  M4H4",0.00017326,-12.495
"578.2629 / 18.54",0.00017337,-12.494
"356.2562 / 16.69",0.0001733,-12.494
"376.1834 / 19.61  MNa-2H-",0.00017334,-12.494
"490.2682 / 4.24",0.0001737,-12.491
"732.3232 / 16.55  M-2H2-",0.00017369,-12.491
"230.1140 / 3.47",0.00017409,-12.488
"465.2350 / 16.05  MH2Na3",0.00017416,-12.487
"500.6188 / 7.61  M3H3",0.00017418,-12.487
"572.3040 / 12.82  M3H3",0.00017422,-12.487
