"","Fold Change","log2(FC)"
"469.2268 / 6.18",9.9458e-05,-13.296
"819.4383 / 18.20  MNa",9.9464e-05,-13.295
"201.1241 / 7.04",9.9551e-05,-13.294
"424.1534 / 9.88  M-H-",0.00010004,-13.287
"463.2544 / 15.78",0.00010009,-13.286
"716.7940 / 13.27",0.00010018,-13.285
"409.2088 / 3.47  M2H2",0.00010024,-13.284
"495.2831 / 16.51  MH",0.00010029,-13.284
"488.5112 / 18.71",0.00010079,-13.276
"615.3461 / 3.55",0.00010079,-13.276
"460.2770 / 12.69",0.00010196,-13.26
"419.7267 / 19.79  MHNa2",0.00010206,-13.258
"480.2445 / 11.07",0.00010206,-13.258
"434.1607 / 12.99  M-H-",0.0001022,-13.256
"401.2391 / 8.50  MH",0.00010232,-13.255
"411.7209 / 14.70  M2Na2",0.00010226,-13.255
"510.3289 / 15.85",0.00010246,-13.253
"876.3739 / 15.20  MNa-2H-",0.00010246,-13.253
"300.1555 / 8.90  MH",0.00010249,-13.252
"547.3103 / 13.42  MHNa2",0.00010256,-13.251
"448.7155 / 12.53  M2H2",0.0001027,-13.249
"451.2770 / 2.73",0.00010283,-13.247
"550.2879 / 16.88",0.00010323,-13.242
"390.7100 / 8.11",0.00010334,-13.24
"568.2411 / 15.75",0.00010334,-13.24
